,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8
0,0,0.0355763994157314,0.0342435538768768,0.0013323631137609,4.793407697434304e-07,0.0,60,0.0,0.0343643799424171,0.032902542501688,0.0014613898238167,4.478719972667023e-07,0.0,60,0.0,0.0343350246548652,0.0333344601094722,0.0010001328773796,4.33915886333125e-07,0.0,60,0.0,0.034151341766119,0.0327934138476848,0.0013575112679973,4.171723162471608e-07,0.0,60,0.0,0.0411415174603462,0.0399492941796779,0.0011917949886992,4.2766794194903923e-07,0.0,60,0.0,0.0313880890607833,0.0305219925940036,0.0008657040307298,3.903975596131204e-07,0.0,60,0.0,0.0397054143249988,0.0385008007287979,0.0012041752925142,4.37998039615195e-07,0.0,60,0.0,0.0398169010877609,0.0385034680366516,0.0013129896251484,4.4239274643587123e-07,0.0,60,0.0,0.04346778988838196,0.04200843349099159,0.0014589403290301561,4.1865197886181704e-07,0.0,60,0.0
1,50,0.0006930104573257,0.0004590642638504,0.0002305374800926,3.408680868233205e-06,0.0,60,0.0,0.0008280596812255,0.0002728986146394,0.0005508070462383,4.353991698735626e-06,0.0,60,0.0,0.0003114931460004,0.0001780069287633,0.0001291997177759,4.286499915906461e-06,0.0,60,0.0,0.0008489242754876,0.0005807044799439,0.0002657726872712,2.44711441155232e-06,0.0,60,0.0,0.0007701586582697,0.0005151918740011,0.0002515060768928,3.460759216977749e-06,0.0,60,0.0,0.0005430035525932,0.0003702287212945,0.0001697799307294,2.9949294457765063e-06,0.0,60,0.0,0.0008877213695086,0.0005797092453576,0.0003045252524316,3.486868763502571e-06,0.0,60,0.0,0.000434643618064,0.0002331270807189,0.0001973881589947,4.128378350287676e-06,0.0,60,0.0,0.0009140621987171471,0.0006140919285826385,0.00029722650651820004,2.743757931966684e-06,0.0,60,0.0
2,100,0.0002487621095497,0.0001282489829463,0.0001165013964055,4.011728378827684e-06,0.0,57,0.0,0.0003158627660013,0.000131267006509,0.0001785208587534,6.074897555663483e-06,0.0,56,0.0,0.0001325670164078,6.45002510282211e-05,6.217651389306411e-05,5.890248303330736e-06,0.0,53,0.0,0.0003236785996705,0.0001667286560405,0.0001530896115582,3.860337074002018e-06,0.0,52,0.0,0.0002940427802968,0.0001332395913777,0.0001563514815643,4.451695986062987e-06,0.0,54,0.0,0.0001495391043135,7.159366941777989e-05,7.398222805932164e-05,3.963201379519887e-06,0.0,52,0.0,0.0003598111798055,0.0001754018448991,0.0001796769502107,4.7324060687969904e-06,0.0,53,0.0,0.0002063227439066,0.0001028036131174,9.78479511104524e-05,5.6711924116825685e-06,0.0,56,0.0,0.0003305183199699968,0.000160534109454602,0.0001661312417127192,3.852954705507727e-06,0.0,49,0.0
3,150,0.0001543716643936,8.078396786004305e-05,6.920410669408739e-05,4.3835866563313175e-06,0.0,50,0.0,0.0001639955444261,6.414043309632689e-05,9.27552318898961e-05,7.099873982951976e-06,0.0,55,0.0,7.156560604926199e-05,2.453472370689269e-05,3.994918006355874e-05,7.081702278810553e-06,0.0,50,0.0,0.0002142724697478,0.0001004036166705,0.0001093652463168,4.503615855355747e-06,0.0,51,0.0,0.0001702967856545,7.273954543052241e-05,9.251893789041787e-05,5.038310973759508e-06,0.0,53,0.0,8.265546057373285e-05,3.641775037976913e-05,4.175767026026733e-05,4.480037205212284e-06,0.0,48,0.0,0.0001892544096335,8.78514110809192e-05,9.593222057446836e-05,5.4707784329366405e-06,0.0,47,0.0,0.0001128795920521,5.067570600658655e-05,5.567125481320545e-05,6.532633051392622e-06,0.0,54,0.0,0.00020176109683234245,7.2818947955966e-05,0.00012426731700543314,4.6748373279115185e-06,0.0,47,0.0
4,200,0.0001207635796163,6.281609239522368e-05,5.335054083843716e-05,4.596951384883141e-06,0.0,49,0.0,0.000113655529276,3.557573654688895e-05,7.054083835100755e-05,7.538952104368946e-06,0.0,53,0.0,4.747524144477211e-05,1.3606403626909014e-05,2.60657452599844e-05,7.803094376868103e-06,0.0,47,0.0,0.0001651695201871,6.982463673921302e-05,9.040786244440824e-05,4.9370132728654426e-06,0.0,48,0.0,0.0001225492451339,4.790135790244676e-05,6.927822687430307e-05,5.369661721488228e-06,0.0,52,0.0,6.23093728790991e-05,2.4862491045496427e-05,3.271885361755267e-05,4.728028670797357e-06,0.0,47,0.0,0.0001292159577133,5.684751158696599e-05,6.645699613727629e-05,5.9114472605870105e-06,0.0,47,0.0,6.915853009559214e-05,2.641017454152461e-05,3.55932570528239e-05,7.155100320233032e-06,0.0,52,0.0,0.00015623665240127593,4.734852336696349e-05,0.00010387678776169196,5.011348548578098e-06,0.0,46,0.0
5,250,9.486194176133722e-05,4.62163079646416e-05,4.388033266877756e-05,4.765304765896872e-06,0.0,49,0.0,8.437543147010729e-05,2.2601627279073e-05,5.387728015193716e-05,7.896524948591832e-06,0.0,50,0.0,3.546366497175768e-05,9.013147064251824e-06,1.817791780922562e-05,8.272600098280236e-06,0.0,42,0.0,0.0001289374922635,4.53187276434619e-05,7.8427474363707e-05,5.191300260776188e-06,0.0,47,0.0,9.567449160385876e-05,3.327635204186663e-05,5.681463517248631e-05,5.583506663242588e-06,0.0,52,0.0,5.068779501016252e-05,1.882949800346978e-05,2.6985971999238245e-05,4.872325916949194e-06,0.0,45,0.0,0.0001011487111099,4.100985097466037e-05,5.4034033382777125e-05,6.10482902629883e-06,0.0,46,0.0,4.862339483224787e-05,1.6257963579846546e-05,2.4919549105106853e-05,7.445883511536522e-06,0.0,47,0.0,0.00012216057803016156,3.190269853803329e-05,8.512911153957248e-05,5.128758857608773e-06,0.0,43,0.0
6,300,7.699603884248063e-05,3.5798773751594126e-05,3.631688377936371e-05,4.880382675764849e-06,0.0,48,0.0,6.471186497947201e-05,1.580997195560485e-05,4.0554648876423016e-05,8.347245966433547e-06,0.0,48,0.0,2.852092256944161e-05,6.763814781152178e-06,1.308881019213004e-05,8.668297596159391e-06,0.0,41,0.0,9.427320037502795e-05,2.4368009690078907e-05,6.456382834585384e-05,5.341364158084616e-06,0.0,47,0.0,7.658134563826025e-05,2.674343522812705e-05,4.409092434798367e-05,5.746988335886272e-06,0.0,50,0.0,4.1818097088253126e-05,1.53919099830091e-05,2.1431704226415604e-05,4.994483333575772e-06,0.0,45,0.0,8.27614203444682e-05,3.0495551982312463e-05,4.609291863744147e-05,6.172951998451026e-06,0.0,46,0.0,3.847755942842923e-05,1.1625058505160268e-05,1.9306318790768277e-05,7.5461821325006895e-06,0.0,44,0.0,8.892326877685264e-05,2.2277221432887018e-05,6.146325904410332e-05,5.182789209356997e-06,0.0,43,0.0
7,350,5.690831312676892e-05,2.324343404325191e-05,2.8708675017696805e-05,4.956204065820202e-06,0.0,47,0.0,5.45467046322301e-05,1.2955290912941564e-05,3.2962983823381364e-05,8.628428986412473e-06,0.0,47,0.0,2.3760305339237675e-05,5.075108219898539e-06,9.73529131442774e-06,8.949905350164045e-06,0.0,38,0.0,8.108630572678521e-05,1.8182528947363608e-05,5.7434630434727296e-05,5.469145435199607e-06,0.0,46,0.0,5.764907837146893e-05,1.7998389012063853e-05,3.364371877978556e-05,6.006974217598327e-06,0.0,48,0.0,3.46313499903772e-05,1.3067164218227845e-05,1.6474818039569072e-05,5.089367277832935e-06,0.0,45,0.0,7.01000026310794e-05,2.340734681638424e-05,4.0437502320855856e-05,6.255156677070772e-06,0.0,45,0.0,3.2657764677423984e-05,9.245603905583266e-06,1.5830730262678117e-05,7.581430963909952e-06,0.0,43,0.0,6.532650149893016e-05,1.664059527684003e-05,4.3456304410938174e-05,5.229602720646653e-06,0.0,41,0.0
8,400,5.736582897952758e-05,2.7390289687900804e-05,2.486200355633628e-05,5.113536190037848e-06,0.0,44,0.0,4.779419759870507e-05,1.138185598392738e-05,2.7612528356257823e-05,8.79981234902516e-06,0.0,47,0.0,2.099441189784557e-05,4.046194590046071e-06,7.78889352659462e-06,9.159322871710174e-06,0.0,37,0.1428571428571428,7.261124846991152e-05,1.396268817188684e-05,5.3118281357456e-05,5.53027985006338e-06,0.0,45,0.0,4.7077934141270816e-05,1.430964948667679e-05,2.664762905624229e-05,6.120656053099083e-06,0.0,48,0.0,2.949646659544669e-05,1.0763177670014556e-05,1.3561553714680484e-05,5.171736574993702e-06,0.0,45,0.0,5.956708628218621e-05,1.931999577209353e-05,3.39005928253755e-05,6.346497229969828e-06,0.0,45,0.0,2.9457736673066396e-05,8.071254342212342e-06,1.3821838365402073e-05,7.564644420199329e-06,0.0,42,0.0,5.5379314289893955e-05,1.529831024527084e-05,3.4826476621674374e-05,5.25452742294874e-06,0.0,41,0.0
9,450,4.1834184230538085e-05,1.6120226064231247e-05,2.0530775145743974e-05,5.183183475310216e-06,0.0,43,0.0,4.249326229910366e-05,9.692709681985434e-06,2.393288377788849e-05,8.867667020240333e-06,0.0,45,0.0,1.917235749715473e-05,3.300764774394338e-06,6.63489618091262e-06,9.236696314474102e-06,0.0,37,0.1428571428571428,6.872395897516981e-05,1.2230908396304583e-05,5.087463796371594e-05,5.618414888886036e-06,0.0,43,0.0,4.217243258608505e-05,1.3017036508244928e-05,2.2987629563431256e-05,6.167769242892973e-06,0.0,48,0.0,2.989775930473116e-05,1.285797497985186e-05,1.1773280675697606e-05,5.266504103929037e-06,0.0,44,0.0,5.290782792144455e-05,1.7331656636088155e-05,2.9162250939407382e-05,6.413918981706956e-06,0.0,44,0.0,2.6668370992410928e-05,6.997085620241705e-06,1.2144827451265884e-05,7.526458830398042e-06,0.0,42,0.0,4.858949614572339e-05,1.4722769265063107e-05,2.8595566618605517e-05,5.271159807307413e-06,0.0,41,0.0
10,500,3.429422213230282e-05,1.1201243069081102e-05,1.787786459317431e-05,5.215115379542112e-06,0.0,43,0.0,3.919133814633824e-05,9.004612365970388e-06,2.1290827135089785e-05,8.895897735783365e-06,0.0,45,0.0,1.824240098358132e-05,3.009441343237995e-06,5.986407813907135e-06,9.246550689567812e-06,0.0,36,0.1428571428571428,7.083923264872283e-05,1.834960494306869e-05,4.681647624238394e-05,5.673153282259591e-06,0.0,43,0.0,4.611515760188922e-05,1.858871837612241e-05,2.133300768036861e-05,6.1934324548929e-06,0.0,48,0.0,2.423071782686748e-05,8.376630830753129e-06,1.0532537999097258e-05,5.321547632775037e-06,0.0,44,0.0,4.898104089079425e-05,1.6159960068762302e-05,2.632694850035477e-05,6.494134595413925e-06,0.0,44,0.0,2.415301969449501e-05,5.894682999496581e-06,1.0776529961731283e-05,7.4818071880145e-06,0.0,42,0.0,4.125993655179627e-05,1.1587487279030029e-05,2.437838338664733e-05,5.294065431371564e-06,0.0,41,0.0
11,550,3.0785340641159564e-05,9.478178071731236e-06,1.6079007764346898e-05,5.228152531344676e-06,0.0,43,0.0,3.832906804746017e-05,8.237659130827524e-06,2.1152498447918333e-05,8.938910468714312e-06,0.0,43,0.0,1.6889993275981396e-05,2.3820362002879847e-06,5.298426458466565e-06,9.209531526721548e-06,0.0,36,0.1428571428571428,6.069885785109364e-05,1.1315210031170864e-05,4.368520967545919e-05,5.69843814446358e-06,0.0,43,0.0,3.536003714543767e-05,1.0385641871835103e-05,1.876747774076648e-05,6.206917078088736e-06,0.0,47,0.0,2.2981786969467063e-05,7.839504178264178e-06,9.77898707787972e-06,5.3632957133231685e-06,0.0,44,0.0,4.479736162465997e-05,1.4391642253031025e-05,2.385388506809249e-05,6.551836122525856e-06,0.0,44,0.0,2.2744101443095133e-05,5.515694738278398e-06,9.80910499492893e-06,7.419300345645752e-06,0.0,42,0.0,3.980420660809614e-05,1.1730276128218975e-05,2.2760867068427615e-05,5.3130647756916005e-06,0.0,41,0.0
