,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8,total_9,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9,coeff_9,total_10,decoder_10,sindy_x_10,reg_10,sindy_z_10,active_coeffs_10,coeff_10,total_11,decoder_11,sindy_x_11,reg_11,sindy_z_11,active_coeffs_11,coeff_11
0,0,0.0382768437266349,0.0369440615177154,0.0013323709135875,4.092234178187937e-07,0.0,60,0.0,0.0405628122389316,0.0391010455787181,0.0014613864477723,3.810835096373921e-07,0.0,60,0.0,0.0377262346446514,0.0367257334291935,0.0010001414921134,3.6265717540118203e-07,0.0,60,0.0,0.0363595746457576,0.0351672656834125,0.0011917910305783,5.183494522498222e-07,0.0,60,0.0,0.0310819633305072,0.0297239907085895,0.0013575168559327,4.571723479784851e-07,0.0,60,0.0,0.0367493517696857,0.0358831882476806,0.0008657016442157,4.634408981019078e-07,0.0,60,0.0,0.0357822440564632,0.0345776416361331,0.0012041763402521,4.238252699906298e-07,0.0,60,0.0,0.0407504178583622,0.0394370295107364,0.0013129919534549,3.952352187752696e-07,0.0,60,0.0,0.0336455069482326,0.0321861170232296,0.0014589376514777,4.4976917479289124e-07,0.0,60,0.0,0.0453169047832489,0.0442085824906826,0.0011078552342951,4.653402925214323e-07,0.0,60,0.0,0.0348770394921302,0.0339460037648677,0.0009305746061727,4.604119681062002e-07,0.0,60,0.0,0.03574860468506813,0.03453521803021431,0.001212943927384913,4.4251549979890115e-07,0.0,60,0.0
1,50,0.0006745053105987,0.0004812230763491,0.0001903852680698,2.896916839745245e-06,0.0,60,0.0,0.0004991187597624,0.0002857744111679,0.0002089733025059,4.371027898741886e-06,0.0,60,0.0,0.0007177268853411,0.0005059466348029,0.0002087510511046,3.029167828572099e-06,0.0,60,0.0,0.0005063682910986,0.0002947553293779,0.0002066927554551,4.920213086734293e-06,0.0,60,0.0,0.0009594154544174,0.0006583654903806,0.0002982481964863,2.801752543746261e-06,0.0,60,0.0,0.0002573146193753,0.0001530701119918,0.0001001236523734,4.12083954870468e-06,0.0,60,0.0,0.0007903254590928,0.0005216099089011,0.0002661942562554,2.521299848012859e-06,0.0,60,0.0,0.0005321718635968,0.00023329204123,0.0002945924643427,4.287349383957917e-06,0.0,60,0.0,0.0006764583522453,0.0004052694421261,0.0002676273870747,3.5615018987300573e-06,0.0,60,0.0,0.0009627006365917,0.0006577197345905,0.0003018298302777,3.151074679408339e-06,0.0,60,0.0,0.0005039570969529,0.0003129245305899,0.0001878006005426,3.231958999094786e-06,0.0,60,0.0,0.0008089287439361215,0.0004637178499251604,0.00034125716774724424,3.953669420297956e-06,0.0,60,0.0
2,100,0.0002792230225168,0.0001542203535791,0.000120448457892,4.554226961772656e-06,0.0,51,0.0,0.0002290612028446,0.0001150587704614,0.000107766027213,6.236402441572864e-06,0.0,56,0.0,0.0002767440746538,0.0001446754613425,0.0001281729346374,3.895670033671195e-06,0.0,48,0.0,0.0002039024984696,9.934824629453942e-05,9.757644147612154e-05,6.9778070610482246e-06,0.0,53,0.0,0.0003664852119982,0.0001993759506149,0.0001630987389944,4.01051602239022e-06,0.0,52,0.0,0.000117793912068,5.6929329730337486e-05,5.472724296851084e-05,6.1373434618872125e-06,0.0,56,0.0,0.0004308125644456,0.0002396545896772,0.0001877313770819,3.426587454669061e-06,0.0,49,0.0,0.0002237399312434,9.697544010123238e-05,0.0001210964037454,5.668092853738926e-06,0.0,52,0.0,0.0002758837654255,0.0001348326477454,0.000136062662932,4.988446562492754e-06,0.0,49,0.0,0.0005105435266159,0.000324469001498,0.0001824631472118,3.611376996559557e-06,0.0,55,0.0,0.0001840479817474,8.688823436386883e-05,9.270789450965822e-05,4.451847871678183e-06,0.0,49,0.0,0.00036053615622222424,0.0001295034890063107,0.00022542230726685375,5.610358130070381e-06,0.0,55,0.0
3,150,0.0001784120540833,9.380756091559306e-05,7.872376590967178e-05,5.880741355213104e-06,0.0,49,0.0,0.0001245088205905,5.8180718042422086e-05,5.9137819334864616e-05,7.190278665802907e-06,0.0,53,0.0,0.0001544767437735,7.037160685285926e-05,7.847253436921164e-05,5.632597549265483e-06,0.0,44,0.0,0.0001033661756082,3.9482027204940096e-05,5.5373333452735096e-05,8.510809493600391e-06,0.0,48,0.0,0.0002516694366931,0.0001162359258159,0.0001303218887187,5.111608516017441e-06,0.0,52,0.0,6.942867184989154e-05,2.749331542872824e-05,3.459176514297724e-05,7.34359764464898e-06,0.0,55,0.0,0.0002695118892006,0.0001419798500137,0.0001231387432198,4.393288236315129e-06,0.0,45,0.0,0.0001311107480432,5.290640910970978e-05,7.155139610404149e-05,6.652950105490163e-06,0.0,52,0.0,0.0001860859774751,8.994120435090736e-05,9.047480125445873e-05,5.669959136866964e-06,0.0,48,0.0,0.0002841051609721,0.000141226206324,0.0001380449539283,4.834001629205886e-06,0.0,52,0.0,0.0001173034106614,4.58579852420371e-05,6.644036329817027e-05,5.005062121199444e-06,0.0,47,0.0,0.0002714914735406637,9.405792661709711e-05,0.00017116489470936358,6.2686417550139595e-06,0.0,53,0.0
4,200,0.0001454387675039,7.721815927652642e-05,6.165175000205636e-05,6.568853677890729e-06,0.0,46,0.0,8.674096898175776e-05,3.447804192546755e-05,4.42723321611993e-05,7.990593985596206e-06,0.0,51,0.0,0.0001062479495885,4.4485317630460486e-05,5.516384044312872e-05,6.598790605494287e-06,0.0,41,0.0,6.204957753652707e-05,1.9943638108088635e-05,3.209220813005231e-05,1.001373220788082e-05,0.0,47,0.0,0.0001961653906619,8.001131209312007e-05,0.0001103594622691,5.794609478471102e-06,0.0,51,0.0,4.4987442379351705e-05,1.5619747500750236e-05,2.122322803188581e-05,8.144468665705062e-06,0.0,55,0.0,0.0001997912040678,0.0001004527439363,9.397552639711648e-05,5.362937827158021e-06,0.0,43,0.0,9.194347512675448e-05,3.3377218642272055e-05,5.114150553708896e-05,7.424753221130231e-06,0.0,52,0.0,0.0001411078847013,6.62518068565987e-05,6.878600106574595e-05,6.070067229302367e-06,0.0,47,0.0,0.0002093534276355,9.548303205519916e-05,0.0001084096729755,5.460721695271786e-06,0.0,49,0.0,8.698210876900703e-05,2.969560227938928e-05,5.195704579818994e-05,5.329467512638075e-06,0.0,46,0.0,0.00021779019152745605,7.726229523541406e-05,0.0001339442387688905,6.583665253856452e-06,0.0,53,0.0
5,250,0.0001222974387928,6.726127321599051e-05,4.808555240742862e-05,6.950615443201968e-06,0.0,44,0.0,6.951707473490387e-05,2.500122900528368e-05,3.601295975386165e-05,8.502886885253247e-06,0.0,49,0.0,8.20137356640771e-05,3.318918970762752e-05,4.171245382167399e-05,7.112086223060032e-06,0.0,41,0.0,4.103982064407319e-05,1.1491904842841905e-05,1.8328866644878872e-05,1.121904824685771e-05,0.0,45,0.0,0.0001634564832784,6.29551723250188e-05,9.423595474800096e-05,6.2653612076246645e-06,0.0,50,0.0,3.386354001122527e-05,1.0430150723550469e-05,1.4739188372914214e-05,8.694200914760586e-06,0.0,54,0.0,0.0001741564337862,8.476786751998588e-05,8.334691665368155e-05,6.0416564338083845e-06,0.0,42,0.0,6.779099931009114e-05,2.257785126857925e-05,3.712052784976549e-05,8.092615644272882e-06,0.0,49,0.0,0.0001101275120163,4.967487257090397e-05,5.411377424024977e-05,6.338866569421953e-06,0.0,47,0.0,0.00016782770399,7.04930498613976e-05,9.150060213869438e-05,5.834049261466134e-06,0.0,48,0.0,6.888044299557805e-05,2.0308425519033332e-05,4.295481267035939e-05,5.617204351437977e-06,0.0,41,0.0,0.0001707476330921054,6.0154252423672006e-05,0.00010377872968092561,6.814641892560758e-06,0.0,52,0.0
6,300,0.0001056626060744,5.8850313507718965e-05,3.962670234614052e-05,7.185593858594075e-06,0.0,44,0.0,6.132069393061101e-05,1.954470826603938e-05,3.285441198386252e-05,8.921573680709116e-06,0.0,48,0.0,6.815805681981146e-05,2.685163053683937e-05,3.388251207070425e-05,7.423913302773144e-06,0.0,41,0.0,2.945357482531108e-05,7.1259760261455085e-06,1.0367415598011576e-05,1.1960182746406645e-05,0.0,45,0.0,0.0001310039806412,4.869440090260469e-05,7.569424633402377e-05,6.615327492909273e-06,0.0,47,0.0,2.79359555861447e-05,7.856147931306623e-06,1.094848175853258e-05,9.1313277152949e-06,0.0,53,0.0,0.0001587873703101,7.686991739319637e-05,7.543548417743295e-05,6.481966920546256e-06,0.0,42,0.0,5.186873386264779e-05,1.5992480257409625e-05,2.722901081142481e-05,8.647241884318646e-06,0.0,47,0.0,8.222478209063411e-05,3.562454003258608e-05,4.004037327831611e-05,6.559869689226616e-06,0.0,47,0.0,0.0001352670515188,5.4607284255325794e-05,7.45765064493753e-05,6.0832712733827066e-06,0.0,48,0.0,5.897328446735628e-05,1.6790714653325267e-05,3.634421591414139e-05,5.838357083121082e-06,0.0,40,0.0,0.00012917334970552474,4.365300264908001e-05,7.851140253478661e-05,7.008946795394877e-06,0.0,52,0.0
7,350,9.067201608559115e-05,4.916574107483029e-05,3.418245978537016e-05,7.323810223169858e-06,0.0,44,0.0,5.745946691604331e-05,1.5752621038700454e-05,3.247764107072726e-05,9.229204806615598e-06,0.0,46,0.0,5.887220322620124e-05,2.247780867037364e-05,2.8738772016367875e-05,7.655626177438535e-06,0.0,41,0.0,2.3411779693560675e-05,4.382325641927309e-06,6.620434305659728e-06,1.2409020200720988e-05,0.0,43,0.0,9.592226706445216e-05,3.1011641112854704e-05,5.8021418226417154e-05,6.889215001137927e-06,0.0,47,0.0,2.448574377922341e-05,6.389625923475251e-06,8.648311450087931e-06,9.447805496165527e-06,0.0,52,0.0,0.0001452184224035,6.984941865084693e-05,6.85777558828704e-05,6.791242867620895e-06,0.0,42,0.0,3.922695759683848e-05,1.0026018571807072e-05,2.013468838413246e-05,9.066250640898945e-06,0.0,46,0.0,6.462173041654751e-05,2.703496829781216e-05,3.0865408916724846e-05,6.721358204231365e-06,0.0,45,0.0,0.0001115098348236,4.254185478202999e-05,6.267399294301867e-05,6.293985279626213e-06,0.0,48,0.0,5.0450613343855366e-05,1.3178832887206228e-05,3.132028359686956e-05,5.951497314526932e-06,0.0,39,0.0,9.270137525163591e-05,2.880694592022337e-05,5.671083272318356e-05,7.183599336713087e-06,0.0,51,0.0
8,400,7.795909914420918e-05,4.0866023482522e-05,2.9707347493967973e-05,7.3857327151927166e-06,0.0,42,0.0,4.99186608067248e-05,1.3042775208305102e-05,2.745693200267852e-05,9.418952686246485e-06,0.0,45,0.0,5.125935058458708e-05,1.8466647816239856e-05,2.496454908396117e-05,7.828155503375456e-06,0.0,40,0.0,2.054025753750465e-05,3.111487330897944e-06,4.570889814203838e-06,1.2857879482908174e-05,0.0,38,0.0,7.530479342676699e-05,2.287266033818014e-05,4.529351645032875e-05,7.138617547752801e-06,0.0,47,0.0,2.245530231448356e-05,5.637158665194875e-06,7.0841524575371295e-06,9.733990737004206e-06,0.0,51,0.0,0.0001332150714006,6.374793156282976e-05,6.243476673262194e-05,7.032378107396653e-06,0.0,42,0.0,3.8378857425414026e-05,1.202722796733724e-05,1.697900916042272e-05,9.37261756916996e-06,0.0,46,0.0,5.915435394854285e-05,2.675131327123381e-05,2.554293860157486e-05,6.860104804218281e-06,0.0,45,0.0,9.012947703013197e-05,3.029580511793029e-05,5.337697075447068e-05,6.456696610257495e-06,0.0,48,0.0,4.4659107516054064e-05,1.2113796401536092e-05,2.6457448257133365e-05,6.087861947889905e-06,0.0,38,0.0,6.277746433624998e-05,1.7812302758102305e-05,3.765074143302627e-05,7.314420599868754e-06,0.0,51,0.0
9,450,6.554245192091912e-05,3.237628334318288e-05,2.5708201064844616e-05,7.457967058144277e-06,0.0,41,0.0,4.387417720863596e-05,1.1417228961363436e-05,2.2879794414620847e-05,9.577155651641078e-06,0.0,45,0.0,4.560013621812686e-05,1.547762622067239e-05,2.214386586274486e-05,7.978644134709612e-06,0.0,40,0.0,1.9020892068510875e-05,2.4582909645687323e-06,3.4221211535623297e-06,1.3140480405127164e-05,0.0,35,0.1428571428571428,6.366050365613773e-05,1.834240356402006e-05,3.797043245867826e-05,7.3476662691973615e-06,0.0,46,0.0,2.1309500880306587e-05,5.408036940934835e-06,5.922146556258667e-06,9.979316928365732e-06,0.0,50,0.0,0.0001238576514879,5.757321559940465e-05,5.904700083192438e-05,7.237437330331886e-06,0.0,41,0.0,3.061924144276418e-05,6.763361398043344e-06,1.4248139450501183e-05,9.607740139472298e-06,0.0,45,0.0,4.524879477685317e-05,1.7118625692091882e-05,2.115608185704332e-05,6.974087227717973e-06,0.0,44,0.0,7.299248682102188e-05,2.072922325169202e-05,4.567444557324052e-05,6.588815267605241e-06,0.0,48,0.0,3.838146949419752e-05,1.0026831660070457e-05,2.2134594473754987e-05,6.220040631887969e-06,0.0,38,0.0,4.606265065376647e-05,1.2372329365462065e-05,2.6253153919242322e-05,7.437166004820028e-06,0.0,51,0.0
