,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5
0,0,0.0354302898049354,0.0343596488237381,0.0010702414438128,3.986411059031525e-07,0.0,60,0.0,0.0496403686702251,0.0481943860650062,0.0014455461641773,4.353748863650253e-07,0.0,60,0.0,0.0398617759346962,0.0384021960198879,0.0014590685022994,5.100184807815822e-07,0.0,60,0.0,0.0384784042835235,0.0374073050916194,0.0010706773027777,4.213059980884282e-07,0.0,60,0.0,0.0310713071376085,0.0296042170375585,0.001466691144742,3.982345333497506e-07,0.0,60,0.0,0.039296720176935196,0.03829416260123253,0.001002038479782641,5.160158593753295e-07,0.0,60,0.0
1,50,0.000717946444638,0.0004964136169292,0.0002181762392865,3.356583647473599e-06,0.0,60,0.0,0.0010099826613441,0.0006524961791001,0.00035454283352,2.943624167528469e-06,0.0,60,0.0,0.0009037810959853,0.000602604704909,0.0002987364714499,2.4398761979682604e-06,0.0,60,0.0,0.000731328909751,0.0004942438681609,0.0002335838216822,3.5012214993912494e-06,0.0,60,0.0,0.0007086799014359,0.0004479443305172,0.0002574502141214,3.285367938588024e-06,0.0,60,0.0,0.0006415200186893344,0.0003829293418675661,0.0002548262709751725,3.764412895179703e-06,0.0,60,0.0
2,100,0.0002755088207777,0.0001389083190588,0.000132442190079,4.158327556069708e-06,0.0,54,0.0,0.00035714005935,0.0001567153376527,0.0001963500981219,4.074618573213229e-06,0.0,49,0.0,0.0004834572027903,0.0003036981506738,0.0001766344066709,3.124650447716704e-06,0.0,48,0.0,0.0002098630502587,9.587470412952824e-05,0.000109090215119,4.898134648101404e-06,0.0,54,0.0,0.0003006857587024,0.0001585130230523,0.0001370272802887,5.145432623976376e-06,0.0,54,0.0,0.00025118215125985444,0.00012192203575978056,0.00012452944065444171,4.730677574116271e-06,0.0,54,0.0
3,150,0.0001642611750867,7.645149889867753e-05,8.29344498924911e-05,4.87522220282699e-06,0.0,49,0.0,0.0002232757688034,8.05574600235559e-05,0.0001378978049615,4.820499270863365e-06,0.0,47,0.0,0.0003256181662436,0.0001480393402744,0.0001735025143716,4.076309778611176e-06,0.0,45,0.0,0.00011865941633,4.7316658310592175e-05,6.608665717067197e-05,5.256099029793404e-06,0.0,52,0.0,0.000173955282662,7.163144618971273e-05,9.633720037527382e-05,5.986626092635561e-06,0.0,53,0.0,0.000150847525219433,7.07711951690726e-05,7.476322934962809e-05,5.313087058311794e-06,0.0,50,0.0
4,200,0.0001324760960415,6.016977931722067e-05,6.678375211777166e-05,5.522565516002942e-06,0.0,48,0.0,0.0001576896029291,5.3947831474943087e-05,9.851057984633373e-05,5.231199338595616e-06,0.0,46,0.0,0.0002514827938284,0.0001101836023735,0.0001364713098155,4.827884822589112e-06,0.0,45,0.0,8.642071043141186e-05,3.244321487727575e-05,4.859435648540966e-05,5.383142706705257e-06,0.0,50,0.0,0.0001236529496964,4.128954242332839e-05,7.59688118705526e-05,6.394593583536334e-06,0.0,53,0.0,0.00010939849744318053,5.243653504294343e-05,5.138926280778833e-05,5.5726977734593675e-06,0.0,49,0.0
5,250,0.0001132133547798,5.0664304581005126e-05,5.655402856064029e-05,5.995017090754118e-06,0.0,47,0.0,0.0001246287429239,4.2713356378953904e-05,7.651012856513262e-05,5.405263891589129e-06,0.0,46,0.0,0.00020722199406,9.297415090259165e-05,0.0001091352096409,5.112623057357268e-06,0.0,42,0.0,7.18851515557617e-05,2.698295065783896e-05,3.957408989663236e-05,5.328107818058925e-06,0.0,46,0.0,9.249210415873677e-05,2.7466987376101315e-05,5.829073779750616e-05,6.734381713613402e-06,0.0,49,0.0,8.27295589260757e-05,4.0945607906905934e-05,3.6045054002897814e-05,5.738897925766651e-06,0.0,47,0.0
6,300,8.223815530072898e-05,4.154603811912239e-05,3.440879663685337e-05,6.283322818489978e-06,0.0,47,0.0,0.0001008476756396,3.4429991501383483e-05,6.08993686910253e-05,5.518309535545996e-06,0.0,46,0.0,0.0001708314230199,8.026111026993021e-05,8.512938802596182e-05,5.440928362077102e-06,0.0,41,0.0,5.907795275561512e-05,2.1392583221313544e-05,3.238124554627575e-05,5.3041212595417164e-06,0.0,46,0.0,7.478558836737648e-05,2.3760638214298524e-05,4.400066245580092e-05,7.02429179000319e-06,0.0,47,0.0,6.073579061194323e-05,2.877506267395802e-05,2.609643343021162e-05,5.864293598278891e-06,0.0,46,0.0
7,350,6.606969691347331e-05,3.3814296330092475e-05,2.578070780145936e-05,6.474696419900283e-06,0.0,46,0.0,8.13402293715626e-05,2.778727866825648e-05,4.799614180228673e-05,5.556806172535289e-06,0.0,44,0.0,0.000144027537317,6.744487473042682e-05,7.094526517903432e-05,5.637390586343827e-06,0.0,41,0.0,5.0787282816600055e-05,1.7360775018460117e-05,2.813990431604907e-05,5.2866016631014645e-06,0.0,45,0.0,5.965146192465909e-05,1.7536693121655844e-05,3.4855856938520446e-05,7.258915047714254e-06,0.0,44,0.0,4.486771649681032e-05,1.863110992417205e-05,2.0315170331741683e-05,5.921438059885986e-06,0.0,46,0.0
8,400,5.6731849326752126e-05,2.751346619334072e-05,2.2614598492509685e-05,6.603781912417617e-06,0.0,44,0.0,6.903419125592336e-05,2.360332837270107e-05,3.983860369771719e-05,5.592254638031591e-06,0.0,44,0.0,0.0001216263408423,5.74395053263288e-05,5.841748497914523e-05,5.769345534645254e-06,0.0,39,0.0,4.543485920294188e-05,1.513608731329441e-05,2.504223448340781e-05,5.256536496744957e-06,0.0,45,0.0,5.197883365326561e-05,1.581226933922153e-05,2.877620318031404e-05,7.390361133730039e-06,0.0,41,0.0,3.5479984944686294e-05,1.2999068530916702e-05,1.652077116887085e-05,5.96014524489874e-06,0.0,46,0.0
9,450,5.0386042858008295e-05,2.285512164235115e-05,2.0837127522099763e-05,6.693794603052083e-06,0.0,41,0.0,6.172114080982283e-05,2.013482117035892e-05,3.5956338251708075e-05,5.62998457098729e-06,0.0,43,0.0,0.0001057178596965,5.068975224276073e-05,4.911317228106782e-05,5.914929261052748e-06,0.0,37,0.0,5.059943214291707e-05,1.3394251254794654e-05,3.178287806804292e-05,5.422302820079494e-06,0.0,40,0.0,4.625512156053446e-05,1.443049404770136e-05,2.437105831631925e-05,7.45356737752445e-06,0.0,40,0.1428571428571428,3.026079139090143e-05,1.0199904863839038e-05,1.4102296518103685e-05,5.95859091845341e-06,0.0,44,0.0
