,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5
0,0,0.033560324460268,0.0324896648526191,0.0010702399304136,4.2091122054444e-07,0.0,60,0.0,0.0382684096693992,0.0368224307894706,0.0014455298660323,4.523199947925605e-07,0.0,60,0.0,0.0372206643223762,0.0357611589133739,0.0014590686187148,4.377042444048129e-07,0.0,60,0.0,0.0383810326457023,0.0373098626732826,0.0010706820758059,4.867510483563819e-07,0.0,60,0.0,0.0453627705574035,0.0438956916332244,0.0014666852075606,3.956600096444163e-07,0.0,60,0.0,0.03878581151366234,0.03778330236673355,0.001002041855826974,4.662538231059443e-07,0.0,60,0.0
1,50,0.00067526451312,0.0004682585131376,0.0002035989018622,3.4071381378453225e-06,0.0,60,0.0,0.0008798845228739,0.0005645612254738,0.0003124198119621,2.903484300986748e-06,0.0,60,0.0,0.0007984043331816,0.0005084425793029,0.0002863636182155,3.5981377095595235e-06,0.0,60,0.0,0.0007281965808942,0.0005028476589359,0.0002223636838607,2.985242417707923e-06,0.0,60,0.0,0.0008772334549576,0.0003993595018982,0.0004740645817946,3.8093598959676456e-06,0.0,60,0.0,0.0006451272056438029,0.0004566101997625083,0.00018568690575193614,2.830092626027181e-06,0.0,60,0.0
2,100,0.0002511846832931,0.0001283241726923,0.0001181988918688,4.661614184442442e-06,0.0,52,0.0,0.0002968190528918,0.0001402557682013,0.0001523328683106,4.230407284921967e-06,0.0,49,0.0,0.0002734973386395,0.0001356797147309,0.000133073379402,4.744244506582618e-06,0.0,48,0.0,0.0002617459977045,0.0001164250206784,0.0001415904844179,3.73050283997145e-06,0.0,43,0.0,0.0003619586059357,0.0001263949234271,0.0002296356105944,5.928074187977472e-06,0.0,51,0.0,0.00033024861477315426,0.0002044970024144277,0.00012222853547427803,3.5230764297011774e-06,0.0,50,0.0
3,150,0.0001818584714783,8.774688467383385e-05,8.883436385076493e-05,5.277226591715589e-06,0.0,48,0.0,0.0002016343933064,9.097612201003358e-05,0.0001057715999195,4.886671831627609e-06,0.0,45,0.1428571428571428,0.0001741097948979,8.042538684094325e-05,8.836556662572548e-05,5.318840067047859e-06,0.0,44,0.0,0.0001393793063471,5.1207473006797954e-05,8.364857058040798e-05,4.523262305156095e-06,0.0,39,0.0,0.0002176767739001,7.785400521242991e-05,0.0001331966486759,6.626133199461037e-06,0.0,50,0.0,0.0002449520106893033,0.00014521436241921037,9.561354090692475e-05,4.124113729631063e-06,0.0,46,0.0
4,200,0.0001514866307843,7.330277003347874e-05,7.261063728947192e-05,5.573224370891694e-06,0.0,46,0.0,0.0001522549137007,6.946201756363735e-05,7.769659714540467e-05,5.0963008106919006e-06,0.0,44,0.1428571428571428,0.0001340477319899,6.083068365114741e-05,6.771730113541707e-05,5.499756298377179e-06,0.0,44,0.1428571428571428,9.805699664866552e-05,3.589785410440527e-05,5.713852442568168e-05,5.020619482820621e-06,0.0,37,0.0,0.0001506351254647,5.254327697912231e-05,9.129205864155664e-05,6.799796665291069e-06,0.0,47,0.0,0.00020654844411183149,0.00012610814883373678,7.600375101901591e-05,4.436538347363239e-06,0.0,44,0.0
5,250,0.000124658428831,6.086420762585476e-05,5.7989418564829975e-05,5.8048099162988365e-06,0.0,44,0.0,0.0001196981538669,5.175321712158621e-05,6.274734914768487e-05,5.197584414418088e-06,0.0,38,0.1428571428571428,0.0001122476242017,4.85135278722737e-05,5.832186070620082e-05,5.412233804236166e-06,0.0,41,0.1428571428571428,7.808583177393302e-05,3.0797324143350124e-05,4.198580063530244e-05,5.302709269017214e-06,0.0,35,0.0,0.0001106496056308,3.6825240385951474e-05,6.699604273308069e-05,6.828328423580388e-06,0.0,44,0.0,0.0002113014052156359,0.0001220978592755273,8.478081872453913e-05,4.422736765263835e-06,0.0,39,0.0
6,300,9.3840979388915e-05,4.1706454794621095e-05,4.611657277564518e-05,6.017949999659322e-06,0.0,43,0.0,9.87382372841239e-05,3.937390283681452e-05,5.406748459790833e-05,5.296857125358656e-06,0.0,36,0.4285714285714285,9.183100337395445e-05,3.781412306125276e-05,4.865376831730828e-05,5.363118361856323e-06,0.0,39,0.2857142857142857,6.117091834312305e-05,2.3597398467245512e-05,3.211573130101897e-05,5.457791758090025e-06,0.0,35,0.1428571428571428,8.315309241879731e-05,2.6418549168738537e-05,4.986606290913187e-05,6.868478521937504e-06,0.0,42,0.0,0.00019161164527758956,0.0001090248697437346,7.799207378411666e-05,4.594709480443271e-06,0.0,35,0.2857142857142857
7,350,6.441777804866433e-05,2.780488102871459e-05,3.0449968107859604e-05,6.162926183606032e-06,0.0,43,0.0,8.413306204602122e-05,3.018867937498726e-05,4.859065302298404e-05,5.353731921786675e-06,0.0,36,0.4285714285714285,8.366608381038532e-05,3.502497202134691e-05,4.3279011151753366e-05,5.36209608981153e-06,0.0,38,0.2857142857142857,5.07462173118256e-05,2.0153585865045898e-05,2.504995427443646e-05,5.542680355574703e-06,0.0,34,0.1428571428571428,6.833509542047977e-05,2.001144275709521e-05,4.141896715736948e-05,6.9046900534885935e-06,0.0,42,0.0,0.00017742642376106232,0.00010017963359132409,7.251263014040887e-05,4.734161393571412e-06,0.0,34,0.2857142857142857
8,400,5.134457387612201e-05,2.052938361885026e-05,2.4593497073510665e-05,6.221692274266388e-06,0.0,43,0.0,7.31237669242546e-05,2.444937490508892e-05,4.327714486862533e-05,5.39724624104565e-06,0.0,36,0.4285714285714285,7.082462980179116e-05,2.660924474184867e-05,3.882260716636665e-05,5.392776529333787e-06,0.0,38,0.4285714285714285,4.305550828576088e-05,1.719712781778071e-05,2.0268123989808373e-05,5.590257387666497e-06,0.0,34,0.1428571428571428,5.991572106722742e-05,1.664910087129101e-05,3.635225584730506e-05,6.914362529641949e-06,0.0,42,0.0,0.00016497312753926963,9.365042205899954e-05,6.646347901551053e-05,4.859222826780751e-06,0.0,34,0.2857142857142857
9,450,4.421512130647898e-05,1.56592286657542e-05,2.2326976250042208e-05,6.228918664419325e-06,0.0,41,0.0,6.398488039849326e-05,2.005788337555714e-05,3.84911872970406e-05,5.435806542664068e-06,0.0,35,0.4285714285714285,6.184217636473477e-05,2.1667581677320413e-05,3.474812547210604e-05,5.426470579550369e-06,0.0,37,0.4285714285714285,3.636272231233306e-05,1.3875173863198142e-05,1.6884774595382623e-05,5.6027756727417e-06,0.0,34,0.1428571428571428,5.439607775770128e-05,1.4809670574322809e-05,3.268128421041183e-05,6.905123427713988e-06,0.0,41,0.0,0.00015237180923577398,8.810067811282352e-05,5.9316960687283427e-05,4.954169980919687e-06,0.0,33,0.2857142857142857
