,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8,total_9,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9,coeff_9,total_10,decoder_10,sindy_x_10,reg_10,sindy_z_10,active_coeffs_10,coeff_10,total_11,decoder_11,sindy_x_11,reg_11,sindy_z_11,active_coeffs_11,coeff_11,total_12,decoder_12,sindy_x_12,reg_12,sindy_z_12,active_coeffs_12,coeff_12,total_13,decoder_13,sindy_x_13,reg_13,sindy_z_13,active_coeffs_13,coeff_13,total_14,decoder_14,sindy_x_14,reg_14,sindy_z_14,active_coeffs_14,coeff_14,total_15,decoder_15,sindy_x_15,reg_15,sindy_z_15,active_coeffs_15,coeff_15,total_16,decoder_16,sindy_x_16,reg_16,sindy_z_16,active_coeffs_16,coeff_16,total_17,decoder_17,sindy_x_17,reg_17,sindy_z_17,active_coeffs_17,coeff_17,total_18,decoder_18,sindy_x_18,reg_18,sindy_z_18,active_coeffs_18,coeff_18,total_19,decoder_19,sindy_x_19,reg_19,sindy_z_19,active_coeffs_19,coeff_19
0,0,0.07476422190666199,0.07298164069652557,0.0017816830659285188,9.013296562443429e-07,0.0,60,0.0,0.06057535856962204,0.05825111269950867,0.0023233131505548954,9.327472412223869e-07,0.0,60,0.0,0.07366448640823364,0.06862431019544601,0.0050391326658427715,1.0432395356474444e-06,0.0,60,0.0,0.0704212635755539,0.06762288510799408,0.0027975603006780148,8.187859066310921e-07,0.0,60,0.0,0.06477628648281097,0.06278184056282043,0.001993437996134162,1.0043286238214932e-06,0.0,60,0.0,0.06956812739372253,0.06632012873888016,0.0032470072619616985,9.888955219139461e-07,0.0,60,0.0,0.07624626159667969,0.0744955837726593,0.0017498268280178308,8.580510666433838e-07,0.0,60,0.0,0.06412757933139801,0.06184360012412071,0.0022830809466540813,8.928309398470446e-07,0.0,60,0.0,0.08205106109380722,0.07843749225139618,0.0036125709302723408,9.915391956383246e-07,0.0,60,0.0,0.07701165229082108,0.07279451191425323,0.00421617366373539,9.688075124358875e-07,0.0,60,0.0,0.08255703747272491,0.08024255186319351,0.002313487231731415,1.0018871989814215e-06,0.0,60,0.0,0.07492946833372116,0.0732765793800354,0.0016519420314580202,9.498920690020896e-07,0.0,60,0.0,0.0763338953256607,0.07444727420806885,0.0018856776878237724,9.425376674698782e-07,0.0,60,0.0,0.0676945298910141,0.0662875771522522,0.0014058607630431652,1.0899289009103086e-06,0.0,60,0.0,0.07832801342010498,0.07641509920358658,0.0019119519274681807,9.631592092773644e-07,0.0,60,0.0,0.07541584968566895,0.07249200344085693,0.002922565210610628,1.2719352753265412e-06,0.0,60,0.0,0.07315874099731445,0.06957408785820007,0.0035837367177009583,9.211004794451583e-07,0.0,60,0.0,0.07132473587989807,0.06969493627548218,0.0016288856277242303,9.158250691143621e-07,0.0,60,0.0,0.07633548974990845,0.07518203556537628,0.001152388984337449,1.0667872629710473e-06,0.0,60,0.0,0.07283545285463333,0.07084767520427704,0.0019868011586368084,9.7432211987325e-07,0.0,60,0.0
1,50,0.0016203380655497313,0.0010603917762637138,0.0005540887359529734,5.857605174242053e-06,0.0,60,0.0,0.0019971851725131273,0.001341676339507103,0.0006486918427981436,6.817112534918124e-06,0.0,60,0.0,0.0025513875298202038,0.0011299584293738008,0.001414591446518898,6.837803084636107e-06,0.0,60,0.0,0.0013126388657838106,0.0007370742969214916,0.0005673553678207099,8.209183761209715e-06,0.0,60,0.0,0.0016481088241562247,0.0011056559160351753,0.0005375108448788524,4.94204459755565e-06,0.0,60,0.0,0.002264663577079773,0.001455942285247147,0.000804430921562016,4.290606739232317e-06,0.0,60,0.0,0.0018007014878094196,0.0012274880427867174,0.000567448150832206,5.765328751294874e-06,0.0,60,0.0,0.002009088173508644,0.001352624036371708,0.0006504256743937731,6.03854050496011e-06,0.0,60,0.0,0.0034042284823954105,0.0019783438183367252,0.001420876127667725,5.008556854591006e-06,0.0,60,0.0,0.004325954243540764,0.0023004384711384773,0.002019268460571766,6.247395504033193e-06,0.0,60,0.0,0.0012813364155590534,0.0008135417010635138,0.0004608086892403662,6.985938853176776e-06,0.0,60,0.0,0.0013555057812482119,0.0005640943418256938,0.0007843530038371682,7.058515166136203e-06,0.0,60,0.0,0.00160214863717556,0.0008662962354719639,0.000728665676433593,7.186643415479921e-06,0.0,60,0.0,0.0014066847506910563,0.0009549714741297066,0.0004468925762921572,4.82074256069609e-06,0.0,60,0.0,0.0011811662698164582,0.0006098476005718112,0.0005645351484417915,6.783520802855492e-06,0.0,60,0.0,0.0032948250882327557,0.001738349674269557,0.0015489328652620316,7.542727416876005e-06,0.0,60,0.0,0.003282723017036915,0.0018418821273371577,0.001435496611520648,5.344167675502831e-06,0.0,60,0.0,0.0008949808543547988,0.0006058918661437929,0.0002835418563336134,5.547141427086899e-06,0.0,60,0.0,0.0010808840161189437,0.0007948033744469285,0.00027974293334409595,6.337688319035806e-06,0.0,60,0.0,0.0019115868490189314,0.001258003176189959,0.0006472645327448845,6.319103704299778e-06,0.0,60,0.0
2,100,0.0006210076389834285,0.00023231403611134738,0.00038078028592281044,7.913350600574631e-06,0.0,49,0.0,0.0007209150353446603,0.00033767757122404873,0.0003753024502657354,7.935046596685424e-06,0.0,55,0.0,0.001200039405375719,0.0005968653713352978,0.0005948924808762968,8.281607733806595e-06,0.0,49,0.0,0.0006018454441800714,0.0002831302408594638,0.0003072685794904828,1.1446642929513473e-05,0.0,55,0.0,0.000837473664432764,0.0004993497277610004,0.00033282412914559245,5.299828444549348e-06,0.0,45,0.0,0.0009523307671770453,0.0004873095022048801,0.0004588752053678036,6.146058240119601e-06,0.0,48,0.0,0.0007311684312298894,0.00038354459684342146,0.00034019065788015723,7.433182872773614e-06,0.0,48,0.0,0.0008332091383635998,0.00043006741907447577,0.0003957425942644477,7.399160040222341e-06,0.0,49,0.0,0.0019346142653375864,0.0011765271192416549,0.0007536206976510584,4.4664511733572e-06,0.0,43,0.0,0.002208881312981248,0.0008869328303262591,0.0013141622766852379,7.786101377860177e-06,0.0,50,0.0,0.0005221525207161903,0.0002750252606347203,0.00023781655181664973,9.310666428063996e-06,0.0,49,0.0,0.0004996518837288022,0.0002179077418986708,0.0002718825708143413,9.861613762041088e-06,0.0,53,0.0,0.00047566083958372474,0.0002166715421481058,0.00024908085470087826,9.908447282214183e-06,0.0,53,0.0,0.0007280535064637661,0.0004781662719324231,0.00024489444331265986,4.99274301546393e-06,0.0,47,0.0,0.0005370508297346532,0.00024814228527247906,0.00027930684154853225,9.601688361726701e-06,0.0,49,0.0,0.000901420833542943,0.0003705513081513345,0.0005214257980696857,9.44369185162941e-06,0.0,53,0.0,0.0013418286107480526,0.000758053851313889,0.0005775020690634847,6.272681275731884e-06,0.0,49,0.0,0.00037255941424518824,0.00022442502086050808,0.00014035601634532213,7.77838704379974e-06,0.0,47,0.0,0.0003944194468203932,0.00022724301379639655,0.0001607794256415218,6.397011020453647e-06,0.0,55,0.0,0.0007176407380029559,0.0003352384956087917,0.0003741208929568529,8.281293048639782e-06,0.0,49,0.0
3,150,0.0004160093958489597,0.0001466241228627041,0.000259731721598655,9.653533197706565e-06,0.0,42,0.0,0.0004140114178881049,0.00016151291492860764,0.00024390144972130656,8.597029591328464e-06,0.0,50,0.0,0.0007350983796641231,0.0003456433769315481,0.0003800260601565242,9.42896895139711e-06,0.0,42,0.14285714285714285,0.0003688815049827099,0.00013319944264367223,0.00022234971402212977,1.3332350135897286e-05,0.0,45,0.0,0.0005841824458912015,0.0002506054297555238,0.00032710342202335596,6.4736100284790155e-06,0.0,39,0.0,0.000667568645440042,0.00032817269675433636,0.0003316390502732247,7.756844752293546e-06,0.0,43,0.0,0.0004918577615171671,0.00024624698562547565,0.00023656194389332086,9.048824722412974e-06,0.0,44,0.0,0.0005167484050616622,0.00020457388018257916,0.00030411998159252107,8.054562385950703e-06,0.0,42,0.0,0.001522497390396893,0.0008808779530227184,0.0006368769099935889,4.742413239000598e-06,0.0,38,0.14285714285714285,0.001549700740724802,0.0004991369787603617,0.0010411817347630858,9.382088137499522e-06,0.0,45,0.0,0.00036288920091465116,0.0001825226645451039,0.00016937886539380997,1.0987670975737274e-05,0.0,45,0.0,0.0003400889690965414,0.00012632219295483083,0.00020223282626830041,1.1533928955032025e-05,0.0,44,0.0,0.00030026116291992366,0.0001330864615738392,0.00015574705321341753,1.1427640856709331e-05,0.0,46,0.0,0.0005710942205041647,0.0003224681131541729,0.00024277316697407514,5.852872618561378e-06,0.0,38,0.0,0.0003552620764821768,0.0001484916574554518,0.00019560122746042907,1.1169197023264132e-05,0.0,45,0.0,0.0005340373609215021,0.000212766244658269,0.00031060390756465495,1.0667245987860952e-05,0.0,46,0.0,0.0009064382174983621,0.0004404234641697258,0.00045810872688889503,7.90606554801343e-06,0.0,46,0.0,0.00021637114696204662,0.00011256066500209272,9.422506263945252e-05,9.585411135049071e-06,0.0,46,0.0,0.0002598511055111885,0.00013362876779865474,0.00011870580055983737,7.516529421991436e-06,0.0,50,0.0,0.0004127345746383071,0.00017375110473949462,0.00022949810954742134,9.485349437454715e-06,0.0,46,0.0
4,200,0.00032525244751013815,0.00010871852282434702,0.00020602009317371994,1.0513817869650666e-05,0.0,39,0.0,0.0002945242158602923,9.720824164105579e-05,0.00018813362112268806,9.182346730085555e-06,0.0,42,0.0,0.0004975809715688229,0.0002057449601124972,0.0002813336323015392,1.0502391887712292e-05,0.0,41,0.14285714285714285,0.00025379800354130566,7.275029201991856e-05,0.0001660941052250564,1.495361630077241e-05,0.0,42,0.0,0.0004891835269518197,0.0001842825731728226,0.00029760447796434164,7.296511739696143e-06,0.0,37,0.0,0.000469720340333879,0.00023137094103731215,0.00022961758077144623,8.731803973205388e-06,0.0,40,0.0,0.00031861395109444857,0.0001442885841242969,0.00016450454131700099,9.8208374765818e-06,0.0,44,0.0,0.0003711680183187127,0.00012947882350999862,0.0002330714196432382,8.617771527497098e-06,0.0,39,0.0,0.0013368522049859166,0.0006830092752352357,0.0006489502266049385,4.8927745410765056e-06,0.0,32,0.14285714285714285,0.001210970338433981,0.0003392511571291834,0.0008614914841018617,1.0227714483335149e-05,0.0,43,0.14285714285714285,0.00024383995332755148,0.0001083694223780185,0.00012343212438281626,1.2038415661663748e-05,0.0,41,0.0,0.00025243795244023204,7.861812628107145e-05,0.00016116080223582685,1.2659041203733068e-05,0.0,40,0.0,0.00018157417071051896,6.718371150782332e-05,0.00010152360482607037,1.2866850738646463e-05,0.0,43,0.0,0.0005101662827655673,0.000275797356152907,0.00022780676954425871,6.562152975675417e-06,0.0,32,0.14285714285714285,0.0002502395072951913,9.13876574486494e-05,0.0001465531240683049,1.2298726687731687e-05,0.0,43,0.0,0.00036349729634821415,0.00013254041550680995,0.0002195281267631799,1.1428770449128933e-05,0.0,42,0.0,0.0006831684149801731,0.0003035524860024452,0.0003703035181388259,9.312461770605296e-06,0.0,43,0.0,0.0001380667235935107,5.385417534853332e-05,7.31761974748224e-05,1.103634167520795e-05,0.0,43,0.0,0.000191197992535308,9.435504034627229e-05,8.856660133460537e-05,8.276348125946242e-06,0.0,48,0.0,0.00027486111503094435,0.00010158969234908,0.00016312938532792032,1.0142001883650664e-05,0.0,44,0.0
5,250,0.00027024472365155816,8.613865065854043e-05,0.0001729076902847737,1.119839544116985e-05,0.0,38,0.14285714285714285,0.00023578151012770832,7.099505455698818e-05,0.00015518678992521018,9.599658369552344e-06,0.0,41,0.0,0.0003798909019678831,0.00014797376934438944,0.00022048881510272622,1.1428312973293941e-05,0.0,38,0.14285714285714285,0.00018989102682098746,4.3279389501549304e-05,0.00013035991287324578,1.62517335411394e-05,0.0,41,0.0,0.0004270261852070689,0.0001458476617699489,0.00027344777481630445,7.730741344857961e-06,0.0,35,0.0,0.00036005006404593587,0.00016714900266379118,0.00018364819698035717,9.252907148038503e-06,0.0,40,0.0,0.0002107619948219508,9.098465670831501e-05,0.00010956051846733317,1.0216826922260225e-05,0.0,42,0.0,0.0002862834953702986,8.459238597424701e-05,0.0001926495460793376,9.041561497724615e-06,0.0,37,0.0,0.001153901917859912,0.0005552672082558274,0.0005935926456004381,5.04203626405797e-06,0.0,30,0.2857142857142857,0.0009894698159769177,0.00026052407338283956,0.0007183509296737611,1.0594752893666737e-05,0.0,43,0.14285714285714285,0.00016504191444255412,5.681371476384811e-05,9.546008368488401e-05,1.2768125998263713e-05,0.0,38,0.0,0.00020465448324102908,5.808251444250345e-05,0.00013292510993778706,1.364685613225447e-05,0.0,39,0.14285714285714285,0.00012591264385264367,4.114311741432175e-05,7.083846139721572e-05,1.3931066860095598e-05,0.0,41,0.14285714285714285,0.00045704329386353493,0.00024306325940415263,0.000206993572646752,6.986475909798173e-06,0.0,29,0.42857142857142855,0.00018414382066112012,5.6248503824463114e-05,0.00011471984907984734,1.3175470485293772e-05,0.0,41,0.0,0.00026790029369294643,9.01554521988146e-05,0.00016580340161453933,1.1941458978981245e-05,0.0,40,0.0,0.0005172586534172297,0.00022431311663240194,0.00028252441552467644,1.0421083970868494e-05,0.0,42,0.0,0.000100627526990138,3.2167983590625226e-05,5.6531956943217665e-05,1.1927587365789805e-05,0.0,40,0.0,0.00014404994726646692,6.802196730859578e-05,6.728997686877847e-05,8.73800217959797e-06,0.0,43,0.0,0.00021550663223024458,7.299255230464041e-05,0.00013208820018917322,1.0425877007946838e-05,0.0,41,0.0
6,300,0.00022042798809707165,6.924534682184458e-05,0.00013946107355877757,1.1721556802513078e-05,0.0,37,0.14285714285714285,0.00020511678303591907,6.186777318362147e-05,0.00013330621004570276,9.94278525467962e-06,0.0,39,0.0,0.00031396420672535896,0.00011613452807068825,0.00018566788639873266,1.2161768609075807e-05,0.0,37,0.14285714285714285,0.00015167603851296008,3.1134004530031234e-05,0.00010327489871997386,1.7267131624976173e-05,0.0,40,0.0,0.00038088622386567295,0.00011519033432705328,0.0002577154082246125,7.980486770975403e-06,0.0,34,0.0,0.00029088230803608894,0.00012771757610607892,0.0001535069604869932,9.657795999373775e-06,0.0,39,0.0,0.00016247041639871895,6.750715692760423e-05,8.451347821392119e-05,1.0449771252751816e-05,0.0,41,0.0,0.00024392991326749325,6.336384103633463e-05,0.00017138452676590532,9.181541827274486e-06,0.0,35,0.0,0.0010548430727794766,0.0004617630038410425,0.0005878946976736188,5.185379905014997e-06,0.0,28,0.2857142857142857,0.0008444646955467761,0.00020506908185780048,0.0006286194548010826,1.0776185263239313e-05,0.0,43,0.14285714285714285,0.00012586991942953318,3.687086791615002e-05,7.558461220469326e-05,1.3414442037174013e-05,0.0,37,0.14285714285714285,0.00016624957788735628,4.413121860125102e-05,0.00010766422201413661,1.4454145457420964e-05,0.0,38,0.14285714285714285,9.405580203747377e-05,2.5030059987329878e-05,5.4308631661115214e-05,1.4717114936502185e-05,0.0,38,0.14285714285714285,0.00040213606553152204,0.00021770854073110968,0.00017694396956358105,7.483560239052167e-06,0.0,26,0.42857142857142855,0.00014854336041025817,3.9776867197360843e-05,9.484631300438195e-05,1.3920174751547165e-05,0.0,41,0.14285714285714285,0.00020863034296780825,6.864068564027548e-05,0.000127768813399598,1.222085120389238e-05,0.0,39,0.0,0.0004075393080711365,0.00017549224139656872,0.00022093989537097514,1.1107166756119113e-05,0.0,41,0.0,7.60379116400145e-05,2.150814179913141e-05,4.1994924686150625e-05,1.2534843335743062e-05,0.0,39,0.0,0.00011145361349917948,5.214757038629614e-05,5.055652582086623e-05,8.749518201511819e-06,0.0,41,0.0,0.00017733522690832615,5.4751988500356674e-05,0.0001120972738135606,1.0485963684914168e-05,0.0,41,0.0
7,350,0.00018293647735845298,5.634882836602628e-05,0.00011448730219854042,1.2100342246412765e-05,0.0,36,0.14285714285714285,0.00018638159963302314,5.819290527142584e-05,0.00011803803499788046,1.0150650268769823e-05,0.0,39,0.14285714285714285,0.0002667330263648182,8.968008478404954e-05,0.00016423320630565286,1.2819722542189993e-05,0.0,35,0.14285714285714285,0.00012789729225914925,2.2911272026249208e-05,8.699981117388234e-05,1.798620905901771e-05,0.0,39,0.0,0.0003275988856330514,9.994555148296058e-05,0.000219462817767635,8.190522748918738e-06,0.0,33,0.14285714285714285,0.00021554119302891195,9.635290189180523e-05,0.00010928779374808073,9.900497389025986e-06,0.0,36,0.0,0.00013228834723122418,5.1909315516240895e-05,6.978115561651066e-05,1.059788337443024e-05,0.0,41,0.0,0.0002095999661833048,4.5648081140825525e-05,0.0001547306019347161,9.221285836247262e-06,0.0,34,0.0,0.001035049557685852,0.00040805060416460037,0.0006216440815478563,5.354917902877787e-06,0.0,28,0.2857142857142857,0.0007349592633545399,0.00017391501751262695,0.0005500554107129574,1.0988886970153544e-05,0.0,40,0.14285714285714285,0.00010254695371259004,2.718978976190556e-05,6.149152613943443e-05,1.3865642358723562e-05,0.0,36,0.14285714285714285,0.00014224840560927987,3.645570541266352e-05,9.062925528269261e-05,1.5163451280386653e-05,0.0,36,0.14285714285714285,7.463561632903293e-05,1.7440164810977876e-05,4.1919643990695477e-05,1.527580570837017e-05,0.0,36,0.14285714285714285,0.00034880981547757983,0.00018954835832118988,0.00015126689686439931,7.994600309757516e-06,0.0,25,0.42857142857142855,0.00012908270582556725,3.115229628747329e-05,8.345811511389911e-05,1.4472296243184246e-05,0.0,40,0.14285714285714285,0.00016646384028717875,5.368791607907042e-05,0.00010044599912362173,1.2329925993981306e-05,0.0,37,0.0,0.00035167369060218334,0.00014005802222527564,0.00020013449830003083,1.1481164619908668e-05,0.0,41,0.0,6.200724601512775e-05,1.6356671039829962e-05,3.267435386078432e-05,1.2976222933502868e-05,0.0,38,0.0,9.07231296878308e-05,4.259866545908153e-05,3.946614742744714e-05,8.658314982312731e-06,0.0,41,0.0,0.00014819056377746165,4.1161685658153147e-05,9.650483843870461e-05,1.052404877555091e-05,0.0,40,0.0
8,400,0.00015572455595247447,4.6202316298149526e-05,9.711842722026631e-05,1.2403801520122215e-05,0.0,35,0.14285714285714285,0.0001624647993594408,4.69812257506419e-05,0.00010512582957744598,1.0357746759837028e-05,0.0,39,0.14285714285714285,0.00023541238624602556,7.325968908844516e-05,0.00014882108371239156,1.333160798822064e-05,0.0,34,0.14285714285714285,0.0001067273406079039,1.8034883396467194e-05,6.995347212068737e-05,1.8738992366706952e-05,0.0,36,0.0,0.00026847654953598976,8.916523802326992e-05,0.00017087662126868963,8.43468114908319e-06,0.0,32,0.14285714285714285,0.00017140505951829255,7.122327224351466e-05,9.016069088829681e-05,1.0021093657996971e-05,0.0,36,0.14285714285714285,0.00011551911302376539,4.42536584159825e-05,6.057135033188388e-05,1.0694099728425499e-05,0.0,41,0.0,0.00018989351519849151,3.8634803786408156e-05,0.00014198885764926672,9.269841939385515e-06,0.0,34,0.0,0.0010837692534551024,0.00036830268800258636,0.0007099914946593344,5.475047146319412e-06,0.0,26,0.2857142857142857,0.0006588746909983456,0.00014839135110378265,0.0004993749316781759,1.1108417311334051e-05,0.0,38,0.2857142857142857,8.868898294167593e-05,2.2102558432379737e-05,5.2292904001660645e-05,1.4293518688646145e-05,0.0,36,0.14285714285714285,0.00012627065007109195,3.0087376217124984e-05,8.040847751544788e-05,1.5774798157508485e-05,0.0,36,0.14285714285714285,6.262165697989985e-05,1.2892034646938555e-05,3.414075399632566e-05,1.5588873793603852e-05,0.0,33,0.14285714285714285,0.0003208734269719571,0.00017182993178721517,0.00014064708375371993,8.396420525969006e-06,0.0,25,0.42857142857142855,0.0001140990134445019,2.4807963200146332e-05,7.436350279022008e-05,1.4927545635146089e-05,0.0,39,0.14285714285714285,0.00013984518591314554,4.418050230015069e-05,8.330456330440938e-05,1.2360115761111956e-05,0.0,34,0.0,0.0003066139470320195,0.00010911839490290731,0.00018572661792859435,1.1768946023948956e-05,0.0,40,0.0,5.198360304348171e-05,1.2256718036951497e-05,2.643476182129234e-05,1.3292121366248466e-05,0.0,38,0.0,7.359031587839127e-05,3.304418351035565e-05,3.198848935426213e-05,8.557638466299977e-06,0.0,39,0.0,0.0001250813074875623,3.2515359634999186e-05,8.201455057132989e-05,1.055139182426501e-05,0.0,40,0.0
9,450,0.00013727716577704996,3.923871190636419e-05,8.53311357786879e-05,1.2707319001492579e-05,0.0,34,0.14285714285714285,0.0001395312719978392,3.638860289356671e-05,9.260305523639545e-05,1.0539615686866455e-05,0.0,39,0.14285714285714285,0.00020695557759609073,6.111260154284537e-05,0.00013197903172113,1.386394797009416e-05,0.0,32,0.14285714285714285,9.398888505529612e-05,1.5204881492536515e-05,5.939831680734642e-05,1.938568675541319e-05,0.0,35,0.0,0.0002301763597643003,8.164373866748065e-05,0.00013988479622639716,8.647830327390693e-06,0.0,30,0.14285714285714285,0.0001377338048769161,4.8124966269824654e-05,7.95654341345653e-05,1.0043394468084443e-05,0.0,36,0.14285714285714285,0.00010463371290825307,3.9014477806631476e-05,5.481076004798524e-05,1.080847141565755e-05,0.0,41,0.0,0.00017416360788047314,3.460161678958684e-05,0.000130155443912372,9.406548997503705e-06,0.0,33,0.0,0.001111782155930996,0.00033162764157168567,0.0007745722541585565,5.582176981988596e-06,0.0,26,0.2857142857142857,0.0006111107068136334,0.00012972470722161233,0.0004702442674897611,1.1141767572553363e-05,0.0,37,0.2857142857142857,7.74850559537299e-05,1.7816826584748924e-05,4.4959033402847126e-05,1.4709200513607357e-05,0.0,35,0.14285714285714285,0.00011443645053077489,2.5472141714999452e-05,7.266491593327373e-05,1.6299391063512303e-05,0.0,34,0.14285714285714285,5.573387898039073e-05,1.0284648851666134e-05,2.971064895973541e-05,1.5738580259494483e-05,0.0,33,0.14285714285714285,0.0003013914101757109,0.00015691436419729143,0.00013585190754383802,8.625117516203318e-06,0.0,25,0.42857142857142855,0.00010033898433903232,1.9981795048806816e-05,6.508687511086464e-05,1.5270317817339674e-05,0.0,38,0.14285714285714285,0.0001246113097295165,3.9422560803359374e-05,7.290859502973035e-05,1.2280161172384396e-05,0.0,33,0.14285714285714285,0.0002533021033741534,7.907031249487773e-05,0.00016222152044065297,1.2010266800643876e-05,0.0,40,0.0,4.5256398152559996e-05,1.0410633876745123e-05,2.1327981812646613e-05,1.3517781553673558e-05,0.0,38,0.0,5.7280696637462825e-05,2.1431955246953294e-05,2.7357284125173464e-05,8.49145908432547e-06,0.0,39,0.0,0.00010605966963339597,2.6309688109904528e-05,6.91231107339263e-05,1.0626876246533357e-05,0.0,39,0.0
