,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8,total_9,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9,coeff_9,total_10,decoder_10,sindy_x_10,reg_10,sindy_z_10,active_coeffs_10,coeff_10,total_11,decoder_11,sindy_x_11,reg_11,sindy_z_11,active_coeffs_11,coeff_11
0,0,0.0441863089799881,0.0426173135638237,0.0015685895923525,4.056121554185666e-07,0.0,60,0.0,0.0369459874927997,0.035325851291418,0.0016196734504774,4.607282448887418e-07,0.0,60,0.0,0.037472229450941,0.0365067347884178,0.0009651134023442,3.803520201017818e-07,0.0,60,0.0,0.0439995601773262,0.0424316450953483,0.0015674905152991,4.249645542131475e-07,0.0,60,0.0,0.0308504700660705,0.0298630576580762,0.0009870092617347,4.016561661046581e-07,0.0,60,0.0,0.0364668145775795,0.0354030989110469,0.001063305651769,4.084542695181881e-07,0.0,60,0.0,0.0393137857317924,0.0379654243588447,0.0013479752233251,3.883833699092065e-07,0.0,60,0.0,0.0367426350712776,0.0358179397881031,0.0009242722298949,4.248569780429534e-07,0.0,60,0.0,0.0829514116048812,0.0805105865001678,0.0024148889351636,2.5937120881280865e-05,0.0,60,0.0,0.0705137699842453,0.0681863501667976,0.0022971588186919,3.0259428967838176e-05,0.0,60,0.0,0.0886156558990478,0.0862679928541183,0.0023213776294142,2.6283900297130455e-05,0.0,60,0.0,0.06982770562171936,0.06730948388576508,0.002494070678949356,2.415552080492489e-05,0.0,60,0.0
1,50,0.0012197659816592,0.0008107030880637,0.0004064904933329,2.572439825598849e-06,0.0,60,0.0,0.0010008930694311,0.0006861416622996,0.000312090589432,2.6608358894009143e-06,0.0,60,0.0,0.0006022070301696,0.0003835188690572,0.0002148002386093,3.887945240421686e-06,0.0,60,0.0,0.0010692374780774,0.0006253272294998,0.0004396636504679,4.246559910825454e-06,0.0,60,0.0,0.0003527305671013,0.000153009139467,0.0001947756682056,4.94577398058027e-06,0.0,60,0.0,0.0007679550908505,0.0005197774735279,0.0002450063184369,3.171285243297461e-06,0.0,60,0.0,0.0007736965781077,0.0004951631999574,0.0002751978172454,3.3355586310790386e-06,0.0,60,0.0,0.0003295690694358,0.0001749332732288,0.0001498661149526,4.769692623085575e-06,0.0,60,0.0,1.785433053970337,0.0005165272159501,1.7846654653549194,0.0002509551122784,0.0,60,0.0,1.464610576629639,0.001007234910503,1.463381052017212,0.0002223369956482,0.0,60,0.0,1.67347252368927,0.0010971901938319,1.672213077545166,0.0001622434938326,0.0,60,0.0,1.7758193016052246,0.0010971480514854193,1.7745561599731445,0.0001660761481616646,0.0,60,0.0
2,100,0.0006424601306207,0.0003400794230401,0.0002986792824231,3.701431978697656e-06,0.0,49,0.0,0.0004450309788808,0.0002638306759763,0.0001780441671144,3.1561392006551614e-06,0.0,52,0.0,0.0002143955643987,8.792842709226534e-05,0.0001216508026118,4.81633105664514e-06,0.0,55,0.0,0.0005138373817317,0.0002621148887556,0.0002465637226123,5.15876718054642e-06,0.0,57,0.0,0.0001564572157803,6.640591163886711e-05,8.308780525112525e-05,6.963494797673775e-06,0.0,53,0.0,0.000261375127593,0.0001152904005721,0.0001417355088051,4.349216851551319e-06,0.0,55,0.0,0.0002791736333165,0.0001126826391555,0.0001616445224499,4.846459887630772e-06,0.0,50,0.0,0.0001399733591824,6.019410284352489e-05,7.332657696679235e-05,6.452684829127975e-06,0.0,53,0.0,1.956626296043396,0.0002327131805941,1.9560283422470093,0.000365291867638,0.0,59,0.0,1.7645704746246338,0.000227080847253,1.764028549194336,0.0003148549585603,0.0,55,0.0,1.7908729314804075,0.0003192717558704,1.7903132438659668,0.0002404096303507,0.0,55,0.0,1.955810308456421,0.0004936727927997708,1.9551326036453247,0.00018399023974779993,0.0,51,0.0
3,150,0.0003883601457346,0.0001721709413686,0.0002114609669661,4.728241947304923e-06,0.0,47,0.0,0.0003075929998885,0.0001638515823287,0.0001392468548147,4.494575932767475e-06,0.0,45,0.0,0.0001364287891192,5.962342402199283e-05,7.138453656807542e-05,5.420832621894078e-06,0.0,53,0.0,0.0003263363614678,0.0001817530719563,0.0001389952667523,5.588009116763715e-06,0.0,54,0.0,0.0001010328051052,3.6087822081753984e-05,5.693943239748478e-05,8.005556992429774e-06,0.0,52,0.0,0.0001602294214535,6.385483720805496e-05,9.126422082772478e-05,5.11036660100217e-06,0.0,54,0.0,0.000186169083463,6.747367297066376e-05,0.000113281304948,5.414094175648643e-06,0.0,49,0.0,7.437897875206545e-05,2.7586507712840103e-05,3.909064253093675e-05,7.701825779804494e-06,0.0,48,0.0,2.0300493240356445,0.0001149403396993,2.029515504837036,0.0004189156752545,0.0,56,0.0,1.8364710807800293,0.0001229101762874,1.835998296737671,0.0003497065627016,0.0,52,0.0,1.8914268016815183,0.0001629879407119,1.8909449577331543,0.0003188492555636,0.0,52,0.0,2.00850248336792,0.00025099358754232526,2.0079777240753174,0.0002738480980042368,0.0,46,0.0
4,200,0.0002946339664049,0.0001158542945631,0.0001733342796796,5.445372153189965e-06,0.0,45,0.0,0.0002545229217503,0.0001328803627984,0.0001159518069471,5.690767011401476e-06,0.0,45,0.0,0.0001053612795658,4.7652898501837626e-05,5.202658212510869e-05,5.681797574652592e-06,0.0,51,0.0,0.0002572882222011,0.0001304740726482,0.000120844480989,5.969674475636566e-06,0.0,53,0.0,7.328799256356433e-05,2.4069850041996688e-05,4.0441580495098606e-05,8.776555660006125e-06,0.0,52,0.0,0.0001221716665895,4.757069473271258e-05,6.901384040247649e-05,5.587136456597364e-06,0.0,54,0.0,0.0001311610249103,4.757271017297171e-05,7.786331843817607e-05,5.724998572986806e-06,0.0,48,0.0,5.249385867500678e-05,1.576677823322825e-05,2.814398067130241e-05,8.583098860981409e-06,0.0,46,0.0,2.0694353580474854,5.074814907857217e-05,2.0689172744750977,0.0004672955255955,0.0,53,0.0,1.8919875621795648,7.703996379859746e-05,1.8915399312973025,0.0003706230490934,0.0,52,0.0,1.9260754585266116,9.985182259697468e-05,1.9256174564361568,0.0003581524651963,0.0,50,0.0,2.0946121215820312,0.0001808895030990243,2.094107151031494,0.00032421876676380634,0.0,46,0.0
5,250,0.0002425867569399,8.223614713642746e-05,0.000154355802806,5.9948101807094645e-06,0.0,43,0.0,0.0002237497537862,0.0001175386350951,9.960121678886936e-05,6.60990872347611e-06,0.0,44,0.0,8.29478376545012e-05,3.49633555742912e-05,4.2143321479670703e-05,5.841160145791946e-06,0.0,50,0.0,0.0002196032000938,9.92296263575554e-05,0.0001141562170232,6.217347163328668e-06,0.0,50,0.0,5.335291280061938e-05,1.6685267837601714e-05,2.73364748863969e-05,9.331170986115468e-06,0.0,49,0.0,9.683147072792052e-05,3.956163345719688e-05,5.136092659085989e-05,5.908905222895555e-06,0.0,53,0.0,9.753859194461256e-05,3.612465297919698e-05,5.547276668949053e-05,5.941164999967441e-06,0.0,46,0.0,4.170982356299646e-05,1.0569582627795173e-05,2.1928279238636605e-05,9.211962606059387e-06,0.0,42,0.0,2.100594282150269,2.660711470525712e-05,2.100061416625977,0.0005062621785327,0.0,51,0.0,1.9273412227630613,4.8744746891316026e-05,1.926905393600464,0.0003870744549203,0.0,51,0.0,1.970563530921936,7.227141759358346e-05,1.9701157808303835,0.0003755222714971,0.0,49,0.0,2.122981548309326,0.0001546423591207713,2.1224796772003174,0.00034740756382234395,0.0,45,0.0
6,300,0.0002013593475567,6.403683073585853e-05,0.0001309314393438,6.391064744093455e-06,0.0,41,0.0,0.0001982299581868,0.0001042133299051,8.671244722791016e-05,7.304174687305931e-06,0.0,43,0.0,6.495809793705121e-05,2.3027443603496067e-05,3.595864836825058e-05,5.972000963083701e-06,0.0,50,0.0,0.000201731454581,8.211173553718254e-05,0.0001132654724642,6.354237484629266e-06,0.0,49,0.0,4.301720036892221e-05,1.4395342986972535e-05,1.888402766780928e-05,9.737829714140387e-06,0.0,47,0.0,7.214083598228171e-05,3.128683601971716e-05,3.4796492400346324e-05,6.057502105250023e-06,0.0,53,0.0,7.303871097974479e-05,2.644081541802734e-05,4.051078576594591e-05,6.087112979002995e-06,0.0,46,0.0,3.859478238155134e-05,9.950388630386442e-06,1.897330912470352e-05,9.67108553595608e-06,0.0,40,0.0,2.1278371810913086,1.741955020406749e-05,2.1272876262664795,0.0005323241930454,0.0,51,0.0,1.9466416835784912,3.6237852327758446e-05,1.946202278137207,0.0004032281867694,0.0,51,0.0,1.992974638938904,5.049952596891672e-05,1.9925379753112795,0.000386231142329,0.0,49,0.0,2.1351659297943115,0.0001416857267031446,2.134660482406616,0.0003637478803284466,0.0,45,0.0
7,350,0.0001622560375835,5.387939381762408e-05,0.000101706085843,6.670557468169136e-06,0.0,41,0.0,0.0001784042397048,9.432728256797418e-05,7.624093996128067e-05,7.836018994566984e-06,0.0,43,0.0,5.893149136682041e-05,2.342114566999953e-05,2.939189835160505e-05,6.11844870945788e-06,0.0,50,0.0,0.00015662550868,7.174115307861939e-05,7.838880264898762e-05,6.495554771390744e-06,0.0,46,0.0,3.3421427360735834e-05,9.865950232779142e-06,1.3540431609726513e-05,1.0015047337219585e-05,0.0,45,0.0,6.506381032522768e-05,3.197198748239316e-05,2.696704723348376e-05,6.124781066318974e-06,0.0,52,0.0,5.8823319704970345e-05,2.080258127534762e-05,3.182922228006646e-05,6.191517059050966e-06,0.0,45,0.0,3.400820787646808e-05,7.301477580767823e-06,1.671266909397673e-05,9.994061656470876e-06,0.0,40,0.1428571428571428,2.1423685550689697,1.4218960131984204e-05,2.1418020725250244,0.0005523029831238,0.0,51,0.0,1.9819657802581787,3.229110370739363e-05,1.9815188646316528,0.0004145139828324,0.0,50,0.0,2.0204222202301025,3.71073474525474e-05,2.019990921020508,0.0003941777395084,0.0,49,0.0,2.1350409984588623,0.0001246749743586406,2.1345415115356445,0.0003748110611923039,0.0,43,0.0
8,400,0.0001332799583906,4.637705569621176e-05,8.00239504314959e-05,6.878948624944314e-06,0.0,41,0.0,0.0001635977241676,8.629880903754383e-05,6.906333146616817e-05,8.235583663918078e-06,0.0,42,0.0,4.438110045157373e-05,1.4066438779991586e-05,2.404222323093564e-05,6.272437531151809e-06,0.0,49,0.0,0.0001362625189358,6.460652366513386e-05,6.50645888526924e-05,6.591408236999996e-06,0.0,46,0.0,2.901001062127761e-05,8.514836736139841e-06,1.023921686282847e-05,1.0255956112814602e-05,0.0,43,0.0,5.946090095676482e-05,2.59675616689492e-05,2.728217987169046e-05,6.2111562328937e-06,0.0,51,0.0,4.730137879960239e-05,1.4274264685809612e-05,2.669728019100148e-05,6.329834377538646e-06,0.0,44,0.0,3.637179543147795e-05,1.071203951141797e-05,1.5419906048919074e-05,1.0239849871140905e-05,0.0,38,0.1428571428571428,2.144665241241455,1.083536244550487e-05,2.144087791442871,0.0005663810297846,0.0,51,0.0,1.9882726669311523,2.599334402475506e-05,1.9878251552581787,0.0004215652006678,0.0,48,0.0,2.034602642059326,3.0155912099871784e-05,2.034170389175415,0.0004021985805593,0.0,47,0.0,2.1462771892547607,0.0001095546322176233,2.1457810401916504,0.00038667963235639036,0.0,42,0.0
9,450,0.0001161480031441,4.0974802686832845e-05,6.813745858380571e-05,7.035741418803809e-06,0.0,41,0.0,0.0001517742930445,7.893592555774376e-05,6.430267239920795e-05,8.535691449651495e-06,0.0,41,0.0,4.1821323975455016e-05,1.4136123354546726e-05,2.128486266883556e-05,6.400340225809487e-06,0.0,48,0.0,0.0001245901803486,5.912912456551567e-05,5.878447700524703e-05,6.6765833253157325e-06,0.0,46,0.0,2.609779767226428e-05,7.43080590837053e-06,8.269466889032628e-06,1.0397524420113768e-05,0.0,43,0.0,5.493318167282269e-05,2.230926475021988e-05,2.632188807183411e-05,6.302027031779289e-06,0.0,50,0.0,4.128028012928553e-05,1.1956098205700982e-05,2.2880169126437977e-05,6.44401279714657e-06,0.0,42,0.0,2.9564589567598887e-05,5.260654688754585e-06,1.3884080544812605e-05,1.0419853424536996e-05,0.0,37,0.1428571428571428,2.1509885787963867,9.047455023392104e-06,2.1504030227661133,0.0005765290698036,0.0,49,0.0,1.9943723678588867,2.282167406519875e-05,1.993920087814331,0.0004294923564884,0.0,48,0.0,2.0421156883239746,2.5080078557948585e-05,2.041680335998535,0.0004104551626369,0.0,47,0.0,2.162555694580078,9.83374920906499e-05,2.1620595455169678,0.00039769214345142245,0.0,42,0.0
