,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3
0,0,0.034975066781044,0.0334862731397151,0.001428362680599,6.043246321496554e-05,0.0,60,0.0,0.038051426410675,0.0370861552655696,0.0009067037608474,5.856779171153903e-05,0.0,60,0.0,0.0318750478327274,0.0307097025215625,0.0010994239710271,6.59232828184031e-05,0.0,60,0.0,0.030502542853355408,0.029457002878189087,0.000984799349680543,6.074086923035793e-05,0.0,60,0.0
1,50,1.0291845798492432,0.0002306765236426,1.0282416343688965,0.0007122331880964,0.0,60,0.0,0.6145690083503723,0.000186197066796,0.6136283874511719,0.0007544229156337,0.0,60,0.0,0.7956599593162537,0.0001656442764215,0.7947525978088379,0.0007417452288791,0.0,60,0.0,0.7009268403053284,0.00019609814626164734,0.6999841928482056,0.0007465495145879686,0.0,60,0.0
2,100,1.153869867324829,9.235519974026828e-05,1.1527652740478516,0.0010122288949787,0.0,52,0.0,0.7283092737197876,6.9502777478192e-05,0.7272589802742004,0.0009807723108679,0.0,53,0.0,0.8729342222213745,6.295961065916345e-05,0.8717934489250183,0.0010778098367154,0.0,54,0.0,0.7580032348632812,9.161189518636093e-05,0.7569629549980164,0.0009486466879025102,0.0,51,0.0
3,150,1.2065941095352173,4.481054565985687e-05,1.2053556442260742,0.0011936210794374,0.0,51,0.0,0.7767432928085327,3.7566398532362655e-05,0.7755497097969055,0.0011560098500922,0.0,51,0.0,0.9061762690544128,2.793359271890949e-05,0.9048100113868712,0.0013383210171014,0.0,51,0.0,0.7906545996665955,4.157311923336238e-05,0.7894827723503113,0.0011303045321255922,0.0,49,0.0
4,200,1.229216694831848,2.5476794689893723e-05,1.2278459072113037,0.0013452233979478,0.0,48,0.0,0.7945038676261902,2.4554910851293243e-05,0.7931923866271973,0.0012868964113295,0.0,51,0.0,0.929714560508728,1.4488866327155849e-05,0.9281612038612366,0.001538858632557,0.0,51,0.0,0.8254398703575134,2.163774479413405e-05,0.8241556286811829,0.0012626302195712924,0.0,47,0.0
5,250,1.2383599281311035,1.5051535228849389e-05,1.2368546724319458,0.0014902359107509,0.0,44,0.0,0.811566174030304,1.9185696146450937e-05,0.8101544976234436,0.0013924974482506,0.0,49,0.0,0.9501218795776368,8.901906767277978e-06,0.9484087824821472,0.0017042402178049,0.0,43,0.0,0.8417147994041443,1.1698588423314504e-05,0.8403396010398865,0.0013635315699502826,0.0,40,0.0
6,300,1.2446988821029663,1.1224688023503404e-05,1.2430742979049685,0.0016134189208969,0.0,44,0.0,0.8133518099784851,1.3570838746090884e-05,0.8118444681167603,0.0014937636442482,0.0,48,0.0,0.9681234359741212,6.920978194102645e-06,0.9662954807281494,0.0018210689304396,0.0,42,0.0,0.8503257632255554,7.232143161672866e-06,0.8488520383834839,0.0014665044145658612,0.0,39,0.14285714285714285
7,350,1.2484527826309204,9.004316780192312e-06,1.2467302083969116,0.0017135518137365,0.0,44,0.0,0.8193045258522034,1.0214595931756776e-05,0.8177241683006287,0.0015701758675277,0.0,47,0.0,0.9774645566940308,3.2473744795424864e-06,0.9755573272705078,0.0019039851613342,0.0,40,0.0,0.8687037825584412,7.692014150961768e-06,0.8671502470970154,0.0015458426205441356,0.0,30,0.14285714285714285
8,400,1.2387495040893557,9.816182682698129e-06,1.2369434833526611,0.0017962285783141,0.0,43,0.0,0.8157175183296204,7.74402178649325e-06,0.8140764236450195,0.0016333250096067,0.0,45,0.0,0.9748996496200562,2.337085106773884e-06,0.9729282855987548,0.0019690443295985,0.0,37,0.0,0.8739938735961914,3.7872280245210277e-06,0.8723986148834229,0.001591453910805285,0.0,29,0.14285714285714285
9,450,1.253522515296936,6.204088549566222e-06,1.2516520023345947,0.0018642875365912,0.0,42,0.0,0.8263623714447021,7.385499429801712e-06,0.8246729373931885,0.0016820615855976,0.0,45,0.0,0.9829090237617492,1.7614759144635173e-06,0.9808912873268129,0.0020159289706498,0.0,36,0.0,0.8774729371070862,3.259602863181499e-06,0.8758453726768494,0.0016242645215243101,0.0,27,0.14285714285714285
