,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8,total_9,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9,coeff_9
0,0,0.03372218459844589,0.032611291855573654,0.001110430690459907,4.6044021928537404e-07,0.0,60,0.0,0.04208798706531525,0.04043281078338623,0.0016546566039323807,5.19889965744369e-07,0.0,60,0.0,0.03241689130663872,0.03126728534698486,0.0011491175973787904,4.86486385398166e-07,0.0,60,0.0,0.03960322588682175,0.038493771106004715,0.0011089211329817772,5.34115088157705e-07,0.0,60,0.0,0.0318823903799057,0.030913788825273514,0.0009680717485025525,5.283919790599612e-07,0.0,60,0.0,0.03974594175815582,0.038995809853076935,0.0007496059988625348,5.251334300737653e-07,0.0,60,0.0,0.03708557412028313,0.03584467992186546,0.0012404433218762279,4.526212933342322e-07,0.0,60,0.0,0.034220386296510696,0.032664503902196884,0.0015552951954305172,5.871983717042895e-07,0.0,60,0.0,0.03876113519072533,0.03741665557026863,0.0013440429465845227,4.3691875362128485e-07,0.0,60,0.0,0.03407944366335869,0.03298327326774597,0.0010957251070067286,4.464408505100437e-07,0.0,60,0.0
1,50,0.00090468191774562,0.0005747574614360929,0.000326950364978984,2.9741320304310648e-06,0.0,60,0.0,0.0015226942487061024,0.0008489900501444936,0.0006702023092657328,3.501839501041104e-06,0.0,60,0.0,0.0008028855663724244,0.00039353460306301713,0.00040528029785491526,4.070650447829394e-06,0.0,60,0.0,0.000827048672363162,0.0005810864386148751,0.0002429203741485253,3.0418980259128148e-06,0.0,60,0.0,0.0008599041029810905,0.0005707266391254961,0.0002868394658435136,2.337951627850998e-06,0.0,60,0.0,0.0006989733665250242,0.0004903719527646899,0.00020567748288158327,2.923946794908261e-06,0.0,60,0.0,0.0008890166645869613,0.0005869826418347657,0.0002983685990329832,3.665446911327308e-06,0.0,60,0.0,0.0012016684049740434,0.0007685144082643092,0.00042965824832208455,3.495751798254787e-06,0.0,60,0.0,0.0011139513226225972,0.0007196120568551123,0.00039151773671619594,2.8215131351316813e-06,0.0,60,0.0,0.0007066678372211754,0.0004691153299063444,0.00023388881527353078,3.6637159155361587e-06,0.0,60,0.0
2,100,0.00038911541923880577,0.0001943326642503962,0.00019127920677419752,3.503551397443516e-06,0.0,47,0.0,0.0006902493769302964,0.00039392520557157695,0.00029259087750688195,3.7333250020310516e-06,0.0,49,0.0,0.00031743795261718333,0.00016575577319599688,0.0001468157715862617,4.866416475124424e-06,0.0,49,0.0,0.00024761108215898275,0.00012891125516034663,0.00011416561028454453,4.534216259344248e-06,0.0,46,0.0,0.0004813104460481554,0.00025231007020920515,0.00022594806796405464,3.052334477615659e-06,0.0,52,0.0,0.0002653559495229274,0.00012526554928626865,0.00013618619414046407,3.904205641447334e-06,0.0,40,0.0,0.0003404661547392607,0.00014870944141875952,0.00018667535914573818,5.08136736243614e-06,0.0,48,0.0,0.0004979721270501614,0.0002724149962887168,0.00022173237812239677,3.824789928330574e-06,0.0,51,0.0,0.0004640837723854929,0.00023502409749198705,0.0002253236889373511,3.7359795896918513e-06,0.0,45,0.0,0.00029392054420895875,0.00015289733710233122,0.0001368243683828041,4.1988450902863406e-06,0.0,49,0.0
3,150,0.00025494207511655986,0.00011118931433884427,0.0001392382982885465,4.514482043305179e-06,0.0,41,0.0,0.00041195351514033973,0.0001898294867714867,0.00021751245367340744,4.611579242919106e-06,0.0,46,0.0,0.00018846199964173138,8.953633368946612e-05,9.322339610662311e-05,5.702265298168641e-06,0.0,39,0.0,0.00015094121044967324,7.104229734977707e-05,7.476587779819965e-05,5.13302529725479e-06,0.0,41,0.0,0.0003346934972796589,0.0001496953918831423,0.00018085638293996453,4.141742465435527e-06,0.0,42,0.0,0.00015795875515323132,6.6852975578513e-05,8.636186248622835e-05,4.743905719806207e-06,0.0,34,0.0,0.00020091694022994488,8.09111152193509e-05,0.00011400880612200126,5.997013431624509e-06,0.0,40,0.0,0.00027081850566901267,0.00012013160448987037,0.00014624396862927824,4.442935278348159e-06,0.0,46,0.0,0.0002796189801301807,0.00012985085777472705,0.00014530961925629526,4.458504008653108e-06,0.0,40,0.14285714285714285,0.00018931098747998476,9.019870049087331e-05,9.466239862376824e-05,4.4498829083750024e-06,0.0,42,0.14285714285714285
4,200,0.00018798188830260187,8.132228686008602e-05,0.00010138517245650291,5.274428531265585e-06,0.0,37,0.0,0.0002984028833452612,0.0001303732569795102,0.0001628468744456768,5.182738277653698e-06,0.0,42,0.0,0.0001125530106946826,4.550623634713702e-05,6.093561023590155e-05,6.111165930633433e-06,0.0,39,0.0,0.0001057215704349801,4.773666296387091e-05,5.259197860141285e-05,5.392922503233422e-06,0.0,40,0.14285714285714285,0.000231760524911806,9.993169078370556e-05,0.00012698966020252556,4.839185294258641e-06,0.0,40,0.0,0.00010982019739458337,4.106955384486355e-05,6.367208698065951e-05,5.078555659565609e-06,0.0,34,0.14285714285714285,0.00014477685908786952,5.0246540922671556e-05,8.800550131127238e-05,6.524820037157042e-06,0.0,39,0.14285714285714285,0.0001651966740610078,7.066333637339994e-05,8.944580622483045e-05,5.087542376713827e-06,0.0,43,0.0,0.00018472560623195022,8.322538633365184e-05,9.652288281358778e-05,4.977336629963247e-06,0.0,37,0.14285714285714285,0.00012584585056174546,6.115393625805154e-05,6.013872553012334e-05,4.553196504275547e-06,0.0,42,0.14285714285714285
5,250,0.00014860100054647774,6.258123175939545e-05,8.00102498033084e-05,6.009517164784484e-06,0.0,36,0.0,0.00023302486806642264,9.846268221735954e-05,0.000129073450807482,5.488730494107585e-06,0.0,41,0.0,7.387280493276194e-05,2.6310282919439487e-05,4.114858165849e-05,6.413938081095694e-06,0.0,36,0.0,8.024364797165617e-05,3.493022086331621e-05,3.9773298340151086e-05,5.5401224017259665e-06,0.0,39,0.14285714285714285,0.00014112383360043168,6.515724089695141e-05,7.077005284372717e-05,5.196544861973962e-06,0.0,37,0.0,8.564396557630971e-05,2.938736906799022e-05,5.122811489854939e-05,5.028482519264799e-06,0.0,32,0.14285714285714285,0.00011327291576890275,4.0250706661026925e-05,6.620921340072528e-05,6.812993888161145e-06,0.0,38,0.14285714285714285,0.00011399275535950437,5.030173997511156e-05,5.810924631077796e-05,5.581770892604254e-06,0.0,41,0.0,0.00014009470760356635,5.829124347656034e-05,7.646901212865487e-05,5.334452453098493e-06,0.0,35,0.2857142857142857,9.253152529709041e-05,4.698260090663098e-05,4.092347080586478e-05,4.625459496310214e-06,0.0,42,0.14285714285714285
6,300,0.00011520770203787833,4.558921864372678e-05,6.285130803007632e-05,6.767178092559334e-06,0.0,36,0.0,0.00019125409016851336,7.43998316465877e-05,0.00011117213580291718,5.682134542439599e-06,0.0,41,0.0,5.666975266649388e-05,1.9212926417822018e-05,3.093667692155577e-05,6.520149327116087e-06,0.0,35,0.0,6.617545295739546e-05,2.716735252761282e-05,3.3360371162416413e-05,5.64772881261888e-06,0.0,38,0.14285714285714285,0.00010711891081882641,4.697508120443672e-05,5.46694609511178e-05,5.474365934787784e-06,0.0,37,0.0,6.873711390653625e-05,2.2835271010990255e-05,4.074908429174684e-05,5.152761787030613e-06,0.0,31,0.14285714285714285,9.083211625693366e-05,3.293691770522855e-05,5.086957025923766e-05,7.025631475698901e-06,0.0,38,0.14285714285714285,8.487398008583114e-05,3.910895611625165e-05,3.9967279008124024e-05,5.797745870950166e-06,0.0,41,0.0,9.970304381567985e-05,3.8135043723741546e-05,5.590201908489689e-05,5.665976914315252e-06,0.0,34,0.2857142857142857,7.6152260589879e-05,3.8156224036356434e-05,3.3333635656163096e-05,4.662395440391265e-06,0.0,42,0.14285714285714285
7,350,8.903112029656768e-05,3.2536787330172956e-05,4.906807589577511e-05,7.426253432640806e-06,0.0,34,0.0,0.00015023474406916648,5.679321111529134e-05,8.762509969528764e-05,5.816427346871933e-06,0.0,39,0.0,4.55590125056915e-05,1.35526861413382e-05,2.5443687263759784e-05,6.5626359173620585e-06,0.0,33,0.0,5.405957926996052e-05,2.002882320084609e-05,2.8297763492446393e-05,5.732991667173337e-06,0.0,38,0.14285714285714285,9.58732925937511e-05,3.908496000804007e-05,5.109735138830729e-05,5.690983016393147e-06,0.0,37,0.0,5.528688052436337e-05,1.849687942012679e-05,3.154306978103705e-05,5.2469331421889365e-06,0.0,31,0.14285714285714285,7.393676060019061e-05,2.565378053986933e-05,4.1109437006525695e-05,7.173539870564127e-06,0.0,38,0.14285714285714285,7.325943442992866e-05,3.174894300173037e-05,3.560850382200442e-05,5.901988060941221e-06,0.0,41,0.0,7.361631287494674e-05,2.535589737817645e-05,4.2339925130363554e-05,5.920488092669984e-06,0.0,32,0.2857142857142857,7.014071888988838e-05,3.597632530727424e-05,2.9454115065163933e-05,4.710278517450206e-06,0.0,40,0.14285714285714285
8,400,7.01012322679162e-05,2.3421305741067044e-05,3.872334127663635e-05,7.956587978696916e-06,0.0,34,0.0,0.00011759166955016553,4.43761091446504e-05,6.728692824253812e-05,5.928635346208466e-06,0.0,39,0.0,4.057100886711851e-05,1.1586957043618895e-05,2.2414587874663994e-05,6.569460310856812e-06,0.0,32,0.0,4.9736012442735955e-05,1.914114000101108e-05,2.4785558707662858e-05,5.809312824567314e-06,0.0,38,0.14285714285714285,8.733978756936267e-05,3.625469616963528e-05,4.526030534179881e-05,5.824786967423279e-06,0.0,36,0.0,4.5030334149487317e-05,1.5978241208358668e-05,2.375015537836589e-05,5.301939836499514e-06,0.0,31,0.14285714285714285,6.059689985704608e-05,1.949606121343095e-05,3.3809166779974476e-05,7.291669589903904e-06,0.0,38,0.14285714285714285,6.46841072011739e-05,2.544126436987426e-05,3.326738078612834e-05,5.975462499918649e-06,0.0,39,0.0,5.7309527619509026e-05,1.8225407984573394e-05,3.29529975715559e-05,6.131122518127086e-06,0.0,32,0.2857142857142857,5.839980440214276e-05,2.678650889720302e-05,2.6863177481573075e-05,4.750115749629913e-06,0.0,40,0.14285714285714285
9,450,5.924353172304109e-05,1.8724174879025668e-05,3.213478339603171e-05,8.38457253848901e-06,0.0,34,0.0,9.628320549381897e-05,3.644348180387169e-05,5.379375579650514e-05,6.045964255463332e-06,0.0,39,0.0,3.669942816486582e-05,1.0058030966320075e-05,2.0055920685990714e-05,6.585477422049735e-06,0.0,31,0.14285714285714285,4.152247856836766e-05,1.3970519830763806e-05,2.166153171856422e-05,5.89042474530288e-06,0.0,38,0.14285714285714285,7.757968705845997e-05,3.068671503569931e-05,4.093723327969201e-05,5.9557419263001066e-06,0.0,36,0.0,3.7792662624269724e-05,1.4061100046092179e-05,1.840708137024194e-05,5.324481662682956e-06,0.0,30,0.14285714285714285,5.1569983043009415e-05,1.669082666921895e-05,2.7495416361489333e-05,7.383740467048483e-06,0.0,38,0.14285714285714285,5.7785335229709744e-05,2.113152004312724e-05,3.0634968425147235e-05,6.018845397193218e-06,0.0,38,0.0,4.8287492973031476e-05,1.5383036952698603e-05,2.6614889065967873e-05,6.2895655901229475e-06,0.0,32,0.2857142857142857,5.152256562723778e-05,2.275400584039744e-05,2.3952738047228195e-05,4.8158208301174454e-06,0.0,39,0.14285714285714285
