,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1
0,0,0.04008687660098076,0.038761891424655914,0.0013244980946183205,4.887447744295059e-07,0.0,60,0.0,0.03656817972660065,0.03520212695002556,0.001365558709949255,4.962822117704491e-07,0.0,60,0.0
1,50,0.0006530008395202458,0.00041065202094614506,0.00023856748885009438,3.781346777032013e-06,0.0,60,0.0,0.0006190590211190283,0.00035028086858801544,0.0002646053326316178,4.172854460193776e-06,0.0,60,0.0
2,100,0.0002820582885760814,0.00016295402019750327,0.0001143478584708646,4.75640354125062e-06,0.0,50,0.0,0.0003004593891091645,0.00015836828970350325,0.00013694023073185235,5.150865945324767e-06,0.0,46,0.0
3,150,0.00016388292715419084,8.358438935829327e-05,7.472321158275008e-05,5.57532575840014e-06,0.0,42,0.0,0.0001997393846977502,9.616666648071259e-05,9.745903662405908e-05,6.1136761360103264e-06,0.0,40,0.0
4,200,0.00010173906048294157,4.526842531049624e-05,5.0288599595660344e-05,6.182033303048229e-06,0.0,39,0.14285714285714285,0.00014454704069066793,6.263272371143103e-05,7.514486787840724e-05,6.769447736587608e-06,0.0,38,0.0
5,250,7.003641076153144e-05,2.7691896320902742e-05,3.56832351826597e-05,6.661278348474298e-06,0.0,34,0.14285714285714285,0.00011320698104100302,4.352191899670288e-05,6.242506060516462e-05,7.259998710651416e-06,0.0,36,0.0
6,300,5.1972710934933275e-05,1.8450005882186815e-05,2.6487108698347583e-05,7.0355963543988764e-06,0.0,32,0.14285714285714285,9.141492046182975e-05,3.0747338314540684e-05,5.296232120599598e-05,7.705261850787792e-06,0.0,36,0.0
7,350,4.157443254371174e-05,1.4010204722580966e-05,2.034172030107584e-05,7.222509339044336e-06,0.0,31,0.2857142857142857,7.42678894312121e-05,2.210565253335517e-05,4.3965756049146876e-05,8.196482667699456e-06,0.0,34,0.0
8,400,3.6520294088404626e-05,1.3091972505208105e-05,1.6150655937963165e-05,7.277664280991303e-06,0.0,30,0.42857142857142855,6.266739364946261e-05,1.7022435713442974e-05,3.7078534660395235e-05,8.566423275624402e-06,0.0,34,0.0
9,450,3.153492434648797e-05,1.0918009138549678e-05,1.3328928616829216e-05,7.287988410098478e-06,0.0,30,0.42857142857142855,5.332976070349105e-05,1.3045071682427078e-05,3.1369585485663265e-05,8.915102625906002e-06,0.0,33,0.0
10,500,3.028641367563978e-05,1.1670403182506561e-05,1.1325182640575804e-05,7.2908269430627115e-06,0.0,29,0.42857142857142855,4.6703316911589354e-05,1.0477292562427465e-05,2.7018013497581705e-05,9.208012670569587e-06,0.0,31,0.0
11,550,2.3941738618304953e-05,7.166419436543947e-06,9.486652743362356e-06,7.288665983651299e-06,0.0,28,0.42857142857142855,4.097555574844591e-05,8.381665793422144e-06,2.316716745554004e-05,9.42672249948373e-06,0.0,31,0.0
12,600,2.475195833540056e-05,8.800069736025762e-06,8.673739102960099e-06,7.278149041667348e-06,0.0,27,0.42857142857142855,3.599869887693785e-05,6.972984465392074e-06,1.9445089492364787e-05,9.580625373928342e-06,0.0,31,0.0
13,650,2.0599007257260382e-05,5.8317173170507886e-06,7.487573839171091e-06,7.279715191543801e-06,0.0,26,0.42857142857142855,3.228080822736956e-05,5.956761924608145e-06,1.6576250345679e-05,9.74779777607182e-06,0.0,30,0.0
14,700,2.1030295101809315e-05,6.737384865118656e-06,7.0061892074591015e-06,7.286720574484207e-06,0.0,25,0.42857142857142855,2.9543723940150812e-05,5.302908903104253e-06,1.4340442248794716e-05,9.900374607241247e-06,0.0,30,0.14285714285714285
15,750,1.869952757260762e-05,5.201177827984793e-06,6.243666121008573e-06,7.2546831688669045e-06,0.0,25,0.42857142857142855,2.7820602554129437e-05,5.112997314427048e-06,1.2680001418630127e-05,1.0027604730566964e-05,0.0,30,0.14285714285714285
16,800,1.8222595826955512e-05,5.1637625801959075e-06,5.8359951253805775e-06,7.222837211884325e-06,0.0,25,0.42857142857142855,2.594820034573786e-05,4.4766943574359175e-06,1.1341162462485954e-05,1.0130343071068637e-05,0.0,30,0.14285714285714285
17,850,1.822770354920067e-05,5.500098268385045e-06,5.545807653106749e-06,7.181797627708875e-06,0.0,24,0.42857142857142855,2.4578428565291688e-05,4.136325060244417e-06,1.0232364729745314e-05,1.0209739230049308e-05,0.0,30,0.14285714285714285
18,900,1.661958776821848e-05,4.581605026032776e-06,4.900964540865971e-06,7.137018201319734e-06,0.0,24,0.42857142857142855,2.7580492314882576e-05,7.072563221299788e-06,9.957630027201958e-06,1.055029861163348e-05,0.0,28,0.14285714285714285
19,950,1.5852107026148587e-05,4.102656021132134e-06,4.657849331124453e-06,7.091600309649948e-06,0.0,23,0.42857142857142855,2.2586020349990577e-05,3.7322465686884243e-06,8.271241313195787e-06,1.0582533832348417e-05,0.0,27,0.14285714285714285
20,1000,1.525605512142647e-05,3.7583747598546324e-06,4.407871529110707e-06,7.089808605087455e-06,0.0,22,0.42857142857142855,2.0983121430617757e-05,2.873492803701083e-06,7.528948572144145e-06,1.0580680282146204e-05,0.0,26,0.14285714285714285
21,1050,1.544659971841611e-05,3.867285613523563e-06,4.493019332585391e-06,7.086294772307156e-06,0.0,21,0.42857142857142855,2.068112007691525e-05,3.0113899356365437e-06,7.098308742570225e-06,1.0571420716587454e-05,0.0,26,0.14285714285714285
