,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3
0,0,0.1679696291685104,0.1596268713474273,0.0083407722413539,1.9809053810604382e-06,0.0,60,0.0,0.1591873914003372,0.1545025557279586,0.0046831341460347,1.71100293755444e-06,0.0,60.0,0.0,0.159274160861969,0.1537540555000305,0.0055183148942887,1.7771228613128187e-06,0.0,60,0.0,0.13750059902668,0.13086435198783875,0.006634362507611513,1.8727173483057413e-06,0.0,60,0.0
1,50,0.0100691821426153,0.0047403192147612,0.0053204195573925,8.44297119328985e-06,0.0,60,0.0,0.0048482725396752,0.0028285642620176,0.0020111303310841,8.578008419135585e-06,0.0,60.0,0.0,0.0248752571642398,0.0193570144474506,0.0055175605230033,6.80895141158544e-07,0.0,60,0.0,0.005606363993138075,0.002822265727445483,0.0027758325450122356,8.26611267257249e-06,0.0,60,0.0
2,100,0.009019112214446,0.0034492542035877,0.005559564102441,1.0293703780916983e-05,0.0,52,0.0,0.0044344598427414,0.002524837385863,0.001901157782413,8.46455259306822e-06,0.0,60.0,0.0,0.0194628182798624,0.0139451436698436,0.0055170534178614,6.224365165508061e-07,0.0,60,0.0,0.0033761647064238787,0.0012511603999882936,0.002112447051331401,1.2557258742162958e-05,0.0,53,0.0
3,150,0.0106011126190423,0.0031595779582858,0.007427230477333,1.4304317119240297e-05,0.0,49,0.0,,,,,,,,0.0183956958353519,0.0128935016691684,0.0055012288503348,9.649827461544191e-07,0.0,60,0.0,0.0031252617482095957,0.0010724725434556603,0.002036991761997342,1.579762283654418e-05,0.0,49,0.0
4,200,0.0096632596105337,0.0030740462243556,0.0065727992914617,1.6414687706856057e-05,0.0,46,0.0,,,,,,,,0.0141083132475614,0.008813296444714,0.005292538087815,2.478566329955356e-06,0.0,60,0.0,0.0027413489297032356,0.0009365911828354001,0.0017875537741929293,1.7203896277351305e-05,0.0,47,0.0
5,250,0.0093109905719757,0.0031654699705541,0.0061278543435037,1.7666432540863752e-05,0.0,44,0.0,,,,,,,,0.0097440807148814,0.0048422501422464,0.0048967055045068,5.124861672811676e-06,0.0,60,0.0,0.0023848540149629116,0.0008394625037908554,0.0015277517959475517,1.7639655197854154e-05,0.0,45,0.0
6,300,0.0092766704037785,0.0031985316891223,0.006059581413865,1.8557728253654204e-05,0.0,44,0.0,,,,,,,,0.0082237813621759,0.0038113053888082,0.0044051585718989,7.318284133361885e-06,0.0,60,0.0,0.002311229705810547,0.00076585344504565,0.001527395797893405,1.798057564883493e-05,0.0,45,0.0
7,350,0.0091779138892889,0.0032231514342129,0.0059354556724429,1.930665530380793e-05,0.0,42,0.0,,,,,,,,0.0071275844238698,0.0033175395801663,0.0038013872690498,8.657486432639416e-06,0.0,60,0.0,0.0022254916839301586,0.0007163494592532516,0.001490739407017827,1.84027521754615e-05,0.0,43,0.0
8,400,0.009217370301485,0.0031914794817566,0.0060060899704694,1.980133674805984e-05,0.0,42,0.0,,,,,,,,0.0060734222643077,0.0027696313336491,0.0032943398691713,9.45128977036802e-06,0.0,60,0.0,0.002130089793354273,0.000684862257912755,0.001426459988579154,1.876764690678101e-05,0.0,42,0.0
9,450,0.0093008307740092,0.0032084416598081,0.0060722553171217,2.013340417761356e-05,0.0,41,0.0,,,,,,,,0.0049620885401964,0.0019561317749321,0.0029960898682475,9.867161679721905e-06,0.0,60,0.0,0.0020325954537838697,0.0006406533648259938,0.0013729059137403965,1.9036178855458274e-05,0.0,41,0.0
10,500,0.0088032661005854,0.0031612035818398,0.0056217722594738,2.02901974262204e-05,0.0,39,0.0,,,,,,,,0.0043472764082252,0.0015181612689048,0.0028189474251121,1.0167748769163154e-05,0.0,60,0.0,0.0018287231214344501,0.0005758878542110324,0.0012337008956819773,1.9134531612508e-05,0.0,41,0.0
11,550,0.0085395378991961,0.0031580720096826,0.0053611481562256,2.031780604738742e-05,0.0,39,0.0,,,,,,,,0.0039852280169725,0.001265816623345,0.002708826912567,1.0584952178760432e-05,0.0,60,0.0,0.0016594160115346313,0.0005194823606871068,0.0011208136565983295,1.9120159777230583e-05,0.0,41,0.0
12,600,0.0085371099412441,0.0032183877192437,0.0052984142675995,2.0307652448536828e-05,0.0,38,0.0,,,,,,,,0.0036454261280596,0.0011088291648775,0.0025254969950765,1.1099755283794366e-05,0.0,60,0.0,0.0015508184442296624,0.0004784359480254352,0.0010533437598496675,1.903869997477159e-05,0.0,41,0.0
