,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5
0,0,0.0383758805692195,0.0367812849581241,0.0015941798919811,4.1890231727848004e-07,0.0,60,0.0,0.0361769758164882,0.0348163582384586,0.0013602208346128,3.973521529587743e-07,0.0,60,0.0,0.0416638813912868,0.0408103503286838,0.0008531433995813,3.884266845943785e-07,0.0,60,0.0,0.0381794534623622,0.0368940383195877,0.0012849897611886,4.255348358128686e-07,0.0,60,0.0,0.0368602871894836,0.0351951494812965,0.0016647136071696,4.258170633875125e-07,0.0,60,0.0,0.03623519092798233,0.03526877611875534,0.0009660398354753852,3.761128652968182e-07,0.0,60,0.0
1,50,0.0010411252733319,0.0006869956851005,0.0003512857947498,2.843813035724452e-06,0.0,60,0.0,0.0006642572698183,0.0002672992704901,0.0003928678052034,4.090181391802616e-06,0.0,60,0.0,0.0005699606263078,0.0003628063423093,0.0002031792828347,3.974984338128706e-06,0.0,60,0.0,0.000488348014187,0.000220140980673,0.0002642743347678,3.932681465812493e-06,0.0,60,0.0,0.0010439321631565,0.0006558515597134,0.0003849745262414,3.106084477622062e-06,0.0,60,0.0,0.0007832778501324356,0.000536987732630223,0.0002437327493680641,2.5573551738489186e-06,0.0,60,0.0
2,100,0.0003903562319464,0.0001994090707739,0.000187313373317,3.633799451563391e-06,0.0,48,0.0,0.0002752080617938,0.0001003286961349,0.0001692267542239,5.652613708662102e-06,0.0,49,0.0,0.0001713861129246,7.528565038228408e-05,9.1070935013704e-05,5.029527528677136e-06,0.0,54,0.0,0.0001862489298218,7.371009996859357e-05,0.0001064330790541,6.1057571656419896e-06,0.0,50,0.0,0.0005945679731667,0.0003164623922202,0.0002748628903646,3.242705588490935e-06,0.0,54,0.0,0.0003952228289563209,0.0002435257047181949,0.00014915004430804402,2.5470751552347792e-06,0.0,53,0.0
3,150,0.0002538280969019,0.0001162964981631,0.0001326821220573,4.8494730435777456e-06,0.0,41,0.0,0.0001144243142334,4.350928793428466e-05,6.443526945076883e-05,6.4797577579156496e-06,0.0,48,0.0,0.0001031297797453,4.396030999487266e-05,5.357375630410388e-05,5.5957161748665385e-06,0.0,51,0.0,0.0001077172055374,3.638402631622739e-05,6.4144900534302e-05,7.188282324932516e-06,0.0,48,0.0,0.0004109210858587,0.0002127371990354,0.0001942882081493,3.895684130839072e-06,0.0,48,0.0,0.00024280487559735775,0.00012248630810063332,0.00011691534018609673,3.403226855880348e-06,0.0,45,0.0
4,200,0.0002046542940661,8.568529301555827e-05,0.0001132457109633,5.723298727389192e-06,0.0,38,0.0,6.729613232892007e-05,2.0734032659674995e-05,3.94711532862857e-05,7.090947292454075e-06,0.0,46,0.0,7.603947597090155e-05,3.154044316033833e-05,3.856668263324536e-05,5.932350632065209e-06,0.0,50,0.0,8.342706860275939e-05,2.5347218979732133e-05,5.020405660616234e-05,7.875792107370216e-06,0.0,46,0.0,0.0003508472873363,0.0001662080321693,0.0001804055500542,4.233705112710595e-06,0.0,46,0.0,0.00017593118536751717,9.036312258103862e-05,8.132508082780987e-05,4.242973318469012e-06,0.0,43,0.0
5,250,0.0001629516191314,6.080355524318293e-05,9.586771193426102e-05,6.280350589804584e-06,0.0,37,0.0,4.869154872721992e-05,1.3049876542936543e-05,2.812424281728454e-05,7.517427548009437e-06,0.0,46,0.0,6.249823491089046e-05,2.3751126718707383e-05,3.2548621675232425e-05,6.198487881192705e-06,0.0,48,0.0,7.059398194542155e-05,1.9414657799643464e-05,4.27961495006457e-05,8.383173735637683e-06,0.0,45,0.0,0.0003102158661931,0.0001401707122568,0.0001654670631978,4.578084372042213e-06,0.0,38,0.0,0.00013759851572103798,6.704699626425281e-05,6.573527934961021e-05,4.816240561922314e-06,0.0,40,0.0
6,300,0.0001422387431375,4.4692154915537685e-05,9.087308717425913e-05,6.673510597465793e-06,0.0,37,0.0,3.927481884602457e-05,9.99996791506419e-06,2.144358768418897e-05,7.831264156266116e-06,0.0,44,0.0,5.279726610751823e-05,1.945224357768893e-05,2.697287709452212e-05,6.372144071065122e-06,0.0,47,0.0,6.226437108125538e-05,1.5675093891331926e-05,3.779544204007834e-05,8.793831511866301e-06,0.0,44,0.0,0.0002519702538847,0.0001184355933219,0.000128597690491,4.936962795909494e-06,0.0,35,0.0,0.00011803690722445026,5.412962127593346e-05,5.871906614629552e-05,5.1882152547477745e-06,0.0,38,0.0
7,350,0.0001109598742914,2.9954462661407888e-05,7.401354378089309e-05,6.991867849137634e-06,0.0,37,0.0,3.3919874113053083e-05,8.493802852171939e-06,1.7386822946718894e-05,8.039247404667549e-06,0.0,43,0.0,4.725135659100488e-05,1.68678852787707e-05,2.385962579865009e-05,6.523845513584092e-06,0.0,47,0.0,5.753824007115327e-05,1.4444245607592164e-05,3.394862505956553e-05,9.145370313490275e-06,0.0,44,0.0,0.0002272912533953,0.0001030863422784,0.0001188964961329,5.308417712512892e-06,0.0,32,0.1428571428571428,0.0001037860129144974,4.469148916541599e-05,5.363555465009995e-05,5.458968189486768e-06,0.0,37,0.0
8,400,9.693228639662266e-05,2.3991244233911857e-05,6.567307718796656e-05,7.267966793733649e-06,0.0,36,0.0,3.001005643454846e-05,7.102342351572588e-06,1.473386691941414e-05,8.173847163561732e-06,0.0,43,0.0,3.961419861298055e-05,1.238423919858178e-05,2.055870572803542e-05,6.671253686363343e-06,0.0,47,0.0,5.2798641263507307e-05,1.2006264114461374e-05,3.136181476293132e-05,9.43055965763051e-06,0.0,44,0.0,0.0002194655244238,9.377401875099169e-05,0.0001200527403852,5.638768470817013e-06,0.0,31,0.1428571428571428,9.118509478867054e-05,3.717417348525487e-05,4.833565981243737e-05,5.675264674209757e-06,0.0,36,0.0
9,450,8.608022471889853e-05,2.0714645870612003e-05,5.78365616092924e-05,7.52901769374148e-06,0.0,35,0.0,2.7643674911814745e-05,6.287055384746054e-06,1.3081457836960908e-05,8.275161235360429e-06,0.0,40,0.0,3.616900721681304e-05,1.124447226175107e-05,1.812060327210929e-05,6.8039325924473815e-06,0.0,47,0.0,5.048669845564291e-05,1.1813857781817204e-05,2.9003314921283163e-05,9.669527571531944e-06,0.0,44,0.0,0.0001902605145005,8.313245780300349e-05,0.0001011369677144,5.9911012613156345e-06,0.0,29,0.1428571428571428,7.973727042553946e-05,3.075134372920729e-05,4.309789801482111e-05,5.888034593226621e-06,0.0,34,0.0
10,500,8.374082244699821e-05,2.072738607239444e-05,5.529522240976803e-05,7.718210326856934e-06,0.0,35,0.0,2.530626261432189e-05,5.481162588694133e-06,1.1473888662294485e-05,8.351211363333277e-06,0.0,40,0.0,3.054647095268592e-05,8.42578083393164e-06,1.5194514162431004e-05,6.926175046828576e-06,0.0,47,0.0,4.510791768552736e-05,8.128706213028636e-06,2.709680120460689e-05,9.88241117738653e-06,0.0,43,0.0,0.0001621557166799,7.614746573381126e-05,7.975973130669445e-05,6.248524186958093e-06,0.0,28,0.1428571428571428,7.192248449428007e-05,2.689498978725169e-05,3.8967369619058445e-05,6.060121449991129e-06,0.0,34,0.0
11,550,8.433124457951635e-05,2.0025918274768628e-05,5.644482735078782e-05,7.860499863454606e-06,0.0,35,0.0,2.482447962393053e-05,5.9193098422838375e-06,1.0493871741346084e-05,8.41129894979531e-06,0.0,40,0.0,2.7933638193644583e-05,7.663131327717565e-06,1.322353637078777e-05,7.046970040391898e-06,0.0,47,0.0,4.2954841774189845e-05,7.111975719453767e-06,2.575789585534949e-05,1.0084968380397186e-05,0.0,43,0.1428571428571428,0.0001537887728773,7.221983833005652e-05,7.510119758080691e-05,6.4677378759370185e-06,0.0,28,0.1428571428571428,6.572665006387979e-05,2.408320506219752e-05,3.5446359106572345e-05,6.197086349857273e-06,0.0,32,0.0
12,600,9.03787586139515e-05,2.238025990664028e-05,6.010403376421891e-05,7.894464943092316e-06,0.0,34,0.0,2.947417488030624e-05,1.0790928172355052e-05,1.0224104698863812e-05,8.459142918582074e-06,0.0,40,0.0,2.5661071049398743e-05,6.621331976930378e-06,1.1883685147040524e-05,7.156053015933139e-06,0.0,47,0.0,4.081699808011763e-05,6.0783568187616765e-06,2.447077531542164e-05,1.0267864126944914e-05,0.0,41,0.1428571428571428,0.0001472595176892,6.748645682819188e-05,7.312368688872084e-05,6.64936806060723e-06,0.0,28,0.1428571428571428,6.199581548571587e-05,2.2810909285908565e-05,3.284895865363069e-05,6.335950729408069e-06,0.0,31,0.0
13,650,9.287077409680931e-05,2.255875733681023e-05,6.231341103557497e-05,7.998608452908229e-06,0.0,34,0.0,2.463518103468232e-05,7.294376700883731e-06,8.84511973708868e-06,8.495683687215205e-06,0.0,40,0.0,2.4132936232490465e-05,6.095088792790193e-06,1.078350487659918e-05,7.254343472595792e-06,0.0,47,0.0,3.9367896533804014e-05,5.569548648054479e-06,2.336889701837208e-05,1.0429451322124804e-05,0.0,41,0.1428571428571428,0.0001396915904479,6.136106821941212e-05,7.15342175681144e-05,6.7963183028041385e-06,0.0,28,0.1428571428571428,5.976144893793389e-05,2.2434969650930725e-05,3.086285141762346e-05,6.463626505137654e-06,0.0,31,0.0
14,700,9.375819354318082e-05,2.324634806427639e-05,6.241769006010145e-05,8.09415359981358e-06,0.0,34,0.0,2.0854831745964475e-05,4.356202680355636e-06,7.973259016580414e-06,8.525370503775775e-06,0.0,40,0.0,2.431016037007793e-05,6.780611784051871e-06,1.018719376588706e-05,7.342353910644306e-06,0.0,47,0.0,3.801890488830395e-05,5.065508048573975e-06,2.2358130081556737e-05,1.059526766766794e-05,0.0,39,0.1428571428571428,0.0001371571270283,5.852139656781219e-05,7.171151082729921e-05,6.924226909177378e-06,0.0,28,0.1428571428571428,5.78724684601184e-05,2.2030004402040504e-05,2.9255803383421153e-05,6.586657491425285e-06,0.0,30,0.0
15,750,9.320728713646532e-05,2.218212284788024e-05,6.284304981818423e-05,8.182114470400847e-06,0.0,34,0.0,2.207709985668771e-05,6.350913736241637e-06,7.174551228672499e-06,8.551634891773574e-06,0.0,40,0.0,2.2648568119620904e-05,5.7363386076758616e-06,9.45468582358444e-06,7.457544597855303e-06,0.0,46,0.0,3.704074697452597e-05,4.930313025397481e-06,2.138323543476872e-05,1.0727199878601825e-05,0.0,38,0.1428571428571428,0.0001357628934783,5.7137192925438285e-05,7.158527296269313e-05,7.0404344114649575e-06,0.0,28,0.1428571428571428,5.520465492736548e-05,2.0471079551498406e-05,2.8047101295669563e-05,6.686474080197513e-06,0.0,30,0.0
16,800,9.109896200243384e-05,2.2120813810033724e-05,6.0718182794516906e-05,8.259963578893803e-06,0.0,33,0.0,1.879702540463768e-05,3.5198129353375407e-06,6.703680810460355e-06,8.573532795708161e-06,0.0,40,0.0,2.2825801352155395e-05,6.0433744693000335e-06,9.247111847798806e-06,7.535315035056556e-06,0.0,46,0.0,3.5674383980222046e-05,4.389644345792476e-06,2.0439161744434383e-05,1.0845577889995184e-05,0.0,38,0.1428571428571428,0.0001303981844102,5.154965401743539e-05,7.170571916503832e-05,7.142811227822676e-06,0.0,28,0.1428571428571428,5.205114575801417e-05,1.8365788491792046e-05,2.691045665415004e-05,6.7748978835879825e-06,0.0,30,0.0
17,850,8.962157153291628e-05,2.1492924133781344e-05,5.978001354378648e-05,8.34863203635905e-06,0.0,32,0.0,1.850364424171857e-05,3.666710199468071e-06,6.217908776307013e-06,8.619024811196141e-06,0.0,40,0.0,2.146759652532637e-05,4.915634690405568e-06,8.94946697371779e-06,7.602495315950364e-06,0.0,46,0.0,3.480384839349426e-05,4.175030426267767e-06,1.9661058104247783e-05,1.0967761227220764e-05,0.0,37,0.1428571428571428,0.0001280674332519,4.850063851336017e-05,7.233090582303703e-05,7.2358939178229775e-06,0.0,28,0.1428571428571428,5.026202416047454e-05,1.7376050891471095e-05,2.6006462576333433e-05,6.8795125116594136e-06,0.0,27,0.0
18,900,8.688938396517187e-05,2.090310590574518e-05,5.7557670515961945e-05,8.428608452959452e-06,0.0,32,0.0,1.7844035028247163e-05,3.264857468820992e-06,5.899832558498019e-06,8.679344318807125e-06,0.0,39,0.0,2.0846066036028787e-05,4.313284989621025e-06,8.868581062415615e-06,7.664199983992148e-06,0.0,46,0.0,3.3906751923495904e-05,3.925116743630497e-06,1.891759529826232e-05,1.1064039426855745e-05,0.0,37,0.1428571428571428,0.0001289237552555,4.645242006517947e-05,7.515153993153945e-05,7.319799351535039e-06,0.0,28,0.1428571428571428,4.8752903239801526e-05,1.661389796936419e-05,2.519251393096056e-05,6.946492703718832e-06,0.0,27,0.14285714285714285
