,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4
0,0,0.038687948137521744,0.037707891315221786,0.0009700576774775982,9.999999747378752e-06,0.0,60,0.04280366748571396,0.041430674493312836,0.0013629929162561893,9.999999747378752e-06,0.0,60,0.038034189492464066,0.0367431640625,0.0012810283806174994,9.999999747378752e-06,0.0,60,0.03761303424835205,0.0359274260699749,0.0016756103141233325,9.999999747378752e-06,0.0,60,0.03554215282201767,0.0343807078897953,0.0011514468351379037,9.999999747378752e-06,0.0,60
1,50,0.0016175060300156474,0.0009762344998307526,0.0006345847505144775,6.686787401122274e-06,0.0,60,0.0030320927035063505,0.0016459011239930987,0.0013784877955913544,7.703652045165654e-06,0.0,60,0.002283655107021332,0.0012937533902004361,0.000983005971647799,6.895646947668865e-06,0.0,60,0.002976727671921253,0.001532033202238381,0.0014380919747054577,6.602659595955629e-06,0.0,60,0.0019066442037001252,0.001072595245204866,0.0008270171820186079,7.031809673208045e-06,0.0,60
2,100,0.0008184890612028539,0.0005789338611066341,0.00023329546093009412,6.259698238864075e-06,0.0,60,0.0018001293065026402,0.0007467137766070664,0.0010463292710483074,7.086316600179998e-06,0.0,60,0.0009347879095003009,0.0004274864331819117,0.0005008816951885819,6.419788405764848e-06,0.0,60,0.0012724082916975021,0.0006762587581761181,0.0005902061238884926,5.943472388025839e-06,0.0,60,0.0008913109195418656,0.00037664681440219283,0.0005080854753032327,6.578618013008963e-06,0.0,60
3,150,0.0005915221991017461,0.00042191441752947867,0.0001637217792449519,5.886000963073457e-06,0.0,60,0.0015597569290548563,0.000591110612731427,0.0009621867793612182,6.459488304244587e-06,0.0,58,0.0006318711093626916,0.0003039332223124802,0.0003221533552277833,5.784504992334405e-06,0.0,59,0.000739709532354027,0.0004257149703335017,0.0003087041259277612,5.29045701114228e-06,0.0,54,0.0005075411754660308,0.00026845047250390053,0.00023290235549211502,6.188327915879199e-06,0.0,59
4,200,0.00046481945901177824,0.0003256518393754959,0.00013369634689297527,5.471256827149773e-06,0.0,58,0.0012470601359382272,0.00036475257365964353,0.0008766070241108537,5.700505880668061e-06,0.0,58,0.0004907806869596243,0.00023447295825462788,0.0002509802579879761,5.327432518242858e-06,0.0,54,0.0005718093016184866,0.0003230140428058803,0.00024411463527940214,4.680628535425058e-06,0.0,46,0.00040971278212964535,0.00021670479327440262,0.00018718118371907622,5.826829692523461e-06,0.0,53
5,250,0.00039710805867798626,0.0002664768253453076,0.00012559734750539064,5.033879006077768e-06,0.0,57,0.0007749483920633793,0.00018525947234593332,0.0005844832630828023,5.205630714044673e-06,0.0,49,0.00040567637188360095,0.0001853378489613533,0.00021536384883802384,4.974665898771491e-06,0.0,48,0.0004744473553728312,0.0002629429509397596,0.0002071948256343603,4.309581981942756e-06,0.0,40,0.0003551888221409172,0.0001818490563891828,0.00016781450540293008,5.525260803551646e-06,0.0,50
6,300,0.0003530436661094427,0.00022827678185421973,0.00012009429337922484,4.672593604482245e-06,0.0,51,0.000601526815444231,0.00013436649169307202,0.00046221722732298076,4.943135991197778e-06,0.0,42,0.00034999637864530087,0.00015024817548692226,0.00019510534184519202,4.642886324290885e-06,0.0,43,0.0003991037083324045,0.00021668957197107375,0.00017841778753791004,3.996329724031966e-06,0.0,35,0.00031494253198616207,0.0001560903328936547,0.0001536188501631841,5.233358479017625e-06,0.0,46
7,350,0.000319791492074728,0.00020176295947749168,0.00011371362779755145,4.3149111661477946e-06,0.0,45,0.0004176904330961406,0.00010299264977220446,0.0003100173198617995,4.680470283346949e-06,0.0,36,0.00030565093038603663,0.0001253709488082677,0.00017592054791748524,4.359421382105211e-06,0.0,39,0.0003430957440286875,0.00017569577903486788,0.00016362839960493147,3.7715662983828224e-06,0.0,35,0.0002874252386391163,0.00013599677185993642,0.00014643398753833026,4.994478786102263e-06,0.0,45
8,400,0.00029379414627328515,0.00018151808762922883,0.00010827981895999983,3.99623922930914e-06,0.0,42,0.0003036252746824175,7.760427251923829e-05,0.00022147642448544502,4.544599050859688e-06,0.0,31,0.00028504710644483566,0.00011252302647335455,0.00016833236441016197,4.191713742329739e-06,0.0,36,0.00030508378404192626,0.00014629916404373944,0.00015517312567681074,3.611488637034199e-06,0.0,32,0.0002671854163054377,0.00012175742449471727,0.00014064488641452044,4.78309448226355e-06,0.0,44
9,450,0.00026773865101858974,0.00016053147555794567,0.0001035414170473814,3.665733174784691e-06,0.0,37,0.000243614093051292,5.7479915994917974e-05,0.00018176110461354256,4.373063802631805e-06,0.0,29,0.00025475589791312814,0.00010052656580228359,0.0001501495426055044,4.079762675246457e-06,0.0,34,0.0002799837675411254,0.0001266259205294773,0.0001498527271905914,3.50511550095689e-06,0.0,31,0.0002497003006283194,0.00011188107600901276,0.00013327249325811863,4.546754098555539e-06,0.0,42
