,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7
0,0,0.38158050179481506,0.3804890215396881,0.0010907151736319065,7.66671178098477e-07,0.0,60,0.3495437800884247,0.3485996425151825,0.0009435020037926733,6.372493430717441e-07,0.0,60,0.3100830614566803,0.30904486775398254,0.0010375026613473892,6.872722337902815e-07,0.0,60,0.42704394459724426,0.42541804909706116,0.001625344273634255,5.261567253000976e-07,0.0,60,0.3652067482471466,0.3637183904647827,0.0014876299537718296,7.198656817308802e-07,0.0,60,0.38455861806869507,0.3831009566783905,0.0014568937476724386,7.752211672595877e-07,0.0,60,0.394222617149353,0.3928798735141754,0.001341952127404511,8.05783486157452e-07,0.0,60,0.3834708333015442,0.3816395401954651,0.0018306468846276402,6.639450589318585e-07,0.0,60
1,50,0.010902389883995056,0.00989651121199131,0.0010051842546090484,6.94601226314262e-07,0.0,60,0.011547246016561985,0.01068506296724081,0.0008616867125965655,4.965896209796483e-07,0.0,60,0.011748056858778,0.010808046907186508,0.0009395277593284845,4.824835855288256e-07,0.0,60,0.017802583053708076,0.016240332275629044,0.001561779179610312,4.713479313522839e-07,0.0,60,0.013292446732521057,0.011916517280042171,0.0013753313105553389,5.976659736006695e-07,0.0,60,0.012734200805425644,0.011352349072694778,0.001381426234729588,4.255470287262142e-07,0.0,60,0.013981577008962631,0.012726361863315105,0.0012546340003609657,5.808537935081404e-07,0.0,60,0.016631605103611946,0.014879760332405567,0.0017514016944915056,4.438674352513772e-07,0.0,60
2,100,0.007197170983999968,0.006483010016381741,0.0007123948889784515,1.766124228197441e-06,0.0,60,0.006894278805702925,0.0061623090878129005,0.0007303699967451394,1.5993989563867217e-06,0.0,60,0.006319205742329359,0.005543247796595097,0.0007745829643681645,1.3752181757809012e-06,0.0,60,0.010016324929893017,0.00860598124563694,0.0014088887255638838,1.4548903664035606e-06,0.0,60,0.009402540512382984,0.00823937077075243,0.0011615115217864513,1.658548399063875e-06,0.0,60,0.009019382297992706,0.00775005342438817,0.0012680968502536416,1.232118165717111e-06,0.0,60,0.00830896943807602,0.007325427606701851,0.0009819917613640428,1.5494032368223998e-06,0.0,60,0.010649076662957668,0.009125936776399612,0.0015216917963698506,1.4480378922598902e-06,0.0,60
3,150,0.003000175580382347,0.0023862910456955433,0.0006119396421127021,1.9447991235210793e-06,0.0,30,0.0029235356487333775,0.0024097636342048645,0.000511618098244071,2.153908553736983e-06,0.0,35,0.00481562502682209,0.00419849855825305,0.0006154743605293334,1.652214791647566e-06,0.0,32,0.007425973657518625,0.006327318958938122,0.0010966259287670255,2.0289223812142154e-06,0.0,40,0.007837971672415733,0.0067786527797579765,0.001057335059158504,1.983759602808277e-06,0.0,29,0.003477330319583416,0.0024059538263827562,0.0010696505196392536,1.7260485947190318e-06,0.0,34,0.0037313064094632864,0.0028329668566584587,0.0008966719615273178,1.6675976439728402e-06,0.0,29,0.0042846668511629105,0.003011951455846429,0.0012706537963822484,2.0616901110770414e-06,0.0,35
4,200,0.0017007173737511039,0.00117921840865165,0.0005194967379793525,2.0022455373691628e-06,0.0,29,0.0014974678633734584,0.0010424571810290217,0.00045276054879650474,2.2501453713630326e-06,0.0,32,0.0014084427384659648,0.0008349824929609895,0.0005717069143429399,1.7533564005134394e-06,0.0,23,0.002997027477249503,0.0019340785220265388,0.001060706446878612,2.2424494545703055e-06,0.0,32,0.0028873563278466463,0.001988325035199523,0.0008969201007857919,2.1109844965394586e-06,0.0,25,0.0021828659810125828,0.0014048401499167085,0.0007760612643323839,1.9646679447760107e-06,0.0,21,0.0023122206330299377,0.0015652644215151668,0.0007452459540218115,1.7104400740208803e-06,0.0,21,0.0027795806527137756,0.001808683737181127,0.000968516047578305,2.3808286186977057e-06,0.0,33
5,250,0.0013314919779077172,0.0008341316715814173,0.000495363085065037,1.9971801066276385e-06,0.0,26,0.0011819289065897465,0.0007614491041749716,0.0004181661643087864,2.31363424063602e-06,0.0,28,0.0011036025825887918,0.0005641390453092754,0.0005376883200369775,1.7752529402059736e-06,0.0,19,0.0022016367875039577,0.0012968124356120825,0.0009024228784255683,2.4015046165004605e-06,0.0,24,0.002022386994212866,0.0012237117625772953,0.0007965596741996706,2.1154735350137344e-06,0.0,22,0.0016684118891134858,0.0010970979928970337,0.0005692713311873376,2.0425181901373435e-06,0.0,18,0.0017368850531056523,0.0011467041913419962,0.0005884785787202418,1.7022865677063237e-06,0.0,17,0.002154429443180561,0.0013072927249595523,0.0008446499705314636,2.4867224510671804e-06,0.0,29
6,300,0.0011295302538201213,0.0006509633967652917,0.00047656663809902966,2.0002489691250958e-06,0.0,23,0.0010200156830251217,0.0006224933313205838,0.0003952070837840438,2.3152613266574917e-06,0.0,24,0.0009614528389647603,0.000441462587332353,0.0005182059248909354,1.784272285476618e-06,0.0,15,0.0018310972955077887,0.0010244580917060375,0.0008041431428864598,2.496090928616468e-06,0.0,21,0.0017226885538548231,0.0009548107045702636,0.0007657877868041396,2.0901240986859193e-06,0.0,22,0.0013589593581855297,0.0008516894886270165,0.0005052424967288971,2.027346226896043e-06,0.0,18,0.0014561930438503623,0.0008997140685096383,0.000554786529392004,1.6924823285080492e-06,0.0,15,0.0017781706992536783,0.0009995090076699853,0.0007760771550238132,2.5845040454441914e-06,0.0,23
7,350,0.0009891586378216743,0.0005280023906379938,0.0004591098113451153,2.0464153749344405e-06,0.0,23,0.0009103447664529085,0.0005264009232632816,0.00038164955913089216,2.2943208932701964e-06,0.0,23,0.0008251715917140245,0.000325607048580423,0.000497747038025409,1.817472480070137e-06,0.0,15,0.0015781752299517393,0.0008112210780382156,0.0007644380675628781,2.516042741262936e-06,0.0,21,0.0015415956731885672,0.0007946080877445638,0.0007449586992152035,2.0289378426241456e-06,0.0,20,0.0010856937151402235,0.0006103147752583027,0.00047336664283648133,2.012346385527053e-06,0.0,17,0.0012742045801132917,0.0007349161896854639,0.0005376028129830956,1.6855332205523155e-06,0.0,13,0.0014973563374951482,0.0007593338959850371,0.0007353709079325199,2.6516038360568928e-06,0.0,23
8,400,0.0008585116593167186,0.00041502079693600535,0.0004413894494064152,2.1014011508668773e-06,0.0,23,0.0007529727881774306,0.00038108229637145996,0.0003695399791467935,2.3505540411861148e-06,0.0,23,0.0007116576307453215,0.00023266513017006218,0.0004771060775965452,1.8864528783524293e-06,0.0,15,0.0013336720876395702,0.000598715094383806,0.000732452142983675,2.5048193492693827e-06,0.0,20,0.0013790554367005825,0.0006550961406901479,0.0007219445542432368,2.01463285520731e-06,0.0,19,0.0008882868569344282,0.0004372458206489682,0.00044902131776325405,2.0197096546326065e-06,0.0,17,0.0011098444228991866,0.0005862329271622002,0.0005218495498411357,1.7618928040974424e-06,0.0,13,0.0012847009347751737,0.000576693972107023,0.0007052341243252158,2.7729361136152875e-06,0.0,23
9,450,0.0007387466030195355,0.00030922729638405144,0.00042736000614240766,2.1592961729766103e-06,0.0,20,0.000629046990070492,0.0002684681967366487,0.0003581221681088209,2.4566597858211026e-06,0.0,21,0.0006374142831191421,0.00018019272829405963,0.00045522782602347434,1.9937360775657e-06,0.0,15,0.0011293429415673018,0.00042585848132148385,0.0007009749533608556,2.5094329885178013e-06,0.0,20,0.0012790070613846183,0.0005745681701228023,0.0007024185615591705,2.0203699477860937e-06,0.0,17,0.0007621637778356671,0.0003333513159304857,0.0004267535696271807,2.0589441191987135e-06,0.0,16,0.0009546789224259555,0.000446921621914953,0.0005058892420493066,1.8680475477594882e-06,0.0,13,0.0011464152485132217,0.0004617790109477937,0.0006817307439632714,2.9054851893306477e-06,0.0,23
