,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,0,0.3439609110355377,0.3427267074584961,0.001224200357683003,9.999999747378752e-06,0.0,60,0.37001273036003113,0.3688470423221588,0.0011556660756468773,9.999999747378752e-06,0.0,60,0.3745516836643219,0.37325629591941833,0.001285374746657908,9.999999747378752e-06,0.0,60,0.350138783454895,0.34811657667160034,0.002012196695432067,9.999999747378752e-06,0.0,60,0.32025250792503357,0.31932419538497925,0.0009182916255667806,9.999999747378752e-06,0.0,60,0.3372088372707367,0.33583587408065796,0.0013629451859742403,9.999999747378752e-06,0.0,60,0.34801778197288513,0.001326445781160146,9.999999747378752e-06,0.0,60.0
1,50,0.013804873451590538,0.012233758345246315,0.00156367477029562,7.440004083036911e-06,0.0,60,0.013981294818222523,0.012648772448301315,0.0013255552621558309,6.967223271203693e-06,0.0,60,0.013732432387769222,0.012337187305092812,0.0013875489821657538,7.696661668887828e-06,0.0,60,0.019494956359267235,0.01725677214562893,0.002230976242572069,7.208851002360461e-06,0.0,60,0.014109051786363125,0.012934044003486633,0.0011675907298922539,7.417492724925978e-06,0.0,60,0.01496419683098793,0.013705735094845295,0.0012508542276918888,7.606797680637101e-06,0.0,60,0.013519378223766882,0.0014877000357955694,7.389505071841995e-06,0.0,60.0
2,100,0.008657080121338367,0.007380301598459482,0.0012702069943770766,6.571775884367526e-06,0.0,60,0.008158622309565544,0.0070365918800234795,0.0011166282929480076,5.40200153409387e-06,0.0,60,0.009093114174902439,0.007975672371685505,0.001110611716285348,6.830132406321354e-06,0.0,60,0.013075568713247776,0.011121917515993118,0.001947492710314691,6.158662472444121e-06,0.0,60,0.008369470946490765,0.007454079110175371,0.0009089420200325549,6.449479315051576e-06,0.0,60,0.008853129111230373,0.007832342758774757,0.00101415254175663,6.634007604588987e-06,0.0,60,0.008133484205851952,0.0012280057126190513,6.341009869477905e-06,0.0,60.0
3,150,0.0071950447745621204,0.006003208924084902,0.0011861621169373393,5.6736275837465655e-06,0.0,58,0.0068539646454155445,0.005796218756586313,0.001053461804986,4.2839542402361985e-06,0.0,51,0.003849539440125227,0.002730072010308504,0.0011136058019474149,5.8617656577553134e-06,0.0,59,0.011286505497992039,0.009462323039770126,0.001818991033360362,5.190970114199445e-06,0.0,57,0.005072486121207476,0.004229324404150248,0.0008376534096896648,5.508143203769578e-06,0.0,59,0.004721010569483042,0.0037165144458413124,0.00099858024623245,5.915796464250889e-06,0.0,53,0.005322943596790234,0.0011680757355255385,5.405709543992998e-06,0.0,56.166666666666664
4,200,0.004392956383526325,0.0032442850060760975,0.0011440047528594732,4.66692245026934e-06,0.0,57,0.0028005267959088087,0.0018331859027966857,0.0009634895832277834,3.851241217489587e-06,0.0,45,0.00268393661826849,0.0016237979289144278,0.0010551485465839505,4.9900477279152256e-06,0.0,53,0.007514724973589182,0.005712760612368584,0.0017975058872252703,4.458810963114956e-06,0.0,50,0.0022686049342155457,0.0014837021008133888,0.0007801046594977379,4.798279860551702e-06,0.0,53,0.0027951709926128387,0.001855350797995925,0.0009341409313492477,5.679099558619782e-06,0.0,48,0.0026255137248275178,0.0011123990601239104,4.740733629660099e-06,0.0,51.0
5,250,0.002469224389642477,0.0013470174744725227,0.00111805135384202,4.155639089731267e-06,0.0,48,0.00185227335896343,0.0009698852081783116,0.0008782432414591312,4.1450216485827696e-06,0.0,33,0.0022147230338305235,0.001225735293701291,0.0009842474246397614,4.740261374536203e-06,0.0,39,0.004108098801225424,0.0025289831683039665,0.0015749473823234439,4.168236046098173e-06,0.0,42,0.0017915619537234306,0.0010361395543441176,0.0007510042632929981,4.418166554387426e-06,0.0,47,0.0021311561577022076,0.00134183035697788,0.0007836793083697557,5.646716999763157e-06,0.0,44,0.0014082651759963483,0.0010150288289878517,4.5456736188498326e-06,0.0,42.166666666666664
6,300,0.002150982618331909,0.0010787618812173605,0.00106822547968477,3.99530063077691e-06,0.0,44,0.0016035146545618773,0.0008265532087534666,0.0007719940622337162,4.967480890627485e-06,0.0,28,0.0019800784066319466,0.0010642462875694036,0.0009108539088629186,4.978162905899808e-06,0.0,31,0.003303607227280736,0.0020576755050569773,0.0012414075899869204,4.52422409580322e-06,0.0,32,0.0015900578582659364,0.0008628259529359639,0.0007228616741485894,4.370190254121553e-06,0.0,37,0.00180868711322546,0.0011196279665455222,0.000683120044413954,5.938990398135502e-06,0.0,40,0.001168281800346449,0.0008997437932218114,4.795724862560746e-06,0.0,35.33333333333333
7,350,0.0019669411703944206,0.0009396676905453205,0.0010232734493911266,4.0000613807933405e-06,0.0,35,0.0013809340307489038,0.0007367822690866888,0.0006388354813680053,5.316358510754071e-06,0.0,23,0.0016838861629366875,0.0008353168377652764,0.000842944486066699,5.624809091386851e-06,0.0,29,0.002819322282448411,0.0018181090708822012,0.0009958038572221994,5.409344339568634e-06,0.0,27,0.0014377491315826774,0.0007472212892025709,0.00068588339490816,4.644375167117687e-06,0.0,30,0.0015677190385758877,0.0009400844573974609,0.0006210816791281104,6.552892045874614e-06,0.0,33,0.0010028636024799198,0.0008013037246807168,5.257973422582532e-06,0.0,29.5
8,400,0.001821654150262475,0.0008683461928740144,0.0009488307987339795,4.477108177525224e-06,0.0,27,0.0011901486432179809,0.000609680253546685,0.0005749245756305754,5.543797669815831e-06,0.0,22,0.0014478146331384778,0.0006623677909374237,0.0007790945819579065,6.352213858917821e-06,0.0,24,0.0025100167840719223,0.0016182154649868608,0.0008859129738993943,5.888297891942784e-06,0.0,25,0.0013332265662029386,0.0006773712229914963,0.0006505230558104813,5.332302862370852e-06,0.0,26,0.0013840009924024343,0.0007970163132995367,0.000579788931645453,7.195795660663862e-06,0.0,28,0.0008721662064393361,0.0007365124862796316,5.798252686872729e-06,0.0,25.333333333333332
9,450,0.001657969900406897,0.0007665840676054358,0.0008864792762324214,4.906531557935523e-06,0.0,25,0.001055224216543138,0.0005085389711894095,0.0005409464938566089,5.738691015721997e-06,0.0,21,0.0012604986550286412,0.0005376095068641007,0.0007162439869716763,6.6450534177420195e-06,0.0,23,0.002210348378866911,0.001384300529025495,0.0008200114243663847,6.036384547769558e-06,0.0,24,0.0012062822934240103,0.0005998009000904858,0.0006008116761222482,5.669668098562397e-06,0.0,25,0.0012536743888631463,0.0007058761548250914,0.0005402778624556959,7.520348844991531e-06,0.0,26,0.0007504516882666696,0.0006841284533341725,6.08611291378717e-06,0.0,24.0
