,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1,0.17074370384216309,0.0011444445699453354,9.88237025012495e-06,0.0,60,0.15522490441799164,0.0014008083380758762,9.88237570709316e-06,0.0,60,0.16876161098480225,0.0014504797291010618,9.882358426693827e-06,0.0,60,0.18140575289726257,0.0014101173728704453,9.882362064672634e-06,0.0,60,0.16903399303555489,0.0013514625024981797,9.882366612146143e-06,0.0,60.0
1,51,0.009100306779146194,0.0010271542705595493,6.231472980289254e-06,0.0,60,0.015178676694631577,0.0017701280303299427,6.770746949769091e-06,0.0,60,0.011451995000243187,0.0014731864212080836,6.168465006339829e-06,0.0,60,0.012761149555444717,0.0012853884836658835,6.1500804804381914e-06,0.0,60,0.012123032007366419,0.0013889643014408648,6.3301913542090915e-06,0.0,60.0
2,101,0.005908082239329815,0.0008581025758758187,4.939357040711911e-06,0.0,53,0.007084848824888468,0.0013061545323580503,5.131601483299164e-06,0.0,55,0.007982555776834488,0.0011625364422798157,5.260280886432156e-06,0.0,56,0.008350776508450508,0.0010788810905069113,4.641638952307403e-06,0.0,51,0.00733156583737582,0.001101418660255149,4.993219590687659e-06,0.0,53.75
3,151,0.0019352780655026436,0.0007799220620654523,3.866950919473311e-06,0.0,36,0.0026772029232233763,0.0010873624123632908,4.437923507794039e-06,0.0,46,0.0036883684806525707,0.0010728674242272973,4.7357780204038136e-06,0.0,51,0.007097267080098391,0.0009789339965209365,3.8091141050244914e-06,0.0,36,0.0038495291373692453,0.0009797714737942442,4.212441638173914e-06,0.0,42.25
4,201,0.0011259509483352304,0.0007669659098610282,3.836193172901403e-06,0.0,31,0.0015080400044098496,0.001022440381348133,4.3729928620450664e-06,0.0,35,0.0018895637476816773,0.0009165905648842454,4.320384505263064e-06,0.0,39,0.00571004394441843,0.0009478837018832564,3.802929768426111e-06,0.0,29,0.002558399661211297,0.0009134701394941658,4.083125077158911e-06,0.0,33.5
5,251,0.0009328334708698094,0.0007088573183864355,4.286350304028019e-06,0.0,24,0.00116973917465657,0.0007955877226777375,5.071553459856659e-06,0.0,28,0.0014796449104323983,0.0008144392049871385,4.397426437208196e-06,0.0,34,0.0018436897080391645,0.0009415432577952743,4.2934111661452334e-06,0.0,24,0.0013564768159994856,0.0008151068759616464,4.512185341809527e-06,0.0,27.5
6,301,0.0008385229739360511,0.0006237425841391087,5.137737389304675e-06,0.0,22,0.0009884340688586235,0.0006432193331420422,5.703774604626233e-06,0.0,26,0.001247098669409752,0.0007588799926452339,4.743987574329367e-06,0.0,28,0.0013442870695143938,0.0009335478534922004,4.332271601015236e-06,0.0,20,0.001104585695429705,0.0007398474408546463,4.979442792318878e-06,0.0,24.0
7,351,0.0006835332605987787,0.0005676020518876612,5.417808552010683e-06,0.0,21,0.0008067121380008757,0.0005806041299365461,5.906079877604498e-06,0.0,25,0.0010077293263748288,0.0006961717153899372,5.359047463571187e-06,0.0,22,0.001087204203940928,0.0009165947558358312,4.5184938244346995e-06,0.0,18,0.0008962947322288528,0.0006902431632624939,5.300357429405267e-06,0.0,21.5
8,401,0.0005317073664627969,0.0005096718668937683,5.6301419135706965e-06,0.0,21,0.0006233330350369215,0.0005369324353523552,6.187729468365433e-06,0.0,23,0.0007656293455511332,0.0006753026391379535,5.7082697821897455e-06,0.0,22,0.0009078625589609146,0.0008929480100050569,4.796078883373411e-06,0.0,18,0.0007071330765029415,0.0006537137378472835,5.5805550118748215e-06,0.0,21.0
9,451,0.00042226570076309144,0.000466412486275658,5.804110514873173e-06,0.0,21,0.0004872717254329473,0.0004923888482153416,6.456392839027103e-06,0.0,23,0.0006145145162008703,0.0006553401472046971,6.03320540903951e-06,0.0,22,0.000752864230889827,0.000813913531601429,5.075370154372649e-06,0.0,16,0.000569229043321684,0.0006070137533242814,5.842269729328109e-06,0.0,20.5
10,501,0.00032252739765681326,0.00042860739631578326,5.963375315332087e-06,0.0,20,0.0003970115212723613,0.000489040685351938,6.670629318250576e-06,0.0,21,0.0005248450906947255,0.0006390238413587213,6.366051366057945e-06,0.0,22,0.0005957111134193838,0.0007051355787552893,5.295476967148716e-06,0.0,16,0.00046002378076082096,0.000565451875445433,6.073883241697331e-06,0.0,19.75
11,551,0.000273006473435089,0.0004026541137136519,6.099302026996156e-06,0.0,20,0.0003770659095607698,0.000431122345617041,6.887751169415424e-06,0.0,20,0.00046031177043914795,0.0006223323871381581,6.704162842652295e-06,0.0,22,0.0004681019636336714,0.000631077797152102,5.479435913002817e-06,0.0,16,0.00039462152926716954,0.0005217966609052382,6.292662988016673e-06,0.0,19.5
12,601,0.0002532464568503201,0.00037817671545781195,6.230061444512103e-06,0.0,20,0.0003143330104649067,0.00044614062062464654,7.109093075996498e-06,0.0,19,0.0004231548809912056,0.0006049731164239347,7.043294772302033e-06,0.0,22,0.0004106691631022841,0.0005802445230074227,5.642217274726136e-06,0.0,16,0.0003503508778521791,0.000502383743878454,6.506166641884192e-06,0.0,19.25
13,651,0.00024244413361884654,0.0003596984897740185,6.3248685364669655e-06,0.0,19,0.0003237127384636551,0.0004245800373610109,7.313056812563445e-06,0.0,19,0.00041122297989204526,0.0005840452504344285,7.373625976470066e-06,0.0,22,0.00036646018270403147,0.0005239105084910989,5.813145889987936e-06,0.0,14,0.0003359600086696446,0.0004730585715151392,6.706174303872103e-06,0.0,18.5
14,701,0.00022977995104156435,0.000345442647812888,6.430147095670691e-06,0.0,18,0.00026544512365944684,0.00041496133781038225,7.495141289837193e-06,0.0,18,0.00039912707870826125,0.0005660276510752738,7.701619324507192e-06,0.0,22,0.0003519589954521507,0.00048335979226976633,5.960167072771583e-06,0.0,14,0.0003115777872153558,0.0004524478572420776,6.8967686956966645e-06,0.0,18.0
15,751,0.000232503647566773,0.00032648994238115847,6.570607638423098e-06,0.0,18,0.00023865883122198284,0.00038305262569338083,7.676510904275347e-06,0.0,17,0.00038922508247196674,0.0005430899909697473,8.001996320672333e-06,0.0,22,0.00034165760735049844,0.0004641525156330317,6.0970055528741796e-06,0.0,14,0.00030051129215280525,0.0004291962686693296,7.086530104061239e-06,0.0,17.75
