,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8,total_9,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9,coeff_9
0,0,0.0365931913256645,0.0349986217916011,0.0015941786114126,3.897480951309263e-07,0.0,60,0.0,0.0321827307343483,0.0313292481005191,0.0008531431667506,3.3766716001082386e-07,0.0,60,0.0,0.0353012531995773,0.0339405350387096,0.0013602211838588,4.952227641297213e-07,0.0,60,0.0,0.0393784157931804,0.0377132408320903,0.0016647145384922,4.6298362121888214e-07,0.0,60,0.0,0.0504405349493026,0.0491550788283348,0.0012849908089265,4.666424331389863e-07,0.0,60,0.0,0.0350409857928752,0.0340745337307453,0.0009660425712354,4.108028690552601e-07,0.0,60,0.0,0.0400092862546443,0.038527637720108,0.0014812330482527,4.1822355001386313e-07,0.0,60,0.0,0.03407783806324,0.0328376814723014,0.0012396944221109,4.6216243276830937e-07,0.0,60,0.0,0.0411287583410739,0.0393061302602291,0.0018220876809209,5.385759891396447e-07,0.0,60,0.0,0.04039493948221207,0.039505746215581894,0.0008886829018592834,5.10671156916942e-07,0.0,60,0.0
1,50,0.0005292701534926,0.000327493151417,0.0001979174558073,3.859537173411809e-06,0.0,60,0.0,0.0004952338640578,0.0003143880749121,0.000177114692633,3.7311153846530942e-06,0.0,60,0.0,0.0009705839329399,0.0006753964116796,0.0002916733792517,3.5141745229338994e-06,0.0,60,0.0,0.0006844356539659,0.0003469650982879,0.0003325525904074,4.917971637041774e-06,0.0,60,0.0,0.0005964198498986,0.0002896149817388,0.0003029591753147,3.845725586870685e-06,0.0,60,0.0,0.000376243609935,0.0002011424658121,0.0001700650464044,5.036088168708375e-06,0.0,60,0.0,0.0006445458857342,0.0003966957738157,0.0002444222627673,3.427825504331849e-06,0.0,60,0.0,0.0006988403620198,0.0003950920072384,0.0003007431514561,3.0052017336856807e-06,0.0,60,0.0,0.0005835639894939,0.0003466889902483,0.0002325427922187,4.332218395575183e-06,0.0,60,0.0,0.00039242516504600644,0.00023529933241661638,0.0001530960580566898,4.029760475532385e-06,0.0,60,0.0
2,100,0.0002615672710817,0.0001540985831525,0.0001019382179947,5.5304412853729445e-06,0.0,53,0.0,0.0001728892530081,8.783832163317129e-05,7.994793850230053e-05,5.102996055939002e-06,0.0,54,0.0,0.0004334300465416,0.000227364085731,0.0002021210384555,3.944948275602656e-06,0.0,58,0.0,0.0004042291257064,0.0001616434456082,0.0002359732752665,6.612419383600354e-06,0.0,58,0.0,0.0002442615223117,0.0001086009433493,0.0001296727423323,5.987822987663094e-06,0.0,56,0.0,0.0001725780748529,7.396515866275877e-05,9.17588040465489e-05,6.85411259837565e-06,0.0,55,0.0,0.0002887377340812,0.0001515588955953,0.0001319273287663,5.251527454674942e-06,0.0,51,0.0,0.0003243299724999,0.0001477898767916,0.0001723605382721,4.179573807050474e-06,0.0,51,0.0,0.0002521413844078,0.0001344479387626,0.0001116176936193,6.075746114220237e-06,0.0,52,0.0,0.00016684693400748074,8.925973816076294e-05,7.19372765161097e-05,5.649927516060416e-06,0.0,51,0.0
3,150,0.0001486042601754,7.728982745902613e-05,6.487664359156042e-05,6.437781848944724e-06,0.0,53,0.0,9.261546074412764e-05,4.260294372215867e-05,4.440810153027997e-05,5.604418220173102e-06,0.0,51,0.0,0.0002125324681401,7.956351328175515e-05,0.0001277948613278,5.174096258997452e-06,0.0,52,0.0,0.0002568938361946,8.257233275799081e-05,0.0001666445605223,7.676936547795776e-06,0.0,55,0.0,0.0001337749126832,5.054758003097959e-05,7.586722495034337e-05,7.360117706411984e-06,0.0,52,0.0,0.0001013633445836,3.3590597013244405e-05,5.933065403951332e-05,8.442087164439727e-06,0.0,52,0.0,0.0001585520949447,7.705730240559205e-05,7.482524961233139e-05,6.669535650871694e-06,0.0,50,0.0,0.0002256453444715,9.433694503968582e-05,0.0001268135674763,4.494821041589603e-06,0.0,49,0.0,0.0001412050478393,6.149682303657755e-05,7.235759403556585e-05,7.350621672230773e-06,0.0,49,0.0,9.150723781203851e-05,3.781081613851711e-05,4.697964686783962e-05,6.716781172144692e-06,0.0,48,0.0
4,200,9.458529530093074e-05,4.402577178552747e-05,4.34160501754377e-05,7.143476977944374e-06,0.0,50,0.0,6.865723116789013e-05,2.9352666388149373e-05,3.346515950397588e-05,5.839406640006928e-06,0.0,50,0.0,0.0001520302030257,5.202062311582267e-05,9.420655987923964e-05,5.8030191212310456e-06,0.0,49,0.0,0.0001631410123081,4.42611963080708e-05,0.0001104244438465,8.455371244053822e-06,0.0,54,0.0,9.593724826117976e-05,2.9315486244740896e-05,5.8381199778523296e-05,8.240559509431478e-06,0.0,50,0.0,7.1038979513105e-05,1.9165396224707365e-05,4.2111219954676926e-05,9.762363333720714e-06,0.0,51,0.0,9.327501902589574e-05,3.8477079215226695e-05,4.704874663730152e-05,7.749190444883425e-06,0.0,49,0.0,0.0001689411874394,6.988284440012649e-05,9.42410042625852e-05,4.817339231522055e-06,0.0,49,0.0,0.0001014665176626,3.675475818454288e-05,5.617823626380414e-05,8.533518666808959e-06,0.0,47,0.0,6.818724068580195e-05,2.6002655431511812e-05,3.466355337877758e-05,7.52103551349137e-06,0.0,45,0.14285714285714285
5,250,7.076964539010078e-05,3.039098191948142e-05,3.275746712461114e-05,7.621196346008219e-06,0.0,47,0.0,5.979539128020406e-05,2.456374022585805e-05,2.9218956115073524e-05,6.01269584876718e-06,0.0,49,0.0,0.0001218262477777,3.939542148145847e-05,7.625986472703516e-05,6.1709561123279855e-06,0.0,48,0.0,0.0001159598396043,3.302506229374558e-05,7.391738472506404e-05,9.017395314003808e-06,0.0,46,0.0,7.828482193872333e-05,2.0467970898607742e-05,4.8930007324088365e-05,8.886837349564303e-06,0.0,47,0.0,5.785599569207989e-05,1.5042824088595808e-05,3.186187313986011e-05,1.0951299373118673e-05,0.0,49,0.0,6.651352305198088e-05,2.524449701013509e-05,3.27703237417154e-05,8.498703209625091e-06,0.0,48,0.0,0.0001297193957725,5.1195489504607394e-05,7.346295024035498e-05,5.060948751633987e-06,0.0,47,0.0,8.019451342988759e-05,2.6825437089428306e-05,4.384533531265333e-05,9.52374466578476e-06,0.0,44,0.0,4.955759141012095e-05,1.5378840544144623e-05,2.600233710836619e-05,8.176411938620731e-06,0.0,44,0.14285714285714285
6,300,5.885683640372008e-05,2.42012301896466e-05,2.6721083486336283e-05,7.934522727737203e-06,0.0,47,0.0,5.250415051705204e-05,2.0109042452531867e-05,2.62435496551916e-05,6.151555680844467e-06,0.0,49,0.0,9.839246922638269e-05,3.002472840307746e-05,6.195600872160867e-05,6.411732101696543e-06,0.0,47,0.0,8.42425724840723e-05,2.4723049136810005e-05,5.0068090786226094e-05,9.451435289520305e-06,0.0,45,0.0,6.874300015624613e-05,1.669635639700573e-05,4.266625182935968e-05,9.38039374887012e-06,0.0,47,0.1428571428571428,4.524023097474128e-05,9.28197187022306e-06,2.393201066297479e-05,1.2026250260532834e-05,0.0,47,0.0,5.262234117253684e-05,1.808039814932272e-05,2.5530507627991028e-05,9.01143630471779e-06,0.0,47,0.0,0.0001005280937533,3.673121318570338e-05,5.8583271311363205e-05,5.2136088015686255e-06,0.0,46,0.0,6.804171425756067e-05,2.140315882570576e-05,3.6329518479760736e-05,1.0309031495125964e-05,0.0,43,0.0,4.229494879837148e-05,1.2981717190996278e-05,2.053288153547328e-05,8.780350071901921e-06,0.0,41,0.14285714285714285
7,350,5.019703894504346e-05,1.9510111087583937e-05,2.251998921565246e-05,8.166937732312363e-06,0.0,46,0.0,4.512340819928795e-05,1.6598090951447375e-05,2.2243460989557207e-05,6.281858077272773e-06,0.0,48,0.0,7.894469308666885e-05,2.243015478597954e-05,4.985899067833088e-05,6.6555476223584265e-06,0.0,47,0.0,6.414867675630376e-05,1.834707290981896e-05,3.6032593925483525e-05,9.769012649485376e-06,0.0,45,0.0,6.239797949092463e-05,1.4052614460524636e-05,3.855837712762877e-05,9.786986083781812e-06,0.0,47,0.1428571428571428,3.7822232116013765e-05,6.635787485720357e-06,1.821756814024411e-05,1.2968875125807244e-05,0.0,45,0.0,4.675481250160374e-05,1.4204015315044671e-05,2.316660902579315e-05,9.384189070260618e-06,0.0,46,0.0,8.593341044615954e-05,2.946080894616898e-05,5.1116043323418126e-05,5.356559540814487e-06,0.0,46,0.0,5.939472612226382e-05,1.821878868213389e-05,3.029724575753789e-05,1.0878692592086736e-05,0.0,42,0.0,3.5783024941338226e-05,9.437031621928327e-06,1.7044545529643074e-05,9.301446880272124e-06,0.0,41,0.14285714285714285
8,400,4.476894173421897e-05,1.6864230929058976e-05,1.9560675355023704e-05,8.344034540641587e-06,0.0,46,0.0,3.9167978684417903e-05,1.3830959687766152e-05,1.8945642295875587e-05,6.391376700776164e-06,0.0,48,0.0,6.544077768921852e-05,1.6090651115518995e-05,4.246291791787371e-05,6.887210020067869e-06,0.0,47,0.0,5.3231444326229393e-05,1.5025421816972084e-05,2.820446934492793e-05,1.000155316432938e-05,0.0,44,0.0,5.907114245928824e-05,1.3640616089105606e-05,3.530153480824083e-05,1.0128993380931206e-05,0.0,47,0.1428571428571428,3.250264853704721e-05,4.923408141621621e-06,1.378525030304445e-05,1.3793988728139084e-05,0.0,44,0.0,4.196763256913982e-05,1.2102378605050037e-05,2.020636929955799e-05,9.658884664531795e-06,0.0,46,0.0,7.450911652995273e-05,2.4266468244604766e-05,4.4750748202204704e-05,5.49189780940651e-06,0.0,46,0.0,5.161280569154769e-05,1.4778287550143432e-05,2.546690120652784e-05,1.1367619663360529e-05,0.0,41,0.0,3.232051676604897e-05,7.988320248841774e-06,1.4541306882165372e-05,9.790890544536524e-06,0.0,40,0.14285714285714285
9,450,4.155383794568479e-05,1.566576975164935e-05,1.73805165104568e-05,8.507553502568044e-06,0.0,44,0.0,3.689436925924383e-05,1.384847109875409e-05,1.652384344197344e-05,6.522055173263652e-06,0.0,47,0.0,5.955526285106316e-05,1.5145119505177718e-05,3.732539698830806e-05,7.084743629093282e-06,0.0,46,0.0,4.5776621846016496e-05,1.1959778021264356e-05,2.36083706113277e-05,1.0208475032413844e-05,0.0,42,0.0,5.926060111960396e-05,1.600410723767709e-05,3.286225546617061e-05,1.0394235687272158e-05,0.0,45,0.1428571428571428,3.0263076041592285e-05,5.092788796901004e-06,1.0639430001901928e-05,1.4530857697536703e-05,0.0,42,0.0,3.682745591504499e-05,1.0069782547361685e-05,1.6873309505172074e-05,9.884364772005938e-06,0.0,44,0.0,7.296488911379129e-05,2.1024718080298044e-05,4.643371721613221e-05,5.506451998371631e-06,0.0,43,0.0,4.601863838615827e-05,1.277893807127839e-05,2.148784369637724e-05,1.1751856618502645e-05,0.0,39,0.0,3.149616895825602e-05,8.467228326480836e-06,1.2803657227777876e-05,1.022528340399731e-05,0.0,38,0.14285714285714285
