,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0,0.038022249937057495,0.036588944494724274,0.0014327943790704012,5.11901191657671e-07,0.0,60,0.0
1,50,0.001342365867458284,0.0008811731240712106,0.000458635448012501,2.5572869617462857e-06,0.0,60,0.0
2,100,0.0007511588628403842,0.0004730935615953058,0.0002755725581664592,2.492746261850698e-06,0.0,53,0.0
3,150,0.0003899406874552369,0.00020358143956400454,0.0001828782696975395,3.480982741166372e-06,0.0,48,0.0
4,200,0.00025667273439466953,0.00012231676373630762,0.00012986645742785186,4.48948458142695e-06,0.0,40,0.0
5,250,0.0001804132480174303,8.312892896356061e-05,9.237493941327557e-05,4.9093846428149845e-06,0.0,37,0.0
6,300,0.00014720825129188597,6.55153053230606e-05,7.668312173336744e-05,5.0098105930374e-06,0.0,35,0.14285714285714285
7,350,0.000127962717670016,5.558043631026521e-05,6.728489097440615e-05,5.097394932818133e-06,0.0,35,0.2857142857142857
8,400,0.00011599560093600303,4.958462159265764e-05,6.126852531451732e-05,5.142460850038333e-06,0.0,34,0.2857142857142857
9,450,0.00010756917617982253,4.504594471654855e-05,5.729448821512051e-05,5.228745976637583e-06,0.0,34,0.2857142857142857
10,500,0.00010073737212223932,4.100893420400098e-05,5.4400759836426005e-05,5.32767944605439e-06,0.0,34,0.2857142857142857
11,550,9.529467206448317e-05,3.7835216062376276e-05,5.2047238568775356e-05,5.4122242545417976e-06,0.0,34,0.2857142857142857
12,600,9.020098514156416e-05,3.4783457522280514e-05,4.993760376237333e-05,5.479925675899722e-06,0.0,34,0.2857142857142857
13,650,8.613992395112291e-05,3.2837368053151295e-05,4.77616376883816e-05,5.5409154811059125e-06,0.0,34,0.2857142857142857
14,700,8.120918209897354e-05,3.024482612090651e-05,4.5368717110250145e-05,5.595643415290397e-06,0.0,34,0.2857142857142857
15,750,7.59636823204346e-05,2.7659245461109094e-05,4.266181349521503e-05,5.642621545121074e-06,0.0,34,0.2857142857142857
16,800,7.207118324004114e-05,2.6147929020226002e-05,4.023963265353814e-05,5.683620202034945e-06,0.0,34,0.2857142857142857
17,850,6.761202530469745e-05,2.4202247004723176e-05,3.768914029933512e-05,5.720636636397103e-06,0.0,34,0.2857142857142857
18,900,6.419912097044289e-05,2.322966065548826e-05,3.521540202200413e-05,5.7540623856766615e-06,0.0,34,0.2857142857142857
19,950,6.193428998813033e-05,2.2724581867805682e-05,3.3424577850382775e-05,5.78512845095247e-06,0.0,33,0.2857142857142857
20,1000,6.0597758420044556e-05,2.2744980014977045e-05,3.203993401257321e-05,5.812846666231053e-06,0.0,33,0.2857142857142857
21,1050,6.094863420003094e-05,2.1595757061732e-05,3.349213147885166e-05,5.86074293096317e-06,0.0,32,0.2857142857142857
22,1100,5.683142808265984e-05,1.949874422280118e-05,3.1450483220396563e-05,5.882199729967397e-06,0.0,32,0.2857142857142857
23,1150,5.466660513775423e-05,1.867253922682721e-05,3.0094519388512708e-05,5.89954561291961e-06,0.0,32,0.2857142857142857
24,1200,5.2924158808309585e-05,1.7555914382683113e-05,2.9457005439326167e-05,5.911239441047655e-06,0.0,32,0.2857142857142857
25,1250,5.065414370619692e-05,1.5901625374681316e-05,2.8837357604061253e-05,5.915159363212297e-06,0.0,32,0.2857142857142857
26,1300,4.9186492105945945e-05,1.581203832756728e-05,2.7463531296234578e-05,5.910923391638789e-06,0.0,32,0.2857142857142857
27,1350,4.669587724492885e-05,1.4390837350219954e-05,2.6400866772746667e-05,5.904173121962231e-06,0.0,32,0.2857142857142857
28,1400,4.553625694825314e-05,1.401200279360637e-05,2.562668851169292e-05,5.897567916690605e-06,0.0,31,0.2857142857142857
29,1450,4.369423186290078e-05,1.3335741641640197e-05,2.4474038582411595e-05,5.884451184101636e-06,0.0,31,0.2857142857142857
30,1500,4.2233335989294574e-05,1.2672556295001414e-05,2.368545756326057e-05,5.875321676285239e-06,0.0,30,0.2857142857142857
31,1550,4.151005850872025e-05,1.2808367500838358e-05,2.2845340936328284e-05,5.856349162058905e-06,0.0,30,0.2857142857142857
32,1600,4.063099913764745e-05,1.281436561839655e-05,2.19831144931959e-05,5.833522664033808e-06,0.0,30,0.2857142857142857
33,1650,4.36701338912826e-05,1.672236066951882e-05,2.1135607312317006e-05,5.812166818941478e-06,0.0,30,0.2857142857142857
34,1700,3.7781403079861775e-05,1.1716193512256723e-05,2.0270510503905825e-05,5.794699518446578e-06,0.0,30,0.2857142857142857
35,1750,3.6910561902914196e-05,1.1429210644564591e-05,1.970502307813149e-05,5.776329544460168e-06,0.0,30,0.2857142857142857
36,1800,3.621111682150513e-05,1.1431285201979335e-05,1.9019200408365577e-05,5.760628482676111e-06,0.0,30,0.2857142857142857
37,1850,3.515236676321365e-05,1.1268839443800971e-05,1.814042843761854e-05,5.743097517552087e-06,0.0,30,0.2857142857142857
38,1900,3.381106216693297e-05,1.0652439414116088e-05,1.743442589940969e-05,5.7241950344177894e-06,0.0,30,0.2857142857142857
39,1950,3.299140735180117e-05,1.0595639651000965e-05,1.6694246369297616e-05,5.701519512513187e-06,0.0,29,0.2857142857142857
40,2000,3.235134863643907e-05,1.063405943568796e-05,1.6048472389229573e-05,5.66881817576359e-06,0.0,29,0.2857142857142857
