,epoch,decoder_0,sindy_x_0,reg_0,corr_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,corr_1,sindy_z_1,active_coeffs_1,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1,0.43429839611053467,0.0026073078624904156,1.9965744286309928e-05,-1.4374514911708047e-08,0.0,60,0.3887996971607208,0.0022444454953074455,1.9967432308476418e-05,-1.498902335583807e-08,0.0,60,0.41154904663562775,0.0024258766788989305,1.9966588297393173e-05,0.0,60.0
1,51,0.07196538150310516,0.00264118704944849,1.8955577615997754e-05,-3.32236851363632e-07,0.0,60,0.06139087677001953,0.0023096315562725067,1.9319622879265808e-05,-3.816359424035909e-07,0.0,60,0.06667812913656235,0.0024754093028604984,1.913760024763178e-05,0.0,60.0
2,101,0.03193875774741173,0.0035451992880553007,1.8082961105392314e-05,-7.341635637203581e-07,0.0,60,0.021536890417337418,0.0026538236998021603,1.8326960343983956e-05,-5.997124503664963e-07,0.0,60,0.026737824082374573,0.0030995114939287305,1.8204960724688135e-05,0.0,60.0
3,151,0.018014734610915184,0.002406427636742592,1.7409935026080348e-05,-1.2501380979301757e-06,0.0,60,0.01567712426185608,0.0020432756282389164,1.756147867126856e-05,-9.629932264942909e-07,0.0,60,0.01684592943638563,0.002224851632490754,1.7485706848674454e-05,0.0,60.0
4,201,0.01379910297691822,0.002100049052387476,1.7037806173902936e-05,-1.840124582486169e-06,0.0,60,0.013081353157758713,0.0018039685674011707,1.7064454368664883e-05,-1.4479751371254679e-06,0.0,60,0.013440228067338467,0.0019520088098943233,1.705113027128391e-05,0.0,60.0
5,251,0.005974386818706989,0.0018135958816856146,1.6594247426837683e-05,-2.30219461627712e-06,0.0,58,0.011159507557749748,0.0016054876614362001,1.6759138816269115e-05,-1.885929805212072e-06,0.0,60,0.008566947188228369,0.0017095417715609074,1.66766931215534e-05,0.0,59.0
6,301,0.0038455065805464983,0.0016789024230092764,1.606960540811997e-05,-2.8380513867887203e-06,0.0,54,0.005651957355439663,0.0013465157244354486,1.6295063687721267e-05,-2.3322982087847777e-06,0.0,59,0.004748731967993081,0.0015127090737223625,1.6182334547920618e-05,0.0,56.5
7,351,0.0028960013296455145,0.001603824319317937,1.581226388225332e-05,-3.2476252727065003e-06,0.0,53,0.003413048107177019,0.0012480508303269744,1.5835057638469152e-05,-2.8600131827261066e-06,0.0,54,0.003154524718411267,0.0014259375748224556,1.5823660760361236e-05,0.0,53.5
8,401,0.0024113429244607687,0.0014999741688370705,1.562141733302269e-05,-3.572734158296953e-06,0.0,53,0.0025700849946588278,0.001172112999483943,1.5671912478865124e-05,-3.23021686199354e-06,0.0,53,0.0024907139595597982,0.0013360435841605067,1.5646664905943908e-05,0.0,53.0
9,451,0.0020655598491430283,0.0013732686638832092,1.5464254829566926e-05,-3.8030254927434726e-06,0.0,48,0.0021319726947695017,0.00109599600546062,1.5621822967659682e-05,-3.469624743956956e-06,0.0,50,0.002098766271956265,0.0012346323346719146,1.5543038898613304e-05,0.0,49.0
