,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4
0,0.0,0.38051480054855347,0.0010709258494898677,2.653915544215124e-06,0.0,60,53.0,0.36895671486854553,0.0020142043940722942,2.4638363811391173e-06,0.0,60,53.0,0.4250229001045227,0.0014267441583797336,2.5397735043952707e-06,0.0,60,53.0,0.3767036497592926,0.001114964485168457,2.569141315689194e-06,0.0,60,53.0,0.35017967224121094,0.0012236228212714195,2.541377170928172e-06,0.0,60,53.0
1,50.0,0.08205650001764297,0.0010709954658523202,1.8280678659721161e-06,0.0,36,29.0,0.07459627836942673,0.0020207897759974003,1.6734203427404282e-06,0.0,39,34.0,0.0887981578707695,0.0014271056279540062,1.7192476207128493e-06,0.0,39,38.0,0.08977774530649185,0.0011147091863676906,1.7082625163311604e-06,0.0,39,32.0,0.06166241317987442,0.0012271178420633078,1.870426899586164e-06,0.0,39,34.0
2,100.0,0.03586480766534805,0.0010702720610424876,1.312233166572696e-06,0.0,30,25.0,0.04365602508187294,0.0020126390736550093,1.3678627510671504e-06,0.0,33,28.0,0.04285554215312004,0.0014272986445575953,1.1401803021726664e-06,0.0,29,30.0,0.042228519916534424,0.0011146306060254574,1.1891694384758011e-06,0.0,27,24.0,0.03359594941139221,0.0012234849855303764,1.5122512877496774e-06,0.0,34,29.0
3,150.0,0.031058764085173607,0.0010698073310777545,1.1290703696431592e-06,0.0,25,20.0,0.03887109085917473,0.0019978212658315897,1.3370604392548557e-06,0.0,25,26.0,0.03599322959780693,0.0014237307477742434,7.643059234396787e-07,0.0,17,20.0,0.03684193640947342,0.0011138119734823704,1.035755303746555e-06,0.0,24,23.0,0.029696349054574966,0.0012112946715205908,1.312095150751702e-06,0.0,28,23.0
4,200.0,0.029136912897229195,0.001063430099748075,1.0507785646041157e-06,0.0,17,16.0,0.025013664737343788,0.0019319715211167932,1.4257266229833476e-06,0.0,21,22.0,0.03432149440050125,0.0014165480388328433,7.008198394942156e-07,0.0,13,16.0,0.034824617207050323,0.0011042895494028926,1.0844977396118338e-06,0.0,22,21.0,0.017392998561263084,0.0011532386997714639,1.3312061355463811e-06,0.0,16,15.0
5,250.0,0.01931450329720974,0.0010193237103521824,1.0317314718122361e-06,0.0,12,17.0,0.018337836489081383,0.0018406470771878958,1.5463558611372719e-06,0.0,19,20.0,0.026013914495706558,0.001398072810843587,7.760510243315366e-07,0.0,9,12.0,0.024634890258312225,0.0010346914641559124,1.240181632056192e-06,0.0,17,16.0,0.011304078623652458,0.001122229383327067,1.5565843796139234e-06,0.0,15,14.0
6,300.0,0.011766278184950352,0.0009978330926969647,1.2319638926783227e-06,0.0,12,17.0,0.015509539283812046,0.0017634080722928047,1.6582467878833995e-06,0.0,17,18.0,0.014949631877243519,0.0013665830483660102,6.29232829396642e-07,0.0,8,13.0,0.01478202361613512,0.0009893164969980717,1.3789278909825953e-06,0.0,14,15.0,0.009562813676893711,0.0011067792074754834,1.7135187135863816e-06,0.0,14,13.0
7,350.0,0.009159894660115242,0.0009878743439912796,1.3880985534342472e-06,0.0,11,16.0,0.013951337896287441,0.0016963393427431583,1.7186225704790559e-06,0.0,13,14.0,0.012104680761694908,0.0013369465013965964,6.679211992377532e-07,0.0,6,11.0,0.011616124771535397,0.0009661919320933521,1.4741565337317297e-06,0.0,12,13.0,0.008714917115867138,0.0010894201695919037,1.7797236750993761e-06,0.0,11,10.0
8,400.0,0.00816185399889946,0.0009818447288125753,1.5264739658960025e-06,0.0,10,15.0,0.012904174625873566,0.0016292411601170897,1.819705516936665e-06,0.0,12,15.0,0.010650577954947948,0.0013093954185023904,7.533095640610554e-07,0.0,6,11.0,0.010168488137423992,0.000949390756431967,1.580863226990914e-06,0.0,12,13.0,0.008150127716362476,0.0010711208451539278,1.8401965462544467e-06,0.0,11,10.0
9,450.0,0.00756516307592392,0.000974480586592108,1.653329718465102e-06,0.0,10,15.0,0.012136612087488174,0.0015648771077394485,1.9296055597806117e-06,0.0,12,15.0,0.009208082221448421,0.001269812579266727,8.330855507665547e-07,0.0,6,11.0,0.009241128340363503,0.0009369718027301133,1.6832437950142776e-06,0.0,11,12.0,0.0077214231714606285,0.0010496332542970777,1.879683281913458e-06,0.0,11,10.0
