,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,0,0.34395265579223633,0.34238559007644653,0.0015570571413263679,9.999999747378752e-06,0.0,60,0.39819759130477905,0.3970869481563568,0.0011006153654307127,9.999999747378752e-06,0.0,60,0.3364253640174866,0.3349471688270569,0.0014681708998978138,9.999999747378752e-06,0.0,60,0.3368709683418274,0.3358611464500427,0.000999813317321241,9.999999747378752e-06,0.0,60,0.35257021337747574,0.0012814141809940338,9.999999747378752e-06,0.0,60.0
1,50,0.014350435696542263,0.012829202227294445,0.0015138848684728146,7.349242423515534e-06,0.0,60,0.013313653878867626,0.012272819876670837,0.0010343139292672276,6.520029728562804e-06,0.0,60,0.01510088611394167,0.01376083679497242,0.001333301654085517,6.7472565206117e-06,0.0,60,0.009899367578327656,0.008662279695272446,0.0012287627905607224,8.324989721586462e-06,0.0,60,0.011881284648552537,0.0012775658105965704,7.235379598569125e-06,0.0,60.0
2,100,0.009900135919451714,0.008476603776216507,0.0014167365152388811,6.7955093072669115e-06,0.0,60,0.008011683821678162,0.007061241194605827,0.0009449832723475993,5.459485691972077e-06,0.0,60,0.005585457198321819,0.0044846259988844395,0.0010945092653855681,6.3216161834134255e-06,0.0,60,0.006858035456389189,0.005938434973359108,0.0009121801122091711,7.420323981932597e-06,0.0,60,0.00649022648576647,0.001092102291295305,6.499233791146253e-06,0.0,60.0
3,150,0.00852283276617527,0.007155328057706356,0.0013612209586426616,6.283374204940628e-06,0.0,57,0.004671650473028421,0.0038764895871281624,0.0007902335491962731,4.927102054352872e-06,0.0,49,0.002678805263713002,0.0017555286176502705,0.0009175003506243229,5.776204488938674e-06,0.0,53,0.002829823177307844,0.001986290328204632,0.0008369206334464252,6.612237029912649e-06,0.0,60,0.003693409147672355,0.0009764688729774207,5.899729444536206e-06,0.0,54.75
4,200,0.00338548282161355,0.002208362566307187,0.001171389129012823,5.731132660002913e-06,0.0,52,0.0023666799534112215,0.0016122354427352548,0.0007499243947677314,4.520272796071367e-06,0.0,41,0.0019310874631628394,0.0011498195817694068,0.000775861379224807,5.4064130381448194e-06,0.0,43,0.0016300808638334274,0.0008997693657875061,0.0007242969586513937,6.0144880080770236e-06,0.0,57,0.0014675467391498387,0.0008553679654141888,5.418076625574031e-06,0.0,48.25
5,250,0.002348267240449786,0.0014443565160036087,0.000898638041689992,5.2727691581822e-06,0.0,45,0.001828331034630537,0.0011797514744102955,0.0006443869206123054,4.192599135421915e-06,0.0,34,0.0015925768529996276,0.0009241712396033108,0.0006632742588408291,5.13133272761479e-06,0.0,38,0.0013589736772701144,0.0007056879112496972,0.0006477356655523181,5.55015321879182e-06,0.0,51,0.001063491785316728,0.0007135087216738611,5.036713560002681e-06,0.0,42.0
6,300,0.0019309183117002249,0.0012266725534573197,0.0006992610869929194,4.9847049012896605e-06,0.0,38,0.0015641505597159266,0.0010043454822152853,0.0005557882832363248,4.016835191578139e-06,0.0,31,0.0013839552411809564,0.0008074961369857192,0.000571558834053576,4.9002287596522365e-06,0.0,36,0.0011813209857791662,0.0006052209646441042,0.0005709691322408617,5.130913905304624e-06,0.0,44,0.0009109337843256071,0.0005993943341309205,4.758170689456165e-06,0.0,37.25
7,350,0.001612200983799994,0.001027693971991539,0.0005798500496894121,4.656964392779628e-06,0.0,34,0.0013875504955649376,0.0008973600342869759,0.00048633935512043536,3.8511875573021825e-06,0.0,30,0.00119985721539706,0.00066078343661502,0.0005344385281205177,4.6352565732377116e-06,0.0,35,0.0010036674793809652,0.0004959175712428987,0.0005030087195336819,4.741166321764467e-06,0.0,39,0.0007704387535341084,0.0005259091631160118,4.471143711270997e-06,0.0,34.5
8,400,0.0013896425953134894,0.0008747392566874623,0.0005105254822410643,4.377789082354866e-06,0.0,31,0.0012104901252314448,0.0007806827197782695,0.0004260290879756212,3.7783061088703107e-06,0.0,27,0.001006205682642758,0.0005047726444900036,0.0004970257868990302,4.407283995533362e-06,0.0,32,0.0008609345532022417,0.0004031493444927037,0.00045336189214140177,4.423342033987865e-06,0.0,33,0.0006408359913621098,0.0004717355623142794,4.246680305186601e-06,0.0,30.75
9,450,0.001162070780992508,0.0006901298183947802,0.0004677035612985492,4.237378561811056e-06,0.0,28,0.0010448331013321877,0.0006675251061096787,0.00037353005609475076,3.7779243484692415e-06,0.0,25,0.0008524325676262379,0.0003828969784080982,0.0004653070354834199,4.22854191128863e-06,0.0,28,0.0007419704925268888,0.00031642577960155904,0.0004213649081066251,4.179769803158706e-06,0.0,28,0.000514244420628529,0.00043197639024583623,4.1059036561819084e-06,0.0,27.25
10,500,0.000991764129139483,0.0005465596332214773,0.0004410573747009039,4.147025265410775e-06,0.0,24,0.000921266560908407,0.0005591053050011396,0.0003584281075745821,3.7331583371269517e-06,0.0,22,0.0007460290798917413,0.0003159053158015013,0.00042601919267326593,4.104559138795594e-06,0.0,26,0.0007362550823017955,0.0003346290031913668,0.00039765232941135764,3.973738785134628e-06,0.0,26,0.00043904981430387124,0.0004057892510900274,3.989620381616987e-06,0.0,24.5
11,550,0.0008848142460919917,0.00045717161265201867,0.0004235914093442261,4.051205905852839e-06,0.0,23,0.000813191058114171,0.000462180410977453,0.0003473361721262336,3.6744670524058165e-06,0.0,21,0.0006601635250262916,0.0002706345112528652,0.0003855074755847454,4.021532276965445e-06,0.0,25,0.0006183641962707043,0.0002422191755613312,0.0003723051631823182,3.839817964035319e-06,0.0,24,0.000358051427610917,0.00038218505505938083,3.896755799814855e-06,0.0,23.25
