,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4
0,0,0.035891883075237274,0.03446309641003609,0.0014283047057688236,4.809629672308802e-07,0.0,60,0.03489263355731964,0.03329665958881378,0.001595530309714377,4.415373666688538e-07,0.0,60,0.036278318613767624,0.035075318068265915,0.0012024916941300035,5.101062470203033e-07,0.0,60,0.034750815480947495,0.03316408768296242,0.0015862504951655865,4.7613602305318636e-07,0.0,60,0.03248099982738495,0.031374599784612656,0.0011059134267270565,4.897747203358449e-07,0.0,60
1,50,0.0019128968706354499,0.0008770439890213311,0.0010345493210479617,1.3034608628004207e-06,0.0,60,0.0020667961798608303,0.0009542719344608486,0.0011111453641206026,1.3787592934022541e-06,0.0,60,0.0016311360523104668,0.0006321227992884815,0.00099769642110914,1.3168823898013216e-06,0.0,60,0.0015191765269264579,0.0007598964730277658,0.0007577954092994332,1.4846674503132817e-06,0.0,60,0.001439225161448121,0.000695144641213119,0.0007426501833833754,1.4303261650638888e-06,0.0,60
2,100,0.0008474800270050764,0.0002884078130591661,0.0005566407926380634,2.431433131278027e-06,0.0,60,0.0007300318102352321,0.00021340475359465927,0.0005144755123183131,2.1515156731766183e-06,0.0,60,0.0004043683875352144,0.00019242770213168114,0.0002097246760968119,2.216016810052679e-06,0.0,60,0.0006366604357026517,0.00019025724031962454,0.00044429051922634244,2.1126356841705274e-06,0.0,60,0.0006800815463066101,0.000376286159735173,0.00030183506896719337,1.960334884643089e-06,0.0,60
3,150,0.0004113952163606882,0.00016491829592268914,0.00024373881751671433,2.738082912401296e-06,0.0,53,0.0006022157613188028,0.00016245681035798043,0.0004372559778857976,2.5029869448189856e-06,0.0,48,0.00029065649141557515,0.00013706914614886045,0.00015101494500413537,2.572402308942401e-06,0.0,48,0.00042750887223519385,0.00016393486293964088,0.0002610575465951115,2.5164574708469445e-06,0.0,50,0.0004222801944706589,0.00016538721683900803,0.00025471235858276486,2.180609726565308e-06,0.0,43
4,200,0.00028260418912395835,9.988941019400954e-05,0.00017976459639612585,2.9501916287699714e-06,0.0,53,0.0005067188758403063,0.00014245683269109577,0.0003614580200519413,2.804014911816921e-06,0.0,48,0.00021320549421943724,9.848476474871859e-05,0.00011188003554707393,2.8406939236447215e-06,0.0,48,0.00030300617800094187,0.00012664437235798687,0.00017355402815155685,2.8077849947294453e-06,0.0,50,0.0003279258089605719,0.0001173791170003824,0.0002082273713313043,2.319304940101574e-06,0.0,43
5,250,0.00020128197502344847,6.187760300235823e-05,0.0001362756302114576,3.128755679426831e-06,0.0,48,0.0004265667812433094,0.00011974899098277092,0.00030382347176782787,2.994307124026818e-06,0.0,42,0.0001663553121034056,7.203406858025119e-05,9.133692947216332e-05,2.9843126867490355e-06,0.0,41,0.00022438807354774326,8.532561332685873e-05,0.00013594246411230415,3.1200058856484247e-06,0.0,45,0.00027412932831794024,9.01032835827209e-05,0.00018156386795453727,2.4621924694656627e-06,0.0,35
6,300,0.00015948944201227278,4.258158151060343e-05,0.00011367031402187422,3.2375564842368476e-06,0.0,48,0.00037181255174800754,0.00010783367179101333,0.00026089546736329794,3.0834085009701084e-06,0.0,42,0.00013685131852980703,5.439346932689659e-05,7.936689507914707e-05,3.0909573069948237e-06,0.0,41,0.0001659914560150355,5.695126674254425e-05,0.00010562970419414341,3.410482577237417e-06,0.0,45,0.00022779210121370852,7.203470158856362e-05,0.00015314295887947083,2.6144477942580124e-06,0.0,35
7,350,0.00013411184772849083,3.1156105251284316e-05,9.959158342098817e-05,3.3641599657130428e-06,0.0,40,0.0003773689386434853,9.373993088956922e-05,0.00028041418408975005,3.2148032005352434e-06,0.0,39,0.00010489163105376065,3.744482819456607e-05,6.422440492315218e-05,3.2223995276581263e-06,0.0,37,0.00012489290384110063,3.889583967975341e-05,8.235016139224172e-05,3.6468943562795175e-06,0.0,43,0.00019820888701360673,6.552671402459964e-05,0.00012994093412999064,2.741247953963466e-06,0.0,32
8,400,0.00011738259490812197,2.5637407816248015e-05,8.828134014038369e-05,3.4638403576536803e-06,0.0,40,0.00026724141207523644,7.487559196306393e-05,0.00018903272575698793,3.3330868518532952e-06,0.0,39,9.254019823856652e-05,2.7748383217840455e-05,6.151707930257544e-05,3.2747327622928424e-06,0.0,37,0.00010095036122947931,2.9972137781442143e-05,6.717156065860763e-05,3.8066616525611607e-06,0.0,43,0.0001638857356738299,5.144892566022463e-05,0.00010963152453768998,2.805295707730693e-06,0.0,32
9,450,0.00010494108573766425,2.2854923372506164e-05,7.856799493310973e-05,3.5181685689167352e-06,0.0,38,0.00020872933964710683,6.281307287281379e-05,0.00014246473438106477,3.4515180686867097e-06,0.0,35,6.949871749384329e-05,1.9957400581915863e-05,4.624900975613855e-05,3.2923064736678498e-06,0.0,35,8.857092325342819e-05,2.428849802527111e-05,6.03981243330054e-05,3.884302259393735e-06,0.0,38,0.00013265084999147803,4.1765186324482784e-05,8.807669655652717e-05,2.8089773422834696e-06,0.0,32
