,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3
0,0,0.3590443432331085,0.35794535279273987,0.001088962540961802,9.999999747378752e-06,0.0,60,0.35993751883506775,0.3586428761482239,0.001284622005186975,9.999999747378752e-06,0.0,60,0.4046754240989685,0.40350884199142456,0.0011565624736249447,9.999999747378752e-06,0.0,60,0.4140722155570984,0.41277456283569336,0.0012876444961875677,9.999999747378752e-06,0.0,60
1,50,0.01269257441163063,0.011673511937260628,0.001012535416521132,6.526718607346993e-06,0.0,60,0.013129254803061485,0.011923047713935375,0.0011977743124589324,8.433559742115904e-06,0.0,60,0.011443846859037876,0.010260161012411118,0.0011752861319109797,8.399203579756431e-06,0.0,60,0.01457630842924118,0.013295380398631096,0.0012741417158395052,6.786276571801864e-06,0.0,60
2,100,0.007842146791517735,0.007007202133536339,0.0008291444391943514,5.800454346172046e-06,0.0,60,0.004555623047053814,0.0035608122125267982,0.000987072940915823,7.737960004305933e-06,0.0,60,0.007537195459008217,0.0064927032217383385,0.0010365433990955353,7.948742677399423e-06,0.0,60,0.00830001849681139,0.007354159373790026,0.0009397928952239454,6.06639559919131e-06,0.0,60
3,150,0.006352381315082312,0.005785906687378883,0.0005611757514998317,5.298714313539676e-06,0.0,55,0.0023337528109550476,0.0014951381599530578,0.0008317060419358313,6.908455816301284e-06,0.0,60,0.00490462826564908,0.00399433821439743,0.0009028536733239889,7.435962288582232e-06,0.0,58,0.006533877924084663,0.005752252414822578,0.0007760623120702803,5.563458671531407e-06,0.0,53
4,200,0.002908499212935567,0.002334300894290209,0.0005693860584869981,4.812347015104024e-06,0.0,48,0.0017238428117707372,0.0009699168731458485,0.000747628859244287,6.297041636571521e-06,0.0,53,0.001963619375601411,0.0011126736644655466,0.0008441981044597924,6.747663519490743e-06,0.0,55,0.0024557614233344793,0.001684056012891233,0.0007666460587643087,5.059307568444638e-06,0.0,48
5,250,0.0018067521741613746,0.0012409730115905404,0.0005613674293272197,4.411789632285945e-06,0.0,39,0.0013986033154651523,0.0007128064171411097,0.0006798741524107754,5.922697710047942e-06,0.0,48,0.0014740077313035727,0.0007863150676712394,0.0006814581574872136,6.234455668163719e-06,0.0,53,0.0017808453412726521,0.0010475327726453543,0.0007289458299055696,4.366796019894537e-06,0.0,45
6,300,0.001469669514335692,0.0009378383401781321,0.0005276653682813048,4.16585453422158e-06,0.0,33,0.0011224303161725402,0.0004972658352926373,0.0006195104797370732,5.65392065254855e-06,0.0,39,0.0011939943069592118,0.0006295366329140961,0.0005586063489317894,5.8513433032203466e-06,0.0,45,0.0015088892541825771,0.0008621186716482043,0.0006428046035580337,3.966022632084787e-06,0.0,36
7,350,0.001286712707951665,0.0007797656580805779,0.0005029687308706343,3.978321728936862e-06,0.0,28,0.0009582187049090862,0.00038249490899033844,0.0005701996269635856,5.524126663658535e-06,0.0,35,0.000998492818325758,0.0005085768643766642,0.0004843534843530506,5.562394562730333e-06,0.0,39,0.0013515385799109936,0.0007423421484418213,0.0006055229459889233,3.6734866171173053e-06,0.0,31
8,400,0.0011504567228257656,0.000662766513414681,0.0004838319728150964,3.858270247292239e-06,0.0,26,0.0009053312824107707,0.0003772252530325204,0.0005227365181781352,5.36950346941012e-06,0.0,33,0.000839466170873493,0.0004016589664388448,0.0004324172914493829,5.3899311751592904e-06,0.0,34,0.0012539663584902883,0.0006753636407665908,0.0005750394775532186,3.563189920896548e-06,0.0,24
9,450,0.0010281982831656933,0.0005568188498727977,0.0004676086246035993,3.770839157368755e-06,0.0,25,0.0007322885212488472,0.00023932935437187552,0.00048765825340524316,5.300898010318633e-06,0.0,32,0.0007086999830789864,0.0003128653625026345,0.00039055090746842325,5.283706741465721e-06,0.0,32,0.0011542770080268383,0.0006007665651850402,0.0005500009865500033,3.5094849408778828e-06,0.0,22
10,500,0.0009154602303169668,0.0004614156496245414,0.0004502612864598632,3.7833362966921413e-06,0.0,21,0.0006543807685375214,0.00020184733148198575,0.00044727299246005714,5.260482339508599e-06,0.0,31,0.0005771789001300931,0.0002301480999449268,0.0003418165142647922,5.214294105826411e-06,0.0,31,0.0010537781054154038,0.0005223579937592149,0.0005278901662677526,3.5299506180308526e-06,0.0,22
11,550,0.0008104905718937516,0.0003686245472636074,0.0004380735335871577,3.7924830849078717e-06,0.0,20,0.0005969719495624304,0.00017747198580764234,0.00041427320684306324,5.226731900620507e-06,0.0,31,0.0004707452899310738,0.00015790788165759295,0.00030767032876610756,5.167072231415659e-06,0.0,29,0.0009501016465947032,0.00043508337694220245,0.0005114581435918808,3.5600733099272475e-06,0.0,20
