,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5
0,0,0.3961799442768097,0.39472606778144836,0.0014438487123697996,9.999999747378752e-06,0.0,60,0.3301648497581482,0.3290936052799225,0.001061229151673615,9.999999747378752e-06,0.0,60,0.3651900291442871,0.3638315796852112,0.0013484221417456865,9.999999747378752e-06,0.0,60,0.3988230228424072,0.3977145254611969,0.0010984924156218767,9.999999747378752e-06,0.0,60,0.35851582884788513,0.3572964072227478,0.001209419104270637,9.999999747378752e-06,0.0,60,0.34317880868911743,0.3422885537147522,0.0008802356314845383,9.999999747378752e-06,0.0,60
1,50,0.020733792334794998,0.018814638257026672,0.0019106412073597312,8.511527994414791e-06,0.0,60,0.011646454222500324,0.010667583905160427,0.0009699615184217691,8.908944437280297e-06,0.0,60,0.013090269640088081,0.011751879937946796,0.001329455990344286,8.933313438319601e-06,0.0,60,0.023245807737112045,0.021909484639763832,0.0013274820521473885,8.839806469040923e-06,0.0,60,0.014318067580461502,0.012900211848318577,0.0014087134040892124,9.141428563452791e-06,0.0,60,0.010799857787787914,0.010007242672145367,0.0007834558491595089,9.159353794530034e-06,0.0,60
2,100,0.01030976977199316,0.008872050791978836,0.0014294949360191822,8.22485799290007e-06,0.0,60,0.00820457749068737,0.007360663264989853,0.0008350316784344614,8.883308510121424e-06,0.0,60,0.009217677637934685,0.008048425428569317,0.0011606315383687615,8.620103471912444e-06,0.0,60,0.007840844802558422,0.0067595792934298515,0.0010729064233601093,8.35828723211307e-06,0.0,60,0.008187126368284225,0.007099771872162819,0.0010785363847389817,8.817723028187174e-06,0.0,60,0.005917964968830347,0.005209220573306084,0.0006996385636739433,9.106044672080316e-06,0.0,60
3,150,0.0045769852586090565,0.0033417921513319016,0.0012272027088329196,7.990424819581676e-06,0.0,60,0.006415235809981823,0.0057144188322126865,0.0006923438049852848,8.473229172523133e-06,0.0,60,0.007691107224673033,0.006590267177671194,0.0010924675734713674,8.37243533169385e-06,0.0,60,0.003388686804100871,0.002399611985310912,0.0009810063056647778,8.068465831456706e-06,0.0,60,0.004277688916772604,0.0033092405647039413,0.0009598544565960765,8.593653546995483e-06,0.0,60,0.0036211253609508276,0.0029895384795963764,0.0006225958932191133,8.991022696136497e-06,0.0,60
4,200,0.002807031152769923,0.001659862115047872,0.0011393799213692546,7.789135452185292e-06,0.0,60,0.0025065711233764887,0.0016274955123662949,0.0008711573318578303,7.918313713162206e-06,0.0,60,0.0037733998615294695,0.0027153780683875084,0.0010499723721295595,8.049527423281688e-06,0.0,60,0.0024069289211183786,0.001445680158212781,0.0009532896801829338,7.959146387293003e-06,0.0,60,0.002222530310973525,0.0012952416436746716,0.0009190661949105561,8.222302312788088e-06,0.0,60,0.0013696735259145498,0.000779342430178076,0.0005817445344291627,8.586533112975303e-06,0.0,60
5,250,0.0022411528043448925,0.001179417478851974,0.001054168795235455,7.566478871012805e-06,0.0,60,0.0018762585241347551,0.001095469226129353,0.0007733289385214448,7.460334927600343e-06,0.0,57,0.0021283873356878757,0.0011957167880609632,0.0009248844580724835,7.785999514453579e-06,0.0,60,0.0020689195953309536,0.0011549207847565413,0.000906129542272538,7.869246474001557e-06,0.0,60,0.0017205282347276807,0.0009101689211092889,0.0008023205446079373,8.038870873861015e-06,0.0,60,0.0010123751126229763,0.0005037029040977359,0.0005004509584978223,8.221235475502908e-06,0.0,55
6,300,0.0019114188617095351,0.0009852004004642367,0.0009188477415591478,7.3706933108041994e-06,0.0,60,0.0015392457135021687,0.000868211907800287,0.0006637269980274141,7.306798124773195e-06,0.0,57,0.0017071812180802226,0.0009103748016059399,0.0007890862179920077,7.720177563896868e-06,0.0,60,0.0018655118765309453,0.0009949957020580769,0.0008626643102616072,7.851817827031482e-06,0.0,60,0.0014410564908757806,0.0007541045779362321,0.0006790495826862752,7.902337529230863e-06,0.0,60,0.0008478426607325673,0.00043452129466459155,0.0004052146687172353,8.106674613372888e-06,0.0,55
7,350,0.0016332637751474977,0.0008574399980716407,0.0007685702876187861,7.253543117258232e-06,0.0,55,0.001278924522921443,0.000724966055713594,0.000546736700925976,7.221734904305777e-06,0.0,50,0.0014247986255213618,0.0007398961461149156,0.0006771966582164168,7.705905773036648e-06,0.0,56,0.0016965806717053056,0.0008661351166665554,0.000822660222183913,7.785273737681564e-06,0.0,57,0.0011429482838138938,0.0005462834960781038,0.0005888289888389409,7.835830729163717e-06,0.0,53,0.0007361862226389349,0.0003805946616921574,0.0003473841934464872,8.207330211007502e-06,0.0,46
8,400,0.001391214900650084,0.000727133359760046,0.0006569649558514357,7.116595952538773e-06,0.0,55,0.001039679511450231,0.0005996614345349371,0.00043281077523715794,7.207260750874411e-06,0.0,50,0.0011920128017663956,0.0005758415791206062,0.0006083908956497908,7.7802133091609e-06,0.0,56,0.001543808844871819,0.000759232381824404,0.0007768907235004008,7.685714990657289e-06,0.0,57,0.0009450264042243361,0.0004105974512640387,0.0005267054657451808,7.723479029664304e-06,0.0,53,0.0006487370119430125,0.00033729110145941377,0.00030307151610031724,8.374371645913925e-06,0.0,46
9,450,0.0012046730844303966,0.000611570430919528,0.0005859381635673344,7.164530416048365e-06,0.0,41,0.0008356274920515716,0.00048186100320890546,0.0003464109031483531,7.355614343396155e-06,0.0,44,0.0010337608400732279,0.00045669349492527544,0.0005691927508451045,7.874621587689035e-06,0.0,47,0.00136985641438514,0.000624248175881803,0.000737882568500936,7.725619070697576e-06,0.0,49,0.0007919608615338802,0.00031645578565075994,0.0004677902616094798,7.714860657870304e-06,0.0,45,0.0005646820645779371,0.0002865005226340145,0.00026973034255206585,8.451165740552824e-06,0.0,42
