,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0.0,0.03745472431182861,0.001504229847341776,9.999999747378752e-06,0.0,60,0.0
1,50.0,0.0008901734254322946,0.0006049800431355834,7.384018317679875e-06,0.0,50,0.0
2,100.0,0.00032701907912269235,0.0003053029940929264,8.5793499238207e-06,0.0,47,0.0
3,150.0,0.00016730980132706463,0.00017646215565036982,9.829415830608923e-06,0.0,46,0.0
4,200.0,0.00010270156053593382,0.00011099544644821435,1.048104513756698e-05,0.0,44,0.0
5,250.0,6.656261393800378e-05,8.03352304501459e-05,1.0874805411731359e-05,0.0,42,0.0
6,300.0,4.736121991300024e-05,5.872490874025971e-05,1.118699674407253e-05,0.0,41,0.0
7,350.0,3.721208486240357e-05,4.041470674565062e-05,1.1313301001791842e-05,0.0,37,0.0
8,400.0,3.0281680665211752e-05,3.202963853254914e-05,1.1369712410669308e-05,0.0,36,0.0
9,450.0,2.5541885406710207e-05,2.5514766093692742e-05,1.137389972427627e-05,0.0,36,0.0
10,500.0,2.0657806089730002e-05,2.2414813429350033e-05,1.1339119737385772e-05,0.0,35,0.0
11,550.0,1.6846230209921487e-05,2.773841333691962e-05,1.129073825723026e-05,0.0,34,0.0
12,600.0,1.7289179595536552e-05,1.614679604244884e-05,1.1247937436564825e-05,0.0,34,0.0
13,650.0,1.3716045941691846e-05,1.4237723917176481e-05,1.118255386245437e-05,0.0,34,0.0
14,700.0,1.233155489899218e-05,1.2854485248681158e-05,1.1122670002805535e-05,0.0,34,0.0
15,750.0,1.4450596609094646e-05,1.2195089766464662e-05,1.1063241800002288e-05,0.0,34,0.0
16,800.0,1.0632094017637428e-05,1.0965259207296185e-05,1.1000158337992616e-05,0.0,34,0.0
17,850.0,1.3637491974805016e-05,1.051676463248441e-05,1.0936996659438591e-05,0.0,34,0.0
18,900.0,7.805638233548962e-06,1.5069870642037131e-05,1.0871828635572456e-05,0.0,33,0.0
19,950.0,9.260648766939994e-06,9.197885447065346e-06,1.0802299584611319e-05,0.0,33,0.0
