,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4
0,0,0.408075213432312,0.4066143035888672,0.0014608968049287796,2.3189491002995055e-06,0.0,60,0.38916730880737305,0.38811594247817993,0.001051354338414967,1.9486005840008147e-06,0.0,60,0.34258219599723816,0.34089118242263794,0.0016910233534872532,2.1475366338563617e-06,0.0,60,0.3183126449584961,0.3173242211341858,0.0009884302271530032,1.9069211703026667e-06,0.0,60,0.34544607996940613,0.344295859336853,0.0011502341367304325,2.5100209768424975e-06,0.0,60
1,50,0.017665481194853783,0.016272835433483124,0.0013926451792940497,2.288419182150392e-06,0.0,60,0.012100253254175186,0.011078965850174427,0.0010212876368314028,1.943199549714336e-06,0.0,60,0.01454787515103817,0.012926503084599972,0.0016213718336075544,2.2179685856826836e-06,0.0,60,0.009781459346413612,0.008865945041179657,0.0009155144216492772,2.0601680716936244e-06,0.0,60,0.010835976339876652,0.00980328768491745,0.00103268853854388,2.5559806999808643e-06,0.0,60
2,100,0.009200447238981724,0.007893459871411324,0.0013069870183244348,2.4926468995545292e-06,0.0,60,0.0068587493151426315,0.005931907333433628,0.0009268422145396471,2.2581509711017134e-06,0.0,60,0.009716960601508617,0.008191949687898159,0.0015250112628564239,2.4637652131787036e-06,0.0,60,0.007627893704921007,0.006797316018491983,0.0008305776282213628,2.504199301256449e-06,0.0,60,0.006797236856073141,0.005874895490705967,0.0009223415399901569,2.8882841434096918e-06,0.0,60
3,150,0.0045876335352659225,0.003550505032762885,0.0010371282696723938,3.0888345463608857e-06,0.0,60,0.002605784684419632,0.0017725203651934862,0.0008332644356414676,2.576413407950895e-06,0.0,58,0.004772957414388657,0.003426013048738241,0.0013469444820657372,3.0900564524927177e-06,0.0,60,0.006403380539268255,0.005709001794457436,0.0006943786866031587,3.1785996270627948e-06,0.0,58,0.0028973205480724573,0.0021464370656758547,0.0007508834241889417,3.4124316243833164e-06,0.0,60
4,200,0.00261180242523551,0.0018096090061590075,0.0008021935354918242,3.833562459476525e-06,0.0,57,0.0016246801242232323,0.0008524078293703496,0.0007722723530605435,2.8374195153446635e-06,0.0,56,0.0030763153918087482,0.0019525637617334723,0.0011237517464905977,3.919159553333884e-06,0.0,59,0.0033233219292014837,0.0027072059456259012,0.0006161159253679216,3.831004505627789e-06,0.0,55,0.001735973171889782,0.0010571706807240844,0.0006788025493733585,3.941342129110126e-06,0.0,59
5,250,0.0018921440932899714,0.0012475026305764914,0.0006446414045058191,4.467613507586066e-06,0.0,56,0.0013616239884868264,0.000634083931799978,0.0007275400566868484,3.229902858947753e-06,0.0,56,0.002438274212181568,0.0015002593863755465,0.0009380149422213435,4.612891643773764e-06,0.0,58,0.0013433578424155712,0.0007649144972674549,0.0005784432869404554,4.24797372033936e-06,0.0,55,0.0013905966188758612,0.0008055357611738145,0.0005850607994943857,4.461437129066326e-06,0.0,58
6,300,0.001556523609906435,0.000982028665021062,0.0005744948866777122,4.928026555717224e-06,0.0,56,0.0011716000735759735,0.0005108985933475196,0.000660701422020793,3.7168933886277955e-06,0.0,55,0.002058506477624178,0.0012545400531962514,0.0008039664244279265,5.154946393304272e-06,0.0,57,0.0010185730643570423,0.0005158153362572193,0.000502757728099823,4.635964614863042e-06,0.0,54,0.0012141310144215822,0.0006904577603563666,0.0005236733122728765,4.929842816636665e-06,0.0,57
7,350,0.001312517561018467,0.0007812511175870895,0.0005312664434313774,5.268147560855141e-06,0.0,56,0.0009544691420160234,0.0003981721238233149,0.0005562970181927085,4.248564891895512e-06,0.0,55,0.0017736376030370593,0.0010827401420101523,0.000690897461026907,5.68868608752382e-06,0.0,55,0.0008153753005899489,0.0003654469910543412,0.0004499283095356077,5.03403362017707e-06,0.0,54,0.001094662118703127,0.0006115838186815381,0.00048307832912541926,5.360003797250101e-06,0.0,54
8,400,0.001042557181790471,0.000564948539249599,0.0004776085843332112,5.596752089331858e-06,0.0,56,0.0007678329711779952,0.0002964409068226814,0.00047139209345914423,4.730580712930532e-06,0.0,53,0.0014720939798280597,0.0009039240540005267,0.000568169925827533,6.169281277834671e-06,0.0,55,0.0006797545356675982,0.0002659555757418275,0.0004137989308219403,5.410592621046817e-06,0.0,53,0.0008728327229619026,0.00044572833576239645,0.0004271043580956757,5.867481831955956e-06,0.0,54
9,450,0.0008145719766616821,0.0003988892422057688,0.0004156827344559133,5.945656084804796e-06,0.0,56,0.0006131306872703135,0.00020391277212183923,0.0004092179297003895,5.148955551703693e-06,0.0,53,0.0011820391518995166,0.0007211313350126147,0.0004609077877830714,6.576014584425138e-06,0.0,55,0.0005753458826802671,0.0001904987293528393,0.00038484716787934303,5.76760476178606e-06,0.0,52,0.0007044761441648006,0.00034090690314769745,0.00036356921191327274,6.424450020858785e-06,0.0,54
10,500,0.0006695183692499995,0.0003039598523173481,0.00036555854603648186,6.326120455923956e-06,0.0,55,0.0005144748138263822,0.00015342887490987778,0.0003610459389165044,5.5508003242721315e-06,0.0,53,0.0009325013379566371,0.0005482272244989872,0.00038427411345764995,6.906159796926659e-06,0.0,55,0.0005821415688842535,0.00022393366089090705,0.00035820790799334645,6.125987056293525e-06,0.0,50,0.0006071443785913289,0.0002839564112946391,0.00032318796729668975,6.954446689633187e-06,0.0,53
11,550,0.000573857338167727,0.000244706345256418,0.000329150992911309,6.766128990420839e-06,0.0,55,0.00046428636414930224,0.00014427397400140762,0.0003200123901478946,5.897080882277805e-06,0.0,53,0.0007622949196957052,0.00043073800043202937,0.0003315569192636758,7.2050729613692965e-06,0.0,55,0.00043890238157473505,0.00010696898243622854,0.0003319334064144641,6.482155185949523e-06,0.0,50,0.0005310322158038616,0.00024197876336984336,0.00028905345243401825,7.455199011019431e-06,0.0,53
