,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0,0.0330180823802948,32.311790466308594,0.7045369148254395,0.0004144377599004656,0.0013417319860309362,0.0,60,0.0
1,50,0.002854434307664633,2.1981587409973145,0.6552835702896118,0.00013712217332795262,0.0008549230406060815,0.0,60,0.0
2,100,0.0009447876363992691,0.6502512097358704,0.29137617349624634,0.00024517791462130845,0.0029150217305868864,0.0,60,0.0
3,150,0.00042041484266519547,0.22550052404403687,0.19081823527812958,1.6450401744805276e-05,0.004079656675457954,0.0,49,0.0
4,200,0.00026507987058721483,0.13021813333034515,0.12998336553573608,3.5928974284615833e-06,0.00487480266019702,0.0,49,0.14285714285714285
5,250,0.00020128277537878603,0.09053578972816467,0.10539305955171585,2.245233645226108e-06,0.005351664964109659,0.0,45,0.14285714285714285
6,300,0.0001570070890011266,0.06213746964931488,0.0892409086227417,1.7156230569526087e-06,0.005626991391181946,0.0,43,0.14285714285714285
7,350,0.0001291683583986014,0.046591125428676605,0.07672299444675446,1.466318394705013e-06,0.00585276959463954,0.0,41,0.14285714285714285
8,400,0.00011226580681977794,0.0382571667432785,0.06788114458322525,1.2693500366367516e-06,0.0061262198723852634,0.0,41,0.14285714285714285
9,450,0.00010171518806600943,0.03324573114514351,0.06212884187698364,1.1215204267500667e-06,0.006339501589536667,0.0,41,0.14285714285714285
10,500,9.434683306608349e-05,0.02978656068444252,0.058051977306604385,1.0663151215339894e-06,0.006507230456918478,0.0,41,0.14285714285714285
11,550,8.778108167462051e-05,0.027322839945554733,0.053791485726833344,1.0214248504780699e-06,0.006665736436843872,0.0,41,0.14285714285714285
12,600,8.194465772248805e-05,0.02601739764213562,0.049119774252176285,1.0583863740976085e-06,0.006806418299674988,0.0,41,0.14285714285714285
13,650,7.70235201343894e-05,0.02474254183471203,0.04538170248270035,1.0594183095236076e-06,0.006898210383951664,0.0,40,0.14285714285714285
14,700,7.232822827063501e-05,0.023515067994594574,0.04184253141283989,1.1013039511453826e-06,0.006969530135393143,0.0,40,0.14285714285714285
15,750,6.820252747274935e-05,0.022437455132603645,0.0387285090982914,1.1602946869970765e-06,0.007035405375063419,0.0,39,0.14285714285714285
16,800,6.437065894715488e-05,0.021375088021159172,0.035904448479413986,1.212196480082639e-06,0.007089913822710514,0.0,39,0.14285714285714285
17,850,6.181185744935647e-05,0.020177753642201424,0.034500863403081894,1.2659407957471558e-06,0.007131972815841436,0.0,39,0.14285714285714285
18,900,6.11061550443992e-05,0.02032935433089733,0.03361893445253372,1.317417627433315e-06,0.007156544364988804,0.0,39,0.14285714285714285
19,950,5.827178756590001e-05,0.019025931134819984,0.03207436203956604,1.3838157428835984e-06,0.007170111872255802,0.0,39,0.14285714285714285
20,1000,5.6955497711896896e-05,0.018753737211227417,0.031018387526273727,1.4503571037494112e-06,0.0071819256991147995,0.0,39,0.14285714285714285
