,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3
0,0,0.04182574525475502,0.04076797515153885,0.0010573051404207945,4.645256126423192e-07,0.0,60,0.03040914051234722,0.02956107258796692,0.0008476381772197783,4.3085742618131917e-07,0.0,60,0.035454992204904556,0.03424413502216339,0.0012104164343327284,4.378852906938846e-07,0.0,60,0.034694887697696686,0.03363566845655441,0.0010587692959234118,4.5225891653899453e-07,0.0,60
1,50,0.0011514017824083567,0.0007055715541355312,0.0004424419312272221,3.3882861316669732e-06,0.0,60,0.0007477609324268997,0.0004061941581312567,0.00033803036785684526,3.536431904649362e-06,0.0,60,0.0009535936987958848,0.0006584659568034112,0.0002926242887042463,2.503456016711425e-06,0.0,60,0.0006513939588330686,0.0003268715809099376,0.0003210076247341931,3.5147752441844204e-06,0.0,60
2,100,0.0006544066709466279,0.00040177753544412553,0.0002490761107765138,3.553031319825095e-06,0.0,52,0.0002848932927008718,9.628555562812835e-05,0.0001840460899984464,4.561660261970246e-06,0.0,50,0.00040677314973436296,0.00021292606834322214,0.00019067163520958275,3.175429583279765e-06,0.0,47,0.0002476934459991753,0.00011541820276761428,0.00012681206862907857,5.4631718739983626e-06,0.0,50
3,150,0.0003987301897723228,0.00020412115554790944,0.0001906093384604901,3.999703949375544e-06,0.0,47,0.00014409419964067638,6.04549131821841e-05,7.833217387087643e-05,5.307116225594655e-06,0.0,43,0.000288960465695709,0.00013379128358792514,0.00015164195792749524,3.5271998513053404e-06,0.0,38,0.00014795093738939613,6.232465239008889e-05,7.932566222734749e-05,6.30062186246505e-06,0.0,44
4,200,0.00027791899628937244,0.0001221349957631901,0.00015153821732383221,4.245793206791859e-06,0.0,44,0.00011056597577407956,4.123833423363976e-05,6.352206401061267e-05,5.805577075079782e-06,0.0,41,0.0002166099293390289,9.34481795411557e-05,0.00011940573313040659,3.7560134842351545e-06,0.0,36,9.128312376560643e-05,3.056796049349941e-05,5.391167724155821e-05,6.803485121054109e-06,0.0,40
5,250,0.00021739471412729472,8.300672197947279e-05,0.00013004349602852017,4.344486114860047e-06,0.0,40,8.931919728638604e-05,2.9731376343988813e-05,5.342389704310335e-05,6.163919806567719e-06,0.0,39,0.00015632623399142176,5.988630073261447e-05,9.245753608411178e-05,3.982388989243191e-06,0.0,32,6.443656457122415e-05,1.7731848856783472e-05,3.958699380746111e-05,7.117723271221621e-06,0.0,36
6,300,0.0001801623875508085,6.251317972782999e-05,0.00011319320037728176,4.4560110836755484e-06,0.0,40,7.478018233086914e-05,2.3494167180615477e-05,4.483071461436339e-05,6.455305083363783e-06,0.0,39,0.00011673241533571854,4.274144157534465e-05,6.989621033426374e-05,4.094761607120745e-06,0.0,31,5.122002403368242e-05,1.2910175428260118e-05,3.09697279590182e-05,7.340121555898804e-06,0.0,36
7,350,0.00015100871678441763,5.198749204282649e-05,9.449243952985853e-05,4.528785211732611e-06,0.0,39,6.489680527010933e-05,1.9362831153557636e-05,3.885016485583037e-05,6.683812443952775e-06,0.0,38,9.460336877964437e-05,3.5970399039797485e-05,5.4440712119685486e-05,4.192258529656101e-06,0.0,31,4.223529322189279e-05,9.293113180319779e-06,2.5409239242435433e-05,7.532941708632279e-06,0.0,35
8,400,0.00012848606274928898,4.620194886229001e-05,7.763107714708894e-05,4.653029009205056e-06,0.0,37,5.7997051044367254e-05,1.639019865251612e-05,3.468759678071365e-05,6.9192533374007326e-06,0.0,35,7.776806887704879e-05,3.0328461434692144e-05,4.3112067942274734e-05,4.327539500081912e-06,0.0,30,3.655966429505497e-05,7.368183560174657e-06,2.1536920030484907e-05,7.65456206863746e-06,0.0,35
9,450,0.00011026732681784779,3.868095518555492e-05,6.683295214315876e-05,4.753422217618208e-06,0.0,36,5.121813592268154e-05,1.2876143046014477e-05,3.125753210042603e-05,7.084459866746329e-06,0.0,33,6.796203524572775e-05,2.7167681764694862e-05,3.635549728642218e-05,4.438860742084216e-06,0.0,30,3.384646333870478e-05,6.381229013641132e-06,1.9616811187006533e-05,7.848421773815062e-06,0.0,34
10,500,9.395376400789246e-05,3.26829103869386e-05,5.64083966310136e-05,4.862460173171712e-06,0.0,35,4.703649028670043e-05,1.146295926446328e-05,2.8330012355581857e-05,7.2435163929185364e-06,0.0,32,6.117435259511694e-05,2.403499274805654e-05,3.26236076944042e-05,4.515748059930047e-06,0.0,29,3.078910958720371e-05,5.435193997982424e-06,1.74379201780539e-05,7.915994501672685e-06,0.0,34
11,550,7.716916297795251e-05,2.618394501041621e-05,4.608648669091053e-05,4.898733095615171e-06,0.0,34,4.295332109904848e-05,1.0126402230525855e-05,2.5452443878748454e-05,7.374473170784768e-06,0.0,31,5.585492544923909e-05,2.1350397219066508e-05,2.9899807486799546e-05,4.604721652867738e-06,0.0,29,2.9021884984103963e-05,5.129251348989783e-06,1.5929832443362102e-05,7.962799827510025e-06,0.0,32
12,600,6.553492858074605e-05,2.0457435311982408e-05,4.013154102722183e-05,4.945950422552414e-06,0.0,34,4.037614417029545e-05,9.926518941938411e-06,2.2943362637306564e-05,7.5062648647872265e-06,0.0,31,5.101043643662706e-05,1.8558825104264542e-05,2.7781270546256565e-05,4.670343969337409e-06,0.0,29,2.7303329261485487e-05,4.7253565753635485e-06,1.4611938240705058e-05,7.96603399066953e-06,0.0,32
13,650,6.060392115614377e-05,1.8944414478028193e-05,3.664156611193903e-05,5.017941930418601e-06,0.0,32,3.738691520993598e-05,8.863629773259163e-06,2.089808003802318e-05,7.625204943906283e-06,0.0,31,4.7349458327516913e-05,1.6429754396085627e-05,2.620689156174194e-05,4.712812369689345e-06,0.0,28,2.5680288672447205e-05,4.093487859790912e-06,1.3638902601087466e-05,7.947897756821476e-06,0.0,31
14,700,5.2397990657482296e-05,1.4939213542675134e-05,3.2394535082858056e-05,5.064240667707054e-06,0.0,32,3.548623135429807e-05,8.630759111838415e-06,1.913426604005508e-05,7.721207111899275e-06,0.0,31,4.459095362108201e-05,1.5151638763200026e-05,2.468841557856649e-05,4.750898824568139e-06,0.0,28,2.5126228138105944e-05,4.3869590626854915e-06,1.2821012205677107e-05,7.918256414995994e-06,0.0,31
