,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,total_9,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9
0,0,0.039686188101768494,0.038086745887994766,0.0015988708473742008,5.688817168447713e-07,0.0,60,0.037309255450963974,0.03589622303843498,0.0014124300796538591,6.033042154740542e-07,0.0,60,0.0412113256752491,0.03978297486901283,0.0014277523150667548,6.00489727275999e-07,0.0,60,0.042074330151081085,0.04137755557894707,0.0006961041945032775,6.706923159072176e-07,0.0,60,0.03659608215093613,0.035217542201280594,0.0013778067659586668,7.356881042142049e-07,0.0,60,0.036678873002529144,0.03546805679798126,0.001210120739415288,6.959803044992441e-07,0.0,60,0.036065176129341125,0.034607578068971634,0.001456880010664463,7.207551675492141e-07,0.0,60,0.0363580696284771,0.034831803292036057,0.0015255316393449903,7.35347498448391e-07,0.0,60,0.035409122705459595,0.03437432646751404,0.0010339530417695642,8.402516300520801e-07,0.0,60,0.040252506732940674,0.0389874242246151,0.0012645396636798978,5.456969915940135e-07,0.0,60
1,50,0.003005700884386897,0.0015563623746857047,0.0014487790176644921,5.595517222900526e-07,0.0,60,0.002547925803810358,0.0012623200891539454,0.001285040401853621,5.654241590491438e-07,0.0,60,0.002505786484107375,0.0011874065967276692,0.0013178745284676552,5.054783969171694e-07,0.0,60,0.0015081707388162613,0.000875165977049619,0.0006324794958345592,5.252737196315138e-07,0.0,60,0.002495905850082636,0.001217333716340363,0.0012780299875885248,5.419987019195105e-07,0.0,60,0.003380165435373783,0.002212508814409375,0.0011674100533127785,2.4664078068781237e-07,0.0,60,0.0024922906886786222,0.0011626294581219554,0.0013291052309796214,5.560773956858611e-07,0.0,60,0.002923971973359585,0.0014909993624314666,0.0014326005475595593,3.720604127011029e-07,0.0,60,0.0020481182727962732,0.0011680444004014134,0.0008794193272478878,6.545524229295552e-07,0.0,60,0.002407846273854375,0.0012280975934118032,0.0011792549630627036,4.937787707604002e-07,0.0,60
2,100,0.001432468881830573,0.0008207188220694661,0.0006102764746174216,1.4736098137291265e-06,0.0,60,0.0017311142291873693,0.0007783146575093269,0.0009514280827715993,1.3715067552766413e-06,0.0,60,0.0017796405591070652,0.0007452002028003335,0.001033164793625474,1.275604631700844e-06,0.0,60,0.000917318684514612,0.00048105642781592906,0.00043471777462400496,1.5445044709849753e-06,0.0,60,0.001587612903676927,0.0007842562044970691,0.000801918504294008,1.4382389963429887e-06,0.0,60,0.0015686271945014596,0.0007838252349756658,0.0007832996780052781,1.50235189266823e-06,0.0,60,0.001301805954426527,0.00046419352293014526,0.0008362288353964686,1.3835704066877952e-06,0.0,60,0.0019265454029664397,0.0007770336815156043,0.0011482341215014458,1.2776712310369476e-06,0.0,60,0.0010214039357379079,0.0006524542113766074,0.00036753807216882706,1.411666289641289e-06,0.0,60,0.0013607904547825456,0.0007710943464189768,0.000588107155635953,1.5889164615146e-06,0.0,60
3,150,0.0007304654573090374,0.00028362739249132574,0.0004452394787222147,1.598584958628635e-06,0.0,36,0.0006596107850782573,0.00034035544376820326,0.0003175446472596377,1.7106393670474063e-06,0.0,33,0.0012359762331470847,0.000626464607194066,0.0006078684818930924,1.643205109758128e-06,0.0,33,0.0003971351543441415,0.000150251216837205,0.000245099508902058,1.7844114381659892e-06,0.0,30,0.000859199499245733,0.0002993237867485732,0.0005582997691817582,1.57598390160274e-06,0.0,31,0.001052666688337922,0.0006326459115371108,0.0004185950674582273,1.4257839211495593e-06,0.0,27,0.0007078374619595706,0.0002893401251640171,0.0004169901367276907,1.5071640291353106e-06,0.0,31,0.0013410903047770262,0.0006632199510931969,0.0006761045660823584,1.7658213664617506e-06,0.0,29,0.0008070946205407381,0.0004802522889804095,0.00032538396771997213,1.4583552001568023e-06,0.0,33,0.00106812606099993,0.0006365016452036798,0.00043003380415029824,1.5905317241049488e-06,0.0,32
4,200,0.0005568150081671774,0.00018212763825431466,0.00037309122853912413,1.5961157942001591e-06,0.0,28,0.0005131156649440527,0.00026642673765309155,0.00024501082953065634,1.6780977603048086e-06,0.0,22,0.0008802411030046642,0.00045695938752032816,0.00042175015551038086,1.5315624750655843e-06,0.0,24,0.000266361195826903,0.00010885078518185765,0.0001558396907057613,1.670694473432377e-06,0.0,21,0.0006698874058201909,0.00018423976143822074,0.0004841570626012981,1.4905981515767053e-06,0.0,25,0.0007647267775610089,0.0004980172379873693,0.00026555120712146163,1.15832403935201e-06,0.0,22,0.0005189222865737975,0.00022696454834658653,0.00029050224111415446,1.455463575439353e-06,0.0,18,0.0008812217274680734,0.0004833158163819462,0.0003962841583415866,1.6217948086705292e-06,0.0,24,0.000600554165430367,0.000319043145282194,0.0002801062073558569,1.4047907370695611e-06,0.0,29,0.0007760736625641584,0.00040914109558798373,0.00036549975629895926,1.4328480801850674e-06,0.0,26
5,250,0.0004397604789119214,0.00014446343993768096,0.0002936338714789599,1.6631819335088949e-06,0.0,25,0.00044141963007859886,0.00023232617240864784,0.00020749065151903778,1.6028049003580236e-06,0.0,21,0.0006445804610848427,0.00028741074493154883,0.0003556754090823233,1.4943219639462768e-06,0.0,20,0.00021555693820118904,9.444860188523307e-05,0.00011960335541516542,1.5049813555378933e-06,0.0,20,0.000586487993132323,0.00014237684081308544,0.0004426805826369673,1.430541715308209e-06,0.0,21,0.0006144759245216846,0.0003948358353227377,0.00021864664449822158,9.93458797893254e-07,0.0,21,0.0004149722517468035,0.00019119909848086536,0.00022242568957153708,1.3474426623361069e-06,0.0,16,0.0006161950877867639,0.0002994036767631769,0.0003152735298499465,1.5179049341895734e-06,0.0,19,0.0004862820787820965,0.00024582684272900224,0.0002391155721852556,1.3396744407145889e-06,0.0,24,0.0005810560542158782,0.00025463939527980983,0.00032503550755791366,1.3811290955345612e-06,0.0,23
6,300,0.00036477489629760385,0.00012248058919794858,0.00024057213158812374,1.7221993857674534e-06,0.0,23,0.0003843126178253442,0.00020063469128217548,0.00018218127661384642,1.4966652770453948e-06,0.0,21,0.0005059677641838789,0.00019248668104410172,0.00031207958818413317,1.4015325859872974e-06,0.0,20,0.00018575620197225362,7.850150723243132e-05,0.00010583378025330603,1.4209230130290962e-06,0.0,19,0.0005268685636110604,0.00012120402243454009,0.00040422199526801705,1.442547272745287e-06,0.0,18,0.0005495805526152253,0.00033972354140132666,0.00020897890499327332,8.781221936260408e-07,0.0,20,0.00033337491913698614,0.00015269040886778384,0.00017945635772775859,1.2281394674573676e-06,0.0,14,0.00047754865954630077,0.00022612079919781536,0.0002499920374248177,1.4358308817463694e-06,0.0,15,0.0004320387088228017,0.00022587832063436508,0.00020498466619756073,1.1757213087548735e-06,0.0,17,0.0004658446996472776,0.00018842806457541883,0.00027614421560429037,1.2724289035759284e-06,0.0,21
7,350,0.0003037860442418605,9.871200745692477e-05,0.00020330827101133764,1.7657627040534862e-06,0.0,23,0.0003335100773256272,0.0001704073656583205,0.0001616824883967638,1.4202518059391878e-06,0.0,20,0.0004220688424538821,0.0001521509257145226,0.00026856755721382797,1.3503606623999076e-06,0.0,17,0.00015973766858223826,6.187841790961102e-05,9.649999265093356e-05,1.3592449477073387e-06,0.0,18,0.0004875386075582355,0.00011217737483093515,0.00037395060644485056,1.4106421986070927e-06,0.0,15,0.0004843267670366913,0.00028420667513273656,0.00019932366558350623,7.96418476056715e-07,0.0,18,0.0002670446992851794,0.0001190418770420365,0.00014688083319924772,1.1219889302083175e-06,0.0,13,0.0004075685574207455,0.00018603411444928497,0.00022018601885065436,1.348397404399293e-06,0.0,14,0.0004216795787215233,0.00021507113706320524,0.0002055902878055349,1.0181684046983719e-06,0.0,16,0.0003992833662778139,0.00016103831876534969,0.00023705353669356555,1.1915067261725198e-06,0.0,18
8,400,0.0002505294978618622,7.421277405228466e-05,0.00017452389874961227,1.79281721557345e-06,0.0,23,0.0002997478877659887,0.0001488193665863946,0.0001495721808169037,1.3563255834014853e-06,0.0,19,0.00037531208363361657,0.00013043060607742518,0.00024360620591323823,1.2752609563904116e-06,0.0,15,0.00013830749958287925,4.917974001727998e-05,8.783659723121673e-05,1.2911552857985953e-06,0.0,16,0.00044861086644232273,9.765389404492453e-05,0.0003496142162475735,1.3427753629002837e-06,0.0,14,0.0004374715208541602,0.00023799277551006526,0.00019872025586664677,7.584861236864526e-07,0.0,16,0.00022878707386553288,9.801008127396926e-05,0.00012971872638445348,1.058268935594242e-06,0.0,12,0.000359205441782251,0.0001581142278155312,0.00019979517674073577,1.2960083495272556e-06,0.0,13,0.0004082623345311731,0.0002031523472396657,0.0002042194828391075,8.904897867978434e-07,0.0,14,0.00034022150794044137,0.0001418417232343927,0.0001972551690414548,1.124626010096108e-06,0.0,17
9,450,0.00021910200302954763,6.329361349344254e-05,0.00015399677795358002,1.8116123783329385e-06,0.0,22,0.00027384498389437795,0.00013259814295452088,0.00013995122571941465,1.2956056707480457e-06,0.0,19,0.000328754453221336,0.00011642930621746927,0.00021108839428052306,1.2367588624329073e-06,0.0,15,0.000124686150229536,4.222384814056568e-05,8.124510350171477e-05,1.2171886965006706e-06,0.0,15,0.00041581422556191683,9.146261436399072e-05,0.00032303715124726295,1.3144496051609167e-06,0.0,14,0.00039964765892364085,0.00020058562222402543,0.00019831713871099055,7.449049803653907e-07,0.0,14,0.0001999528321903199,8.232032269006595e-05,0.00011661275493679568,1.0197592246186105e-06,0.0,12,0.0003187766997143626,0.00013599432713817805,0.00018153894052375108,1.2434318250598153e-06,0.0,13,0.0003953580744564533,0.00019383926701266319,0.00020069896709173918,8.198528007596906e-07,0.0,11,0.00029749589157290757,0.00012531207175925374,0.00017113138164859265,1.0524170193093596e-06,0.0,17
