,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,total_9,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9
0,0,0.3603154420852661,0.3586103022098541,0.0017044231062754989,7.223776492537581e-07,0.0,60,0.3937431871891022,0.39245983958244324,0.0012826647143810987,6.824336082900118e-07,0.0,60,0.371862530708313,0.37067127227783203,0.0011905439896509051,7.206632517409162e-07,0.0,60,0.35415178537368774,0.3528481423854828,0.0013028346002101898,7.952040164127538e-07,0.0,60,0.32701942324638367,0.32566893100738525,0.001349864760413766,6.355373898259131e-07,0.0,60,0.3951472043991089,0.3938775658607483,0.0012689644936472178,6.792612907702278e-07,0.0,60,0.36032623052597046,0.3588770031929016,0.0014485990395769477,6.178378271215479e-07,0.0,60,0.4060896933078766,0.40431296825408936,0.0017760822083801031,6.654796607108437e-07,0.0,60,0.3172609806060791,0.3159726858139038,0.0012876002583652735,6.854102707620768e-07,0.0,60,0.3441900908946991,0.34320133924484253,0.0009879618883132935,8.055442322074668e-07,0.0,60
1,50,0.016651438549160957,0.015041079372167587,0.0016099268104881048,4.3122338411194505e-07,0.0,60,0.012016884051263332,0.010816005058586597,0.0012003498850390315,5.287780027174449e-07,0.0,60,0.010603494942188263,0.009468640200793743,0.0011344021186232567,4.524883081558073e-07,0.0,60,0.011772197671234608,0.01056450791656971,0.0012069852091372013,7.050862791402324e-07,0.0,60,0.0141747472807765,0.012871118262410164,0.0013031347189098597,4.944711804455437e-07,0.0,60,0.021793801337480545,0.020571520552039146,0.0012219384079799056,3.425488444008806e-07,0.0,60,0.014241681434214115,0.012867817655205727,0.0013733863597735763,4.774981334776385e-07,0.0,60,0.02142593450844288,0.01974894106388092,0.0016764752799645066,5.182275231163658e-07,0.0,60,0.01093403622508049,0.009754735045135021,0.0011787082767114043,5.931827899985365e-07,0.0,60,0.010452989488840103,0.009511961601674557,0.0009405719465576112,4.567706355373957e-07,0.0,60
2,100,0.009693390689790249,0.008243708871304989,0.0014484868152067065,1.194834567286307e-06,0.0,60,0.008236529305577278,0.007138566579669714,0.0010964259272441268,1.5366508705483284e-06,0.0,60,0.007377631030976772,0.006363940425217152,0.0010123784886673093,1.312075937676127e-06,0.0,60,0.008377917110919952,0.007482427172362804,0.0008937522652558982,1.7378750953866984e-06,0.0,60,0.0055574229918420315,0.004426519386470318,0.00112924596760422,1.6579772363911616e-06,0.0,60,0.009103864431381226,0.008008063770830631,0.0010946446564048529,1.156213556896546e-06,0.0,60,0.008537344634532928,0.007380863651633263,0.0011547799222171307,1.700543066363025e-06,0.0,60,0.011129708029329777,0.009878906421363354,0.0012492079986259341,1.593246565789741e-06,0.0,60,0.00725192716345191,0.006416733376681805,0.0008337152539752424,1.478389322073781e-06,0.0,60,0.007004408165812492,0.006151619367301464,0.000851536518894136,1.2522576753326575e-06,0.0,60
3,150,0.004585063550621271,0.003462268738076091,0.0011211253004148602,1.6695520344001125e-06,0.0,36,0.006746704690158367,0.00593025516718626,0.0008143594604916871,2.089833060381352e-06,0.0,37,0.003122620051726699,0.002213182393461466,0.0009077239665202796,1.713716642370855e-06,0.0,37,0.0038923248648643494,0.0031628631986677647,0.0007274601375684142,2.0013014818687225e-06,0.0,31,0.002780978102236986,0.0017492795595899224,0.0010294667445123196,2.231884764114511e-06,0.0,38,0.0074234530329704285,0.006497372407466173,0.0009245307883247733,1.5499423398068757e-06,0.0,28,0.005444633774459362,0.004485847428441048,0.0009567319648340344,2.054442347798613e-06,0.0,33,0.008843343704938889,0.007966662757098675,0.0008750511915422976,1.6295035720759188e-06,0.0,37,0.002840754808858037,0.002171470317989588,0.0006675154436379671,1.7690315416984959e-06,0.0,36,0.005714501719921827,0.005066065117716789,0.0006468193023465574,1.6173510175576666e-06,0.0,32
4,200,0.002392212627455592,0.0016210576286539435,0.0007693968364037573,1.7581352267370676e-06,0.0,24,0.005365412682294846,0.004847269970923662,0.0005162092857062817,1.9332842384756077e-06,0.0,25,0.0019878847524523735,0.001212728675454855,0.0007732396479696035,1.916338305818499e-06,0.0,27,0.001915362081490457,0.0013097821502014995,0.00060351996216923,2.059977077806252e-06,0.0,25,0.0019566966220736504,0.001064734417013824,0.0008895033388398588,2.458832568663638e-06,0.0,34,0.006072649732232094,0.00539282476529479,0.0006783744320273399,1.450740228392533e-06,0.0,24,0.00235942006111145,0.001654509105719626,0.0007026867824606597,2.2243295916268835e-06,0.0,29,0.005738719366490841,0.004868130199611187,0.0008691024850122631,1.4868930975353578e-06,0.0,29,0.001673978753387928,0.001194943324662745,0.0004771571548189968,1.878222064988222e-06,0.0,31,0.0020410032011568546,0.0015708856517449021,0.00046834233216941357,1.7752051917341305e-06,0.0,24
5,250,0.0018424929585307837,0.0011408505961298943,0.0006999013712629676,1.7409470274287742e-06,0.0,21,0.0028857404831796885,0.002330099232494831,0.00055383809376508,1.80336814992188e-06,0.0,24,0.0015796610387042165,0.000916160352062434,0.0006614429294131696,2.057703568425495e-06,0.0,24,0.0014895827043801546,0.0009347055456601083,0.000552780635189265,2.0965005660400493e-06,0.0,22,0.001624547061510384,0.0008425727719441056,0.0007793408003635705,2.6334591893828474e-06,0.0,30,0.004865720868110657,0.004377415403723717,0.00048700484330765903,1.3004025731788715e-06,0.0,19,0.0018575728172436357,0.0012735831551253796,0.0005817727651447058,2.216951997979777e-06,0.0,26,0.003049582475796342,0.002174666617065668,0.0008731529233045876,1.7629381545702927e-06,0.0,25,0.0013013968709856272,0.0008547952165827155,0.00044470446300692856,1.8971669533129898e-06,0.0,27,0.0012541700853034854,0.0008149454952217638,0.0004373529809527099,1.8715619489739765e-06,0.0,22
6,300,0.0015960905002430081,0.0009283795952796936,0.0006659878417849541,1.7230074718099786e-06,0.0,19,0.0014091066550463438,0.0008615753031335771,0.0005455450154840946,1.9862709450535476e-06,0.0,23,0.0012504166224971414,0.0006762138800695539,0.0005720166955143213,2.186064421039191e-06,0.0,21,0.0012926280032843351,0.0007580028614029288,0.000532538047991693,2.0870800199190853e-06,0.0,18,0.0014276624424383044,0.0006910309894010425,0.0007339022704400122,2.729165544224088e-06,0.0,29,0.004208788741379976,0.0037828253116458654,0.000424751837272197,1.2118767926949658e-06,0.0,18,0.0016043087234720588,0.001082159229554236,0.0005198870785534382,2.2624540179094765e-06,0.0,23,0.002317145001143217,0.0015252572484314442,0.0007900485070422292,1.8393549225947936e-06,0.0,22,0.001078978180885315,0.0006564246141351759,0.00042063312139362097,1.9204151158191962e-06,0.0,23,0.001019060262478888,0.0006171598215587437,0.00039993703830987215,1.9633068859548075e-06,0.0,22
7,350,0.001438222243450582,0.000801118731033057,0.0006354004726745188,1.7030324670486152e-06,0.0,19,0.0010893138824030757,0.0005879801465198398,0.0004992140457034111,2.1196724446781445e-06,0.0,23,0.0009772245539352298,0.0004653614014387131,0.000509610865265131,2.252314516226761e-06,0.0,21,0.0011499199317768216,0.000634971831459552,0.0005128683988004923,2.079788146147621e-06,0.0,18,0.0012547411024570465,0.0005518653779290617,0.0007000542245805264,2.8214874419063563e-06,0.0,29,0.003115948988124728,0.0027708488050848246,0.00034384007449261844,1.2601421985891648e-06,0.0,17,0.0013958673225715756,0.0009128959500230849,0.0004806852084584534,2.2861956949782325e-06,0.0,21,0.0018995467107743025,0.0011599643621593714,0.0007377095171250403,1.8729376733972458e-06,0.0,20,0.0009003960294649005,0.0004939082427881658,0.0004046255489811301,1.8622557718117605e-06,0.0,20,0.0008771906141191721,0.0005051607731729746,0.000370008812751621,2.0210034108458785e-06,0.0,22
8,400,0.0012857038527727127,0.0006721977842971683,0.000611801806371659,1.7043074649336631e-06,0.0,19,0.0009062550961971283,0.00043530319817364216,0.00046869725338183343,2.2546446416527033e-06,0.0,22,0.0007921517244540155,0.0003243160026613623,0.0004655456868931651,2.2900815110915573e-06,0.0,20,0.0009441757574677467,0.0004529310099314898,0.000489097845274955,2.146952965631499e-06,0.0,18,0.0010751694208011031,0.0004015808517578989,0.0006707037100568414,2.8848978672613157e-06,0.0,28,0.00218782271258533,0.00175793981179595,0.0004285444738343358,1.3385398460741271e-06,0.0,17,0.0012491721427068114,0.0007897057803347707,0.00045717263128608465,2.293709712830605e-06,0.0,20,0.001625689910724759,0.0009332066983915865,0.0006905607297085226,1.9224733023293084e-06,0.0,18,0.0007254048250615597,0.0003384002484381199,0.0003851862857118249,1.8182713574788067e-06,0.0,16,0.000709150917828083,0.00036209181416779757,0.0003450111544225365,2.0479615159274545e-06,0.0,21
9,450,0.0011269928654655814,0.000533882703166455,0.0005914077046327293,1.7024793805830996e-06,0.0,18,0.0007810808601789176,0.00033259933115914464,0.0004460864292923361,2.3950460672494955e-06,0.0,19,0.0006744808633811772,0.00023968634195625782,0.0004324951150920242,2.299387460880098e-06,0.0,20,0.0008022458641789854,0.0003398120461497456,0.0004601787368301302,2.2550771063833963e-06,0.0,18,0.0009365314617753029,0.000307525071548298,0.0006260584341362119,2.947994744317839e-06,0.0,25,0.0012656387407332659,0.0008059356478042901,0.00045819132355973125,1.511824279987195e-06,0.0,15,0.0010889437980949879,0.000647094682790339,0.00043951839325018227,2.330777306269738e-06,0.0,17,0.0014263817574828863,0.0007714086095802486,0.0006530066602863371,1.9665253603307065e-06,0.0,18,0.0006003410089761019,0.00022735328820999712,0.0003711593453772366,1.8283624285686528e-06,0.0,16,0.0006092124967835844,0.00028392949025146663,0.0003231916343793273,2.091334636133979e-06,0.0,20
