,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3
0,0,0.39671826362609863,0.39502304792404175,0.0016930917045101523,2.1139248929102905e-06,0.0,60,0.36714011430740356,0.3658987283706665,0.00123877776786685,2.6109912596439244e-06,0.0,60,0.28426074981689453,0.28323614597320557,0.0010225230362266302,2.0735756152134854e-06,0.0,60,0.3660475015640259,0.36427566409111023,0.0017693511908873916,2.473479980835691e-06,0.0,60
1,50,0.032626673579216,0.030945537611842155,0.001680337474681437,7.983463774507982e-07,0.0,60,0.014306499622762203,0.013122228905558586,0.001183199230581522,1.0722354772951803e-06,0.0,60,0.009517783299088478,0.00854399986565113,0.0009724610135890543,1.3227288491179934e-06,0.0,60,0.01618530973792076,0.014429233968257904,0.0017547981115058064,1.27840610275598e-06,0.0,60
2,100,0.010899702087044716,0.009285594336688519,0.0016130873700603843,1.0210125083176536e-06,0.0,60,0.008481529541313648,0.0073762815445661545,0.0011040124809369445,1.2361712151687243e-06,0.0,60,0.006266370415687561,0.005357719957828522,0.00090703897876665,1.6116348433570238e-06,0.0,60,0.010638214647769928,0.008996473625302315,0.0016403294866904616,1.4117820228420896e-06,0.0,60
3,150,0.004736751317977905,0.0032433904707431793,0.0014917808584868908,1.5801433619344607e-06,0.0,58,0.007031840737909079,0.006012412719428539,0.001017789589241147,1.638497678868589e-06,0.0,59,0.00556481396779418,0.004731176421046257,0.0008316134917549789,2.024070226980257e-06,0.0,58,0.00450142240151763,0.0031360473949462175,0.0013632636982947588,2.111311005137395e-06,0.0,59
4,200,0.003343308577314019,0.0018937184941023588,0.0014474780764430761,2.1120088149473304e-06,0.0,58,0.006240737624466419,0.00533501710742712,0.0009035411640070379,2.1794146505271783e-06,0.0,58,0.005090586841106415,0.004437042400240898,0.0006510433158837259,2.5011827347043436e-06,0.0,57,0.0031754751689732075,0.0020271181128919125,0.0011457778746262193,2.579322654128191e-06,0.0,58
5,250,0.0028272601775825024,0.0014581920113414526,0.0013664605794474483,2.6076543235831195e-06,0.0,58,0.002550592180341482,0.001761053572408855,0.0007867805543355644,2.7580588266573614e-06,0.0,58,0.004132376983761787,0.0036246872041374445,0.000505011819768697,2.678131295397179e-06,0.0,56,0.0026245450135320425,0.0016588967991992831,0.0009626212995499372,3.0270423394540558e-06,0.0,57
6,300,0.002397016389295459,0.0012132643023505807,0.0011806071270257235,3.144759375572903e-06,0.0,57,0.0015317710349336267,0.0009115849970839918,0.0006169173284433782,3.268710088377702e-06,0.0,58,0.0015066292835399508,0.0008670765673741698,0.0006366404122672975,2.9124191769369645e-06,0.0,55,0.0022182432003319263,0.0014294713037088513,0.0007851978298276663,3.57402018380526e-06,0.0,56
7,350,0.0019481105264276266,0.0010186565341427922,0.0009258179343305528,3.636157771325088e-06,0.0,55,0.001214309479109943,0.0007009562687017024,0.0005096795503050089,3.6737369555339683e-06,0.0,57,0.0012029664358124137,0.0006120166508480906,0.0005877606454305351,3.189156586813624e-06,0.0,52,0.0018672989681363106,0.0011843271786347032,0.0006790556944906712,3.916140485671349e-06,0.0,53
8,400,0.0015675651375204325,0.0008131113718263805,0.0007504189270548522,4.034810444863979e-06,0.0,53,0.000996223883703351,0.0005518764373846352,0.000440409843577072,3.937639121431857e-06,0.0,55,0.0010716080432757735,0.0005178721039555967,0.0005503811407834291,3.3547003113199025e-06,0.0,52,0.0015891861403360963,0.0009676518966443837,0.0006173886358737946,4.145609182160115e-06,0.0,52
9,450,0.0012122872285544872,0.0006320280954241753,0.0005758811021223664,4.377980530989589e-06,0.0,51,0.0008233019034378231,0.0004258639819454402,0.0003932887630071491,4.149129836150678e-06,0.0,54,0.000984757672995329,0.00045885113650001585,0.0005224065389484167,3.5000832667719806e-06,0.0,52,0.001379420980811119,0.0008170030196197331,0.000558135099709034,4.282878308004001e-06,0.0,52
10,500,0.0009742596885189414,0.0005020105163566768,0.00046761526027694345,4.633888693206245e-06,0.0,51,0.000666855659801513,0.0003137187159154564,0.0003487392095848918,4.397790235088905e-06,0.0,52,0.0009297467186115682,0.0004285645263735205,0.0004975287010893226,3.653498424682766e-06,0.0,52,0.0011770004639402032,0.000675138842780143,0.000497426197398454,4.435472874320112e-06,0.0,50
11,550,0.0008402798557654023,0.00041578453965485096,0.00041958229849115014,4.913014890917111e-06,0.0,49,0.0005261594196781516,0.00022512846044264734,0.00029631436336785555,4.716577677754685e-06,0.0,51,0.0008634178666397929,0.00038517825305461884,0.00047438053297810256,3.859065145661589e-06,0.0,52,0.0010190749308094382,0.0005720771732740104,0.0004424008366186172,4.596849521476543e-06,0.0,48
12,600,0.0007669164333492517,0.0003881725133396685,0.0003736171347554773,5.126796168042347e-06,0.0,48,0.00042100425343960524,0.0001642050629016012,0.0002517975808586925,5.001605131838005e-06,0.0,51,0.0007224934524856508,0.00026506403810344636,0.00045333500020205975,4.094381893082755e-06,0.0,51,0.0009103018674068153,0.0005103842122480273,0.00039515685057267547,4.760796400660183e-06,0.0,46
13,650,0.0006504289922304451,0.00030642381170764565,0.0003387264150660485,5.2787709137192e-06,0.0,47,0.00036339715006761253,0.0001383689814247191,0.0002198510046582669,5.1771762628050055e-06,0.0,50,0.0006411603535525501,0.00020485377172008157,0.00043193716555833817,4.36943946624524e-06,0.0,50,0.0008411872549913824,0.00047646567691117525,0.0003598076873458922,4.91387618239969e-06,0.0,45
14,700,0.0005908720777370036,0.00027532700914889574,0.0003101767797488719,5.368292022467358e-06,0.0,45,0.000321278756018728,0.00012003057781839743,0.00019592573517002165,5.322463493939722e-06,0.0,50,0.0005817800993099809,0.00016129294817801565,0.0004158899246249348,4.597225597535726e-06,0.0,47,0.0007604924030601978,0.00042399356607347727,0.00033150039962492883,4.998434178560274e-06,0.0,44
