,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1
0,0,0.6563382148742676,0.6563382148742676,0.0,0.0,0.0,60,0.8033312559127808,0.8033312559127808,0.0,0.0,0.0,60
1,50,0.04777258634567261,0.04777258634567261,0.0,0.0,0.0,60,0.06791988015174866,0.06791988015174866,0.0,0.0,0.0,60
2,100,0.0221526138484478,0.0221526138484478,0.0,0.0,0.0,60,0.019306505098938942,0.019306505098938942,0.0,0.0,0.0,60
3,150,0.018137983977794647,0.018137983977794647,0.0,0.0,0.0,60,0.007892424240708351,0.007892424240708351,0.0,0.0,0.0,60
4,200,0.016466174274683,0.016466174274683,0.0,0.0,0.0,60,0.0039801518432796,0.0039801518432796,0.0,0.0,0.0,60
5,250,0.015380657278001308,0.015380657278001308,0.0,0.0,0.0,60,0.0026591885834932327,0.0026591885834932327,0.0,0.0,0.0,60
6,300,0.014460601843893528,0.014460601843893528,0.0,0.0,0.0,60,0.002119387499988079,0.002119387499988079,0.0,0.0,0.0,60
7,350,0.01362032163888216,0.01362032163888216,0.0,0.0,0.0,60,0.0016877702437341213,0.0016877702437341213,0.0,0.0,0.0,60
8,400,0.012831639498472214,0.012831639498472214,0.0,0.0,0.0,60,0.001596266869455576,0.001596266869455576,0.0,0.0,0.0,60
9,450,0.011999351903796196,0.011999351903796196,0.0,0.0,0.0,60,0.0012537960428744555,0.0012537960428744555,0.0,0.0,0.0,60
10,500,0.007911032997071743,0.007911032997071743,0.0,0.0,0.0,60,0.0010715272510424256,0.0010715272510424256,0.0,0.0,0.0,60
11,550,0.005950162652879953,0.005950162652879953,0.0,0.0,0.0,60,0.0008967596804723144,0.0008967596804723144,0.0,0.0,0.0,60
12,600,0.004567047581076622,0.004567047581076622,0.0,0.0,0.0,60,0.000716906797606498,0.000716906797606498,0.0,0.0,0.0,60
13,650,0.0037195386830717325,0.0037195386830717325,0.0,0.0,0.0,60,0.0005736008170060813,0.0005736008170060813,0.0,0.0,0.0,60
14,700,0.0032634236849844456,0.0032634236849844456,0.0,0.0,0.0,60,0.0005273493006825447,0.0005273493006825447,0.0,0.0,0.0,60
15,750,0.0028858876321464777,0.0028858876321464777,0.0,0.0,0.0,60,0.0003793465730268508,0.0003793465730268508,0.0,0.0,0.0,60
16,800,0.002654504729434848,0.002654504729434848,0.0,0.0,0.0,60,0.0003118902677670121,0.0003118902677670121,0.0,0.0,0.0,60
17,850,0.002488498343154788,0.002488498343154788,0.0,0.0,0.0,60,0.0002691810659598559,0.0002691810659598559,0.0,0.0,0.0,60
18,900,0.0022603014949709177,0.0022603014949709177,0.0,0.0,0.0,60,0.00024771213065832853,0.00024771213065832853,0.0,0.0,0.0,60
19,950,0.0020510898903012276,0.0020510898903012276,0.0,0.0,0.0,60,0.000212001075851731,0.000212001075851731,0.0,0.0,0.0,60
20,1000,0.0018139174208045006,0.0018139174208045006,0.0,0.0,0.0,60,0.0001868948747869581,0.0001868948747869581,0.0,0.0,0.0,60
21,1050,0.0016074363375082612,0.0016074363375082612,0.0,0.0,0.0,60,0.00021328545699361712,0.00021328545699361712,0.0,0.0,0.0,60
22,1100,0.0014020882081240416,0.0014020882081240416,0.0,0.0,0.0,60,0.0001595314242877066,0.0001595314242877066,0.0,0.0,0.0,60
23,1150,0.0012264454271644354,0.0012264454271644354,0.0,0.0,0.0,60,0.00014511027256958187,0.00014511027256958187,0.0,0.0,0.0,60
24,1200,0.0010756599949672818,0.0010756599949672818,0.0,0.0,0.0,60,0.00013689734623767436,0.00013689734623767436,0.0,0.0,0.0,60
25,1250,0.0009470288641750813,0.0009470288641750813,0.0,0.0,0.0,60,0.00012614189472515136,0.00012614189472515136,0.0,0.0,0.0,60
26,1300,0.0009092341060750186,0.0009092341060750186,0.0,0.0,0.0,60,0.0001522113016108051,0.0001522113016108051,0.0,0.0,0.0,60
27,1350,0.0008128576446324587,0.0008128576446324587,0.0,0.0,0.0,60,0.00011507253657327965,0.00011507253657327965,0.0,0.0,0.0,60
28,1400,0.0007342628668993711,0.0007342628668993711,0.0,0.0,0.0,60,0.00011495735816424713,0.00011495735816424713,0.0,0.0,0.0,60
