,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,total_9,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9
0,0,0.04011152684688568,0.03885026276111603,0.0012512672692537308,9.999999747378752e-06,0.0,60,0.03356017917394638,0.0326177217066288,0.0009324580896645784,9.999999747378752e-06,0.0,60,0.03537781536579132,0.03431932255625725,0.0010484952945262194,9.999999747378752e-06,0.0,60,0.03871281072497368,0.03740524873137474,0.0012975640129297972,9.999999747378752e-06,0.0,60,0.030478326603770256,0.0292647834867239,0.001203541993163526,9.999999747378752e-06,0.0,60,0.04212725907564163,0.041075024753808975,0.0010422358755022287,9.999999747378752e-06,0.0,60,0.04103013500571251,0.040000658482313156,0.0010194790083914995,9.999999747378752e-06,0.0,60,0.04067573323845863,0.03842013701796532,0.002245596144348383,9.999999747378752e-06,0.0,60,0.04227682948112488,0.040373679250478745,0.0018931508529931307,9.999999747378752e-06,0.0,60,0.03441153094172478,0.033328454941511154,0.0010730766225606203,9.999999747378752e-06,0.0,60
1,50,0.0019105157116428018,0.0010306185577064753,0.0008724004728719592,7.496677881135838e-06,0.0,60,0.0016328252386301756,0.0009636065224185586,0.0006625935202464461,6.625245532632107e-06,0.0,60,0.00250453082844615,0.0016893554711714387,0.0008082530694082379,6.92237608745927e-06,0.0,60,0.002080087084323168,0.0011469068704172969,0.0009260306833311915,7.149448720156215e-06,0.0,60,0.001920177135616541,0.0009759004460647702,0.0009364680736325681,7.808637747075409e-06,0.0,60,0.002033813623711467,0.0011496058432385325,0.0008765201200731099,7.68770132708596e-06,0.0,60,0.0014722084160894156,0.0008829322759993374,0.0005811558803543448,8.120225174934603e-06,0.0,60,0.004033118952065706,0.0020830051507800817,0.0019425322534516454,7.5813168223248795e-06,0.0,60,0.0030121339950710535,0.001521092839539051,0.0014837865019217134,7.254826414282434e-06,0.0,60,0.0026827941183000803,0.0018915756372734904,0.0007837682496756315,7.45032002669177e-06,0.0,60
2,100,0.0006695798365399241,0.00036379366065375507,0.00029906659619882703,6.719580142089399e-06,0.0,60,0.0009110082173720002,0.0005723119247704744,0.000332681811414659,6.0144602684886195e-06,0.0,60,0.0006244870601221919,0.00031878717709332705,0.00029960981919430196,6.0900565586052835e-06,0.0,60,0.001057173009030521,0.0005612015374936163,0.0004894582671113312,6.513201242341893e-06,0.0,60,0.0008202354074455798,0.0003225587715860456,0.0004904144443571568,7.26217058399925e-06,0.0,60,0.0007137498469091952,0.00037860541488043964,0.0003279870143160224,7.157414984249044e-06,0.0,60,0.000759707938414067,0.0003988639509771019,0.0003532365954015404,7.607390216435306e-06,0.0,60,0.0016541440272703767,0.0007610945613123477,0.0008863704279065132,6.679117632302223e-06,0.0,60,0.001269234111532569,0.0006958364392630756,0.0005669121164828539,6.485443009296432e-06,0.0,60,0.000880360312294215,0.00044055082253180444,0.0004330315859988332,6.777901035093237e-06,0.0,60
3,150,0.000445792538812384,0.00023366211098618805,0.0002061508857877925,5.979514753562398e-06,0.0,58,0.0005863196565769613,0.0003740944666787982,0.0002067854074994102,5.439791948447237e-06,0.0,59,0.0004026869428344071,0.00019355968106538057,0.00020383982337079942,5.287432941258885e-06,0.0,54,0.000674545590300113,0.000335839344188571,0.0003327268350403756,5.979392881272361e-06,0.0,59,0.0005230782553553581,0.00022566485858988017,0.00029093166813254356,6.4817127167771105e-06,0.0,60,0.0004330695082899183,0.00021485004981514066,0.00021166879741940647,6.550651505676797e-06,0.0,60,0.00040863084723241627,0.00021751770691480488,0.0001840929762693122,7.020169960014755e-06,0.0,60,0.000959301192779094,0.000467521051177755,0.0004858852771576494,5.894868081668392e-06,0.0,54,0.0009005647152662277,0.000475328037282452,0.0004194394568912685,5.797237008664524e-06,0.0,56,0.0005369970458559692,0.0002678667369764298,0.00026296457508578897,6.165784270706354e-06,0.0,58
4,200,0.00035649159690365195,0.00017172798106912524,0.00017924446729011834,5.519119895325275e-06,0.0,49,0.0004553341423161328,0.00029021239606663585,0.00016019617032725364,4.925590019411175e-06,0.0,54,0.0003088155935984105,0.00014262119657360017,0.00016148296708706766,4.711424935521791e-06,0.0,47,0.0005328201805241406,0.0002512033679522574,0.0002759605704341084,5.656189387082122e-06,0.0,50,0.0003525475040078163,0.00016000325558707118,0.0001867306127678603,5.813646566821262e-06,0.0,56,0.00035375551669858396,0.0001623638381715864,0.00018545791681390256,5.933773536526132e-06,0.0,57,0.0003310925676487386,0.00016319889982696623,0.00016141503874678165,6.478626346506644e-06,0.0,58,0.0006949557573534548,0.00032620748970657587,0.00036348140565678477,5.266874268272659e-06,0.0,49,0.0007167427684180439,0.000362347811460495,0.00034908411907963455,5.310788765200414e-06,0.0,53,0.00040440651355311275,0.0001984147384064272,0.00020037460490129888,5.6171488722611684e-06,0.0,51
5,250,0.00029305825592018664,0.00012918135325890034,0.0001586607249919325,5.216206318436889e-06,0.0,45,0.0003863582678604871,0.00024093364481814206,0.00014087799354456365,4.546617674350273e-06,0.0,43,0.00025767876650206745,0.00011307404929539189,0.00014043769624549896,4.167029601376271e-06,0.0,42,0.0004404941573739052,0.00020282017067074776,0.00023223580501507968,5.438157586468151e-06,0.0,48,0.0002676527656149119,0.00011750158591894433,0.00014488644956145436,5.264739229460247e-06,0.0,49,0.0003009531938005239,0.0001288943167310208,0.00016669004980940372,5.368820438889088e-06,0.0,51,0.00027981173479929566,0.000132729226606898,0.00014107735478319228,6.005180239299079e-06,0.0,53,0.0005644948105327785,0.0002463258570060134,0.0003134675498586148,4.701394118455937e-06,0.0,43,0.0006172730354592204,0.0003083261544816196,0.0003041104064323008,4.836453172174515e-06,0.0,45,0.0003275922790635377,0.00016027737001422793,0.00016216306539718062,5.151837740413612e-06,0.0,45
6,300,0.00023814747692085803,9.935950947692618e-05,0.00013384094927459955,4.947011348122032e-06,0.0,43,0.0003426965558901429,0.00020861512166447937,0.00012981919280719012,4.26226597483037e-06,0.0,41,0.00022403338516596705,9.345070429844782e-05,0.00012677579070441425,3.806889480983955e-06,0.0,34,0.0003906590864062309,0.00017184135504066944,0.00021357311925385147,5.244620297162328e-06,0.0,45,0.00021831040794495493,8.982873259810731e-05,0.00012356237857602537,4.919292678096099e-06,0.0,41,0.00026871991576626897,0.00011351203283993527,0.00015023662126623094,4.971252110408386e-06,0.0,42,0.00024247533292509615,0.00010930835560429841,0.00012755159696098417,5.615385816781782e-06,0.0,48,0.0005008826847188175,0.00020307209342718124,0.0002935490047093481,4.261533831595443e-06,0.0,36,0.0005589092033915222,0.0002717719180509448,0.00028270611073821783,4.431203251442639e-06,0.0,42,0.00027943160966970026,0.0001300021103816107,0.00014465517597272992,4.774336503032828e-06,0.0,41
7,350,0.0002002851542783901,7.707842451054603e-05,0.00011844289838336408,4.763825018017087e-06,0.0,38,0.0003274794726166874,0.00018978568550664932,0.00013374004629440606,3.95371762351715e-06,0.0,36,0.00019888488168362528,7.69742182455957e-05,0.00011831514711957425,3.5955172279500403e-06,0.0,31,0.00035272815148346126,0.00014929314784239978,0.0001983981637749821,5.036847596784355e-06,0.0,44,0.00018723624816630036,6.772961205570027e-05,0.0001148657756857574,4.640849510906264e-06,0.0,38,0.0002290065895067528,8.67037451826036e-05,0.00013756593398284167,4.736916253023082e-06,0.0,40,0.00022083202202338725,9.291189053328708e-05,0.0001226286549353972,5.291466550261248e-06,0.0,45,0.00043982898932881653,0.00015727388381492347,0.0002785514516290277,4.003679350716993e-06,0.0,32,0.0005094513180665672,0.0002487669698894024,0.00025656819343566895,4.116166564926971e-06,0.0,34,0.00024514016695320606,0.0001026164973154664,0.0001379924942739308,4.5311749090615194e-06,0.0,36
8,400,0.00017955170187633485,6.491845851996914e-05,0.00011004127009073272,4.5919755393697415e-06,0.0,36,0.00030820307438261807,0.00017792085418477654,0.0001265338360099122,3.748365543287946e-06,0.0,35,0.00018295220797881484,6.814898370066658e-05,0.00011138236004626378,3.4208662782475585e-06,0.0,29,0.00032760464819148183,0.00012897017586510628,0.00019381201127544045,4.822447408514563e-06,0.0,41,0.00015845861344132572,4.927435293211602e-05,0.00010479795309947804,4.386309683468426e-06,0.0,34,0.0002030781179200858,6.729439337505028e-05,0.00013122218661010265,4.561531568469945e-06,0.0,37,0.00020596029935404658,7.962618110468611e-05,0.00012129586684750393,5.0382518566038925e-06,0.0,42,0.00041596402297727764,0.0001369865203741938,0.00027513588429428637,3.8416292227339e-06,0.0,30,0.00046227435814216733,0.00022246349544730037,0.00023589798365719616,3.9128858588810544e-06,0.0,33,0.00020257446158211678,7.909521082183346e-05,0.00011913105117855594,4.3481954890012275e-06,0.0,35
9,450,0.00016326653712894768,5.612532186205499e-05,0.00010267232573824003,4.468894530873513e-06,0.0,35,0.00029890614678151906,0.0001699536805972457,0.0001253652444574982,3.5872167245543096e-06,0.0,34,0.0001729070208966732,6.00450839556288e-05,0.0001095481711672619,3.313762363177375e-06,0.0,28,0.0003074666310567409,0.00011425004777265713,0.00018858940165955573,4.6271939027064946e-06,0.0,40,0.00014313304563984275,4.2805248085642233e-05,9.616237366572022e-05,4.165426616964396e-06,0.0,31,0.00018182290659751743,5.4582978918915614e-05,0.00012283278920222074,4.40713938587578e-06,0.0,36,0.00018882472068071365,7.090977305779234e-05,0.00011308638931950554,4.8285537559422664e-06,0.0,38,0.0003963001072406769,0.00012273403990548104,0.00026987542514689267,3.690666062539094e-06,0.0,28,0.0004246560565661639,0.00020187727932352573,0.00021904357708990574,3.7352147046476603e-06,0.0,32,0.00017604307504370809,6.436404510168359e-05,0.00010749897774076089,4.180054475000361e-06,0.0,34
