,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4
0,0,0.3565860390663147,0.3555050790309906,0.0010709402849897742,9.999999747378752e-06,0.0,60,0.34092769026756287,0.3389035165309906,0.0020141724962741137,9.999999747378752e-06,0.0,60,0.36925461888313293,0.36781784892082214,0.0014267570804804564,9.999999747378752e-06,0.0,60,0.3664315640926361,0.3652997612953186,0.0011217760620638728,9.999999747378752e-06,0.0,60,0.39714905619621277,0.3959154188632965,0.001223619794473052,9.999999747378752e-06,0.0,60
1,50,0.01103830523788929,0.010014104656875134,0.001016782596707344,7.417546839860734e-06,0.0,60,0.01883438602089882,0.01653486303985119,0.002291550161316991,7.971798368089367e-06,0.0,60,0.01806400902569294,0.016690684482455254,0.0013660078402608633,7.316934443224454e-06,0.0,60,0.02883920632302761,0.02772756665945053,0.0011032456532120705,8.394238648179453e-06,0.0,60,0.02336987294256687,0.021909493952989578,0.0014529784675687551,7.400318281725049e-06,0.0,60
2,100,0.007193799130618572,0.006291626486927271,0.000895687669981271,6.4847849898796994e-06,0.0,60,0.012075789272785187,0.010110996663570404,0.001957415835931897,7.377114798146067e-06,0.0,60,0.00880373828113079,0.0076616620644927025,0.0011353984009474516,6.6780130509869196e-06,0.0,60,0.008533824235200882,0.007624541874974966,0.0009014910319820046,7.791493771946989e-06,0.0,60,0.005279383156448603,0.004137389827519655,0.0011352866422384977,6.706804924760945e-06,0.0,60
3,150,0.00294154928997159,0.0021348651498556137,0.0008007675060071051,5.916732789046364e-06,0.0,56,0.0062604364939033985,0.004427227657288313,0.0018264196114614606,6.789545750507386e-06,0.0,60,0.004190604668110609,0.0031253425404429436,0.00105925346724689,6.008590389683377e-06,0.0,56,0.005972069222480059,0.00521314051002264,0.0007517097983509302,7.219308827188797e-06,0.0,59,0.00266898050904274,0.0016646352596580982,0.0009979389142245054,6.406281045201467e-06,0.0,60
4,200,0.001732556032948196,0.0010345019400119781,0.0006927071372047067,5.346916168491589e-06,0.0,48,0.003908912651240826,0.002304854104295373,0.001597677357494831,6.3810830397414975e-06,0.0,56,0.0026071832980960608,0.0017110367771238089,0.0008907605661079288,5.386015800468158e-06,0.0,49,0.0020241434685885906,0.0013046644162386656,0.0007130211452022195,6.457724339270499e-06,0.0,58,0.00188840099144727,0.0010003852657973766,0.0008819352951832116,6.080515049688984e-06,0.0,59
5,250,0.0013469961704686284,0.0007541674422100186,0.0005878674564883113,4.961237209499814e-06,0.0,39,0.003211494768038392,0.0017604560125619173,0.0014449906302616,6.048255272617098e-06,0.0,50,0.0020102860871702433,0.001294828369282186,0.0007104939431883395,4.963699666404864e-06,0.0,38,0.0013886938104406,0.0008246164070442319,0.0005582341109402478,5.84319377594511e-06,0.0,49,0.001516190473921597,0.0007972139283083379,0.0007132144528441131,5.762150067312177e-06,0.0,53
6,300,0.0011077928356826305,0.0005736196762882173,0.0005294415750540793,4.731617991637904e-06,0.0,35,0.0027881304267793894,0.001581484219059348,0.001200846047140658,5.799931841465877e-06,0.0,42,0.0017636041156947613,0.0011007714783772826,0.0006581521593034267,4.680438905779738e-06,0.0,33,0.0011083907447755337,0.0006429475033655763,0.0004599494277499616,5.493904154718621e-06,0.0,44,0.0011834694305434823,0.0006601210916414857,0.0005177854327484965,5.562885235121939e-06,0.0,42
7,350,0.0008937998209148645,0.0004101608647033572,0.0004790687817148864,4.570145847537788e-06,0.0,30,0.0022908737882971764,0.0013062796788290143,0.0009790095500648022,5.584663540503243e-06,0.0,41,0.0015777134103700519,0.0009596503805369139,0.0006136214942671359,4.441581040737219e-06,0.0,29,0.0008672118419781327,0.00047011813148856163,0.0003918696311302483,5.224069809628418e-06,0.0,41,0.0009736684733070433,0.0005269169923849404,0.0004413224523887038,5.429006250778912e-06,0.0,39
8,400,0.0007403951021842659,0.00029594238731078804,0.00043996161548420787,4.491106210480211e-06,0.0,28,0.0018896436085924506,0.001028267084620893,0.0008559065754525363,5.4700140026398e-06,0.0,36,0.001385822193697095,0.0008096796809695661,0.0005718577886000276,4.284798251319444e-06,0.0,25,0.000684681290294975,0.00033171355607919395,0.0003479174629319459,5.050265826866962e-06,0.0,38,0.0007962944800965488,0.0003881917509716004,0.0004028550465591252,5.247723947832128e-06,0.0,38
9,450,0.0006344053545035422,0.0002199749869760126,0.00041002104990184307,4.409282155393157e-06,0.0,28,0.001519316341727972,0.0007262213621288538,0.0007877167663536966,5.37812684342498e-06,0.0,33,0.0011709555983543396,0.0006337011582218111,0.0005329379346221685,4.31644275522558e-06,0.0,21,0.0005690027610398829,0.00024774405756033957,0.000316389836370945,4.868893029197352e-06,0.0,35,0.0006567457458004355,0.00027713304734788835,0.0003745552385225892,5.057423550169915e-06,0.0,32
