,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8,total_9,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9,coeff_9
0,0,0.036578793078660965,0.03544872999191284,0.0011296774027869105,3.8686124526066124e-07,0.0,60,0.0,0.03828190267086029,0.037219300866127014,0.0010622174013406038,3.840374347419129e-07,0.0,60,0.0,0.0396282821893692,0.037994902580976486,0.0016329970676451921,3.841947773253196e-07,0.0,60,0.0,0.03305423632264137,0.031943514943122864,0.001110306242480874,4.1387534110981505e-07,0.0,60,0.0,0.037001948803663254,0.035703182220458984,0.001298367977142334,4.0025892644734995e-07,0.0,60,0.0,0.0298322644084692,0.028747791424393654,0.0010841580806300044,3.139292061860033e-07,0.0,60,0.0,0.035600967705249786,0.03438245877623558,0.0012181756319478154,3.325422426314617e-07,0.0,60,0.0,0.039034079760313034,0.038053687661886215,0.0009799770778045058,4.1330054045829456e-07,0.0,60,0.0,0.03788084164261818,0.03612234815955162,0.001758161117322743,3.3315609471173957e-07,0.0,60,0.0,0.03950143977999687,0.038648948073387146,0.0008521243580617011,3.7038415712231654e-07,0.0,60,0.0
1,50,0.0003878307470586151,0.00020974897779524326,0.00017401074001099914,4.071013336215401e-06,0.0,60,0.0,0.00041011927532963455,0.0001882088981801644,0.00021778928930871189,4.1210860217688605e-06,0.0,60,0.0,0.0005276781157590449,0.00024531030794605613,0.000278307416010648,4.060385890625184e-06,0.0,60,0.0,0.00033616862492635846,0.0001985364215215668,0.0001344779593637213,3.1542524538963335e-06,0.0,60,0.0,0.0006230122526176274,0.00027772135217674077,0.0003414865059312433,3.804395419138018e-06,0.0,60,0.0,0.0004538621287792921,0.000251997378654778,0.0001994088088395074,2.455969479342457e-06,0.0,60,0.0,0.0009098434820771217,0.0005477509112097323,0.0003599445626605302,2.147970235455432e-06,0.0,60,0.0,0.0005662134499289095,0.0003844601451419294,0.0001791546819731593,2.5986157652369e-06,0.0,60,0.0,0.000666837440803647,0.0003099109453614801,0.000353730603819713,3.195903445885051e-06,0.0,60,0.0,0.00030986854108050466,0.0001706764887785539,0.00013660913100466132,2.5828946945694042e-06,0.0,60,0.0
2,100,0.00017987056344281882,8.212919055949897e-05,9.24475461943075e-05,5.293829417496454e-06,0.0,56,0.0,0.0002767475671134889,0.00010437861055834219,0.00016700562264304608,5.363332093111239e-06,0.0,55,0.0,0.00026096560759469867,0.00010586129792500287,0.00014971358177717775,5.390713795350166e-06,0.0,54,0.0,0.000146156846312806,7.079070928739384e-05,7.101638038875535e-05,4.349760729382979e-06,0.0,54,0.0,0.00029497031937353313,0.00012195976887596771,0.00016844084893818945,4.5697138375544455e-06,0.0,51,0.0,0.0003011925728060305,0.00012400420382618904,0.00017372268484905362,3.4656804928090423e-06,0.0,49,0.0,0.0006211320287548006,0.00034050087560899556,0.0002779336937237531,2.6974867068929598e-06,0.0,53,0.0,0.00027566181961447,0.00012980542669538409,0.00014217097486834973,3.685426236188505e-06,0.0,50,0.0,0.0003705944400280714,0.00012133199925301597,0.0002449904859531671,4.27196118835127e-06,0.0,50,0.0,9.669911378296092e-05,4.084534157300368e-05,5.179422441869974e-05,4.059546427015448e-06,0.0,54,0.0
3,150,9.843000589171425e-05,3.8528927689185366e-05,5.394018808146939e-05,5.9608928495435975e-06,0.0,51,0.0,0.00021112326066941023,7.184350397437811e-05,0.00013315006799530238,6.12968324276153e-06,0.0,50,0.0,0.0001732260425342247,5.378347123041749e-05,0.00011351400462444872,5.928560767642921e-06,0.0,52,0.0,9.115479042520747e-05,4.66770252387505e-05,3.958898378186859e-05,4.888782768830424e-06,0.0,51,0.0,0.0002042955020442605,7.506045221816748e-05,0.00012446923938114196,4.765813628182514e-06,0.0,48,0.0,0.00026173400692641735,8.331933349836618e-05,0.00017408478015568107,4.329896455601556e-06,0.0,47,0.0,0.0005186708876863122,0.00026978852110914886,0.0002455033827573061,3.3789697226893622e-06,0.0,49,0.0,0.0002117727999575436,9.865772881312296e-05,0.00010865074000321329,4.464320227270946e-06,0.0,44,0.0,0.00034347744076512754,7.815256685717031e-05,0.00026058213552460074,4.7427356548723765e-06,0.0,47,0.0,6.614728044951335e-05,2.6536125005804934e-05,3.514064883347601e-05,4.4705102482112125e-06,0.0,48,0.0
4,200,6.655274046352133e-05,2.483809475961607e-05,3.5270732041681185e-05,6.443915026466129e-06,0.0,48,0.0,0.0001509214926045388,5.249081368674524e-05,9.179990593111143e-05,6.630762072745711e-06,0.0,50,0.0,0.0001411714038113132,3.481631210888736e-05,0.00010020510671893135,6.149990440462716e-06,0.0,49,0.0,6.514756387332454e-05,3.626667239586823e-05,2.3801165298209526e-05,5.079722086520633e-06,0.0,48,0.0,0.00015767484728712589,5.335041350917891e-05,9.94231813820079e-05,4.901245119981468e-06,0.0,47,0.0,0.00017216353444382548,5.2991683332948014e-05,0.00011402389645809308,5.14795328854234e-06,0.0,46,0.0,0.0005077764508314431,0.0002574331301730126,0.0002464640128891915,3.879282303387299e-06,0.0,48,0.0,0.00019070171401835978,9.236359619535506e-05,9.347226296085864e-05,4.8658512241672724e-06,0.0,42,0.0,0.00030253082513809204,6.619386113015935e-05,0.0002313715376658365,4.965432708559092e-06,0.0,46,0.0,4.853361315326765e-05,1.8519573131925426e-05,2.5373619791935198e-05,4.640418865164975e-06,0.0,47,0.0
5,250,5.402736860560253e-05,1.8856577298720367e-05,2.833503094734624e-05,6.835763997514732e-06,0.0,46,0.0,0.00012103508925065398,4.2835119529627264e-05,7.132157770683989e-05,6.878388830955373e-06,0.0,49,0.0,0.00014006787387188524,2.927278183051385e-05,0.00010443116480018944,6.3639281506766565e-06,0.0,48,0.0,5.270688052405603e-05,2.8865517379017547e-05,1.8680406355997548e-05,5.160957243788289e-06,0.0,46,0.0,0.0001468527188990265,5.545460953726433e-05,8.639763109385967e-05,5.000471901439596e-06,0.0,45,0.0,0.00012387910101097077,3.254033435950987e-05,8.563835581298918e-05,5.700404472008813e-06,0.0,43,0.0,0.0004889809060841799,0.00024227668473031372,0.00024256735923700035,4.13684983868734e-06,0.0,46,0.0,0.0001754151307977736,8.19862398202531e-05,8.830765000311658e-05,5.121247795614181e-06,0.0,39,0.0,0.00024054059758782387,6.039525760570541e-05,0.0001750850206008181,5.060317562310956e-06,0.0,46,0.0,3.814975207205862e-05,1.4166944311000407e-05,1.9272616555099376e-05,4.710193934442941e-06,0.0,47,0.0
6,300,4.759206058224663e-05,1.5978972442098893e-05,2.44936381932348e-05,7.119452220649691e-06,0.0,43,0.0,9.843927546171471e-05,3.77961914637126e-05,5.367266567191109e-05,6.970415142859565e-06,0.0,48,0.0,0.0001329530350631103,2.541274079703726e-05,0.00010092609591083601,6.614195626752917e-06,0.0,45,0.0,4.5388907892629504e-05,2.3362938009086065e-05,1.682780566625297e-05,5.198161943553714e-06,0.0,46,0.0,0.000123815712868236,4.536265259957872e-05,7.339172589126974e-05,5.061329375166679e-06,0.0,44,0.0,0.00011197524145245552,2.7665037123369984e-05,7.817753066774458e-05,6.132668204372749e-06,0.0,41,0.0,0.00047126165009103715,0.00022681975679006428,0.00024015623785089701,4.285643171897391e-06,0.0,45,0.0,0.00016305576718878,7.386730430880561e-05,8.394065662287176e-05,5.247813533060253e-06,0.0,39,0.0,0.00019852162222377956,5.413277540355921e-05,0.00013926794053986669,5.120903097122209e-06,0.0,44,0.0,3.142809509881772e-05,1.116464591177646e-05,1.552743196953088e-05,4.7360185817524325e-06,0.0,47,0.0
7,350,4.238725159666501e-05,1.388744840369327e-05,2.1196505258558318e-05,7.303296570171369e-06,0.0,43,0.0,7.887574611231685e-05,3.418057531234808e-05,3.766344525502063e-05,7.031721906969324e-06,0.0,44,0.0,0.00012990062532480806,2.2770394934923388e-05,0.00010042328358395025,6.706944986945018e-06,0.0,44,0.0,5.162217348697595e-05,2.9137319870642386e-05,1.728650568111334e-05,5.198347025725525e-06,0.0,44,0.0,0.00011362195073161274,3.9625105273444206e-05,6.892518285894766e-05,5.071663508715574e-06,0.0,43,0.0,0.00010270900384057313,2.53488433372695e-05,7.091829320415854e-05,6.441870937123895e-06,0.0,40,0.0,0.00047882282524369657,0.00022063132200855762,0.00025377035490237176,4.421131961862557e-06,0.0,42,0.0,0.00015537672152277082,6.935933924978599e-05,8.065986912697554e-05,5.357506324799033e-06,0.0,36,0.0,0.00018276451737619936,4.8508689360460266e-05,0.0001291261287406087,5.129694272909546e-06,0.0,44,0.0,2.804239557008259e-05,8.898744454199914e-06,1.436719685443677e-05,4.7764560804353096e-06,0.0,46,0.0
8,400,3.784041473409161e-05,1.196770608657971e-05,1.845537371991668e-05,7.4173349275952205e-06,0.0,41,0.0,6.875906547065824e-05,3.0358365620486438e-05,3.135958831990138e-05,7.041108347038971e-06,0.0,41,0.0,0.00012341185356490314,1.916930341394618e-05,9.744059934746474e-05,6.801956260460429e-06,0.0,44,0.0,3.550514884409495e-05,1.587784026924055e-05,1.4368671145348344e-05,5.258635155769298e-06,0.0,43,0.0,0.00010816814028657973,3.7164445529924706e-05,6.593311263713986e-05,5.070588485978078e-06,0.0,43,0.0,9.077989670913666e-05,2.365531872783322e-05,6.052992102922872e-05,6.594659680558834e-06,0.0,40,0.0,0.00045649867388419807,0.00020927363948430866,0.0002426793216727674,4.545699539448833e-06,0.0,42,0.0,0.00016164782573468983,7.194188219727948e-05,8.42058434500359e-05,5.50010599909001e-06,0.0,35,0.14285714285714285,0.00017154963279608637,4.3086885852972046e-05,0.00012333382619544864,5.128927114128601e-06,0.0,43,0.0,2.58089439739706e-05,7.48144839235465e-06,1.3520089851226658e-05,4.8074052756419405e-06,0.0,46,0.0
9,450,3.499152444419451e-05,1.1453385923232418e-05,1.6024127035052516e-05,7.51401285015163e-06,0.0,40,0.0,6.400415441021323e-05,2.828206379490439e-05,2.8659167583100498e-05,7.062924851197749e-06,0.0,40,0.0,0.00011178597196703777,1.3913288967160042e-05,9.100128227146342e-05,6.871397545182845e-06,0.0,44,0.0,2.9998389436514117e-05,1.1425161574152298e-05,1.3249884432298131e-05,5.323342975316336e-06,0.0,41,0.0,0.00010463143553351983,3.5930570447817445e-05,6.361855776049197e-05,5.082309144199826e-06,0.0,42,0.0,8.351434371434152e-05,2.2587246348848566e-05,5.4221341997617856e-05,6.705753094138345e-06,0.0,38,0.0,0.0004274174862075597,0.00019845807400997728,0.00022425741190090775,4.701983471022686e-06,0.0,41,0.0,0.00016945306560955942,7.37419759389013e-05,9.010780922835693e-05,5.603272711596219e-06,0.0,35,0.14285714285714285,0.00016354370745830238,3.9166036003734916e-05,0.0001192290146718733,5.148654963704757e-06,0.0,42,0.0,2.4280923753394745e-05,6.719730208715191e-06,1.2731859897030517e-05,4.829332738154335e-06,0.0,45,0.0
