,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3
0,0,0.037362240254879,0.03582703322172165,0.0015347402077168226,4.659598857870151e-07,0.0,60,0.04172556474804878,0.040111806243658066,0.0016132796881720424,4.802102466783253e-07,0.0,60,0.042770642787218094,0.04152364283800125,0.001246570609509945,4.294304858376563e-07,0.0,60,0.03252505511045456,0.03149338439106941,0.0010311956284567714,4.768801886712026e-07,0.0,60
1,50,0.00191742111928761,0.0008359683561138809,0.0010799402371048927,1.5124674064281862e-06,0.0,60,0.0020562470890581608,0.0009023616439662874,0.0011524721048772335,1.4132772321318043e-06,0.0,60,0.0016207185108214617,0.0007226230809465051,0.0008966340101324022,1.4614976180382655e-06,0.0,60,0.0014060678659006953,0.000629090762231499,0.0007757916464470327,1.185405039905163e-06,0.0,60
2,100,0.0005833099130541086,0.0002425666752969846,0.00033806616556830704,2.6770776457851753e-06,0.0,54,0.0006267937715165317,0.00030919801793061197,0.0003151042328681797,2.491515715519199e-06,0.0,47,0.00039268273394554853,0.00018189601541962475,0.0002085101732518524,2.2765555058867903e-06,0.0,51,0.000513833190780133,0.00018775538774207234,0.0003238790377508849,2.198815309384372e-06,0.0,54
3,150,0.000438783026766032,0.00017229313380084932,0.0002634919073898345,2.997987166963867e-06,0.0,50,0.00046217942144721746,0.00022434671700466424,0.0002349850401515141,2.8476588340708986e-06,0.0,41,0.0002536029205657542,0.00011361206270521507,0.00013751600636169314,2.4748417217779206e-06,0.0,42,0.0003132477286271751,0.00013166296412236989,0.00017904101696331054,2.543741175031755e-06,0.0,44
4,200,0.00032448445563204587,0.0001253349764738232,0.00019590045849326998,3.249014753237134e-06,0.0,46,0.00033250529668293893,0.00015139435708988458,0.00017809194105211645,3.0189960398274707e-06,0.0,37,0.0001707070041447878,6.660073267994449e-05,0.00010145407577510923,2.6522045573074138e-06,0.0,36,0.0002476483059581369,0.00010159302473766729,0.00014333799481391907,2.7172650334250648e-06,0.0,38
5,250,0.0002183898031944409,7.016126619419083e-05,0.00014487402222584933,3.3545227324793814e-06,0.0,43,0.0002571805671323091,0.00010420408943900838,0.0001499140344094485,3.0624410101154353e-06,0.0,35,0.00013154809130355716,4.424467260832898e-05,8.455986971966922e-05,2.743542609096039e-06,0.0,29,0.00018990763055626303,6.91819004714489e-05,0.00011788691335823387,2.8388178634486394e-06,0.0,35
6,300,0.0001721325097605586,4.450804408406839e-05,0.00012423736916389316,3.387109245522879e-06,0.0,41,0.00020755495643243194,8.070874173427e-05,0.0001238255645148456,3.020652229679399e-06,0.0,35,0.00011171097139595076,3.2258289138553664e-05,7.666013698326424e-05,2.792551640595775e-06,0.0,28,0.00014437858771998435,4.459352567209862e-05,9.67788218986243e-05,3.0062337827985175e-06,0.0,33
7,350,0.00014645012561231852,3.492584437481128e-05,0.00010818237933563069,3.3419044029869838e-06,0.0,40,0.00017094655777327716,6.555513391504064e-05,0.00010246968304272741,2.9217355859145755e-06,0.0,34,9.081148164113984e-05,2.449399107717909e-05,6.35220276308246e-05,2.7954563392995624e-06,0.0,26,0.00012182573846075684,3.5639412089949474e-05,8.303893991978839e-05,3.1473916806135094e-06,0.0,32
8,400,0.00013357856369111687,3.0233451980166137e-05,0.00010008113167714328,3.2639841265336145e-06,0.0,40,0.00015351285401266068,5.760379644925706e-05,9.305363346356899e-05,2.8554245545819867e-06,0.0,32,8.197917486540973e-05,2.086645872623194e-05,5.8341185649624094e-05,2.7715311716747237e-06,0.0,25,9.702796523924917e-05,2.7147541914018802e-05,6.660945655312389e-05,3.270964043622371e-06,0.0,29
9,450,0.00011676498979795724,2.714793117775116e-05,8.641684689791873e-05,3.2002144507714547e-06,0.0,39,0.00013630412286147475,5.073212741990574e-05,8.276494190795347e-05,2.807054443110246e-06,0.0,32,6.809716433053836e-05,1.6430502000730485e-05,4.891467688139528e-05,2.7519886316440534e-06,0.0,24,8.236455323640257e-05,2.2839351004222408e-05,5.6173274060711265e-05,3.351932036821381e-06,0.0,29
10,500,0.0001106861382140778,2.9559683753177524e-05,7.791995449224487e-05,3.2064995139080565e-06,0.0,38,0.00012308087025303394,4.3710861064027995e-05,7.660163100808859e-05,2.7683788630383788e-06,0.0,32,6.237170600797981e-05,1.4748382454854436e-05,4.4870408601127565e-05,2.7529188173502916e-06,0.0,22,7.184583228081465e-05,2.0388817574712448e-05,4.804022319149226e-05,3.416787194510107e-06,0.0,26
