,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0
0,0,0.03805430606007576,0.036904748529195786,0.001149093033745885,4.6701947553629e-07,0.0,60
1,50,0.0015470966463908553,0.000718850817065686,0.0008269390091300011,1.3067374311503954e-06,0.0,47
2,100,0.0004188243765383959,0.00018283088866155595,0.00023406381660606712,1.929659674715367e-06,0.0,40
3,150,0.0002934683579951525,0.00012373852950986475,0.00016758550191298127,2.144315658370033e-06,0.0,34
4,200,0.0002077157114399597,7.29005187167786e-05,0.000132517670863308,2.2975261799729196e-06,0.0,30
5,250,0.00016720438725315034,4.944076863466762e-05,0.00011534925579326227,2.414373739156872e-06,0.0,29
6,300,0.000142658653203398,3.8642498111585155e-05,0.00010150030720978975,2.515844698791625e-06,0.0,28
7,350,0.00012495701957959682,3.4251585020683706e-05,8.809835708234459e-05,2.6070808871736517e-06,0.0,27
8,400,0.00011524724686751142,3.071213359362446e-05,8.183376485249028e-05,2.701348648770363e-06,0.0,27
9,450,0.00010690689668990672,2.844606751750689e-05,7.567668217234313e-05,2.784144271572586e-06,0.0,26
10,500,9.670690633356571e-05,2.5941237254301086e-05,6.790694169467315e-05,2.8587203360075364e-06,0.0,26
11,550,8.961562707554549e-05,2.399976619926747e-05,6.269531149882823e-05,2.92055028694449e-06,0.0,26
12,600,8.627943316241726e-05,2.278634929098189e-05,6.0535465308930725e-05,2.9576187898783246e-06,0.0,26
13,650,8.611286466475576e-05,2.2640560928266495e-05,6.049385410733521e-05,2.9784496291540563e-06,0.0,25
14,700,8.422064274782315e-05,2.166053127439227e-05,5.954566950094886e-05,3.014440835613641e-06,0.0,25
15,750,8.011990576051176e-05,2.0440716980374418e-05,5.663536649080925e-05,3.0438236535701435e-06,0.0,25
16,800,7.63984426157549e-05,1.990215605474077e-05,5.3428972023539245e-05,3.0673129458591575e-06,0.0,25
17,850,7.692847430007532e-05,2.050644798146095e-05,5.3336279961513355e-05,3.085744992858963e-06,0.0,25
18,900,7.249025657074526e-05,1.9212950064684264e-05,5.0176655349787325e-05,3.1006495646579424e-06,0.0,25
19,950,7.257028482854366e-05,2.010518073802814e-05,4.935099423164502e-05,3.1141109957388835e-06,0.0,25
20,1000,6.917197606526315e-05,2.0249999579391442e-05,4.5796361519023776e-05,3.125612010990153e-06,0.0,25
21,1050,6.885991024319082e-05,1.9291986973257735e-05,4.64334552816581e-05,3.1344695798907196e-06,0.0,24
22,1100,7.133777398848906e-05,1.9998024072265252e-05,4.819842433789745e-05,3.1413283068104647e-06,0.0,24
23,1150,6.570846744580194e-05,1.894488923426252e-05,4.361780156614259e-05,3.1457764180231607e-06,0.0,24
24,1200,6.663671229034662e-05,1.945148869708646e-05,4.4039574277121574e-05,3.145654090985772e-06,0.0,24
25,1250,6.638449849560857e-05,1.8539189113653265e-05,4.4702926970785484e-05,3.1423833206645213e-06,0.0,24
26,1300,5.867000072612427e-05,1.7605614630156197e-05,3.7926245568087325e-05,3.13813757202297e-06,0.0,23
27,1350,5.869005326530896e-05,1.8169779650634155e-05,3.7384241295512766e-05,3.1360309549199883e-06,0.0,23
28,1400,5.711471021641046e-05,1.6747397239669226e-05,3.723019108292647e-05,3.137125531793572e-06,0.0,23
29,1450,5.914480425417423e-05,1.7636650227359496e-05,3.837406984530389e-05,3.1340821351477643e-06,0.0,22
30,1500,5.660421447828412e-05,1.7777214452507906e-05,3.569413456716575e-05,3.132868641841924e-06,0.0,22
31,1550,5.354218592401594e-05,1.784545929695014e-05,3.256967829656787e-05,3.127047875750577e-06,0.0,22
32,1600,5.610051812254824e-05,1.9098497432423756e-05,3.387394463061355e-05,3.1280746952688787e-06,0.0,21
33,1650,5.269446410238743e-05,1.7099349861382507e-05,3.2459331123391166e-05,3.1357847092294833e-06,0.0,21
34,1700,5.3379873861558735e-05,1.891589090519119e-05,3.132086567347869e-05,3.1431186471309047e-06,0.0,21
35,1750,5.154902828508057e-05,1.845195220084861e-05,2.9948925657663494e-05,3.148151790810516e-06,0.0,21
36,1800,5.011901885154657e-05,1.7773747458704747e-05,2.9193552109063603e-05,3.151720648020273e-06,0.0,21
37,1850,4.940734288538806e-05,1.8437467588228174e-05,2.781574585242197e-05,3.154132173222024e-06,0.0,21
38,1900,4.852157144341618e-05,1.753327887854539e-05,2.7834677894134074e-05,3.153613988615689e-06,0.0,21
39,1950,4.9019297875929624e-05,1.8023509255726822e-05,2.7844025680678897e-05,3.1517638490186073e-06,0.0,20
40,2000,4.891414937446825e-05,1.7944721548701636e-05,2.7812107873614877e-05,3.1573174510413082e-06,0.0,20
41,2050,4.766701749758795e-05,1.910177343233954e-05,2.540411878726445e-05,3.1611284612154122e-06,0.0,20
42,2100,4.863554931944236e-05,1.788766894605942e-05,2.75851725746179e-05,3.1627075713913655e-06,0.0,20
43,2150,4.753852408612147e-05,1.929128666233737e-05,2.508602301531937e-05,3.1612153179594316e-06,0.0,20
44,2200,4.939673453918658e-05,2.0003652025479823e-05,2.623583895910997e-05,3.1572453735861927e-06,0.0,20
45,2250,4.466869722818956e-05,1.7644209947320633e-05,2.3864407921792008e-05,3.1600800411979435e-06,0.0,20
46,2300,4.4651937059825286e-05,1.8002641809289344e-05,2.3487142243538983e-05,3.162152324875933e-06,0.0,20
47,2350,4.448397157830186e-05,1.737089769449085e-05,2.394875446043443e-05,3.1643187412555562e-06,0.0,20
48,2400,4.4462951336754486e-05,1.8093893231707625e-05,2.3202464944915846e-05,3.1665956612414448e-06,0.0,20
49,2450,4.266195901436731e-05,1.7419828509446234e-05,2.2074153093853965e-05,3.167978775309166e-06,0.0,20
50,2500,4.139158772886731e-05,1.6774783944129013e-05,2.1447980543598533e-05,3.168820057908306e-06,0.0,20
51,2550,4.091311348020099e-05,1.677410000411328e-05,2.0969278921256773e-05,3.1697338727099122e-06,0.0,20
52,2600,4.0058355807559565e-05,1.6463523934362456e-05,2.0424551621545106e-05,3.1702807063993532e-06,0.0,20
53,2650,4.1211435018340126e-05,1.7404792743036523e-05,2.0636171029764228e-05,3.1704732919024536e-06,0.0,20
54,2700,4.089856520295143e-05,1.7697717339615338e-05,2.0030591258546337e-05,3.170260015394888e-06,0.0,20
