,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4
0,0,0.04008102044463158,0.03863288462162018,0.0014477487420663238,3.8598673768319713e-07,0.0,60,0.036562543362379074,0.035248637199401855,0.001313467975705862,4.412565601796814e-07,0.0,60,0.04001210629940033,0.03893714025616646,0.001074457075446844,5.103169087306014e-07,0.0,60,0.030849788337945938,0.02958647906780243,0.0012627672404050827,5.414081556409656e-07,0.0,60,0.038893599063158035,0.03787947818636894,0.0010136640630662441,4.585143926760793e-07,0.0,60
1,50,0.0019430757965892553,0.0007643545395694673,0.0011773869628086686,1.3343690170586342e-06,0.0,48,0.0014626601478084922,0.0006611915305256844,0.0007999573135748506,1.511352593297488e-06,0.0,44,0.0013028200482949615,0.0006486981874331832,0.0006525139906443655,1.607786998647498e-06,0.0,49,0.001392702222801745,0.0006231852457858622,0.000768066558521241,1.4504153114103246e-06,0.0,55,0.0012835727538913488,0.0006343493005260825,0.0006475934642367065,1.6300704146487988e-06,0.0,50
2,100,0.0006774644134566188,0.00019102390797343105,0.00048437700024805963,2.063535703200614e-06,0.0,38,0.0006506549543701112,0.00017645761545281857,0.0004722820594906807,1.915283064590767e-06,0.0,34,0.0007126624113880098,0.0004244161245878786,0.00028625523555092514,1.9910755781893386e-06,0.0,40,0.000807735719718039,0.0004405138024594635,0.00036492335493676364,2.2985557279753266e-06,0.0,48,0.0005165364709682763,0.00015729102597106248,0.00035703895264305174,2.2064530185161857e-06,0.0,42
3,150,0.0004697142285294831,0.00011043285485357046,0.0003570218395907432,2.2595356767851627e-06,0.0,36,0.0005352795124053955,0.00014094440848566592,0.00039201544132083654,2.3196698748506606e-06,0.0,31,0.0004656479577533901,0.0002647995133884251,0.00019880662148352712,2.0418087842699606e-06,0.0,37,0.00045157031854614615,0.00017647781351115555,0.0002726365637499839,2.455960384395439e-06,0.0,42,0.00040027915383689106,0.0001156063299276866,0.000282095221336931,2.577607801867998e-06,0.0,38
4,200,0.0003794447984546423,7.374004781013355e-05,0.0003031392698176205,2.565483100624988e-06,0.0,32,0.00041617275564931333,0.00012187984975753352,0.0002915514342021197,2.741458274613251e-06,0.0,29,0.00032671174267306924,0.00014211826783139259,0.00018254783935844898,2.0456413949432317e-06,0.0,33,0.0003175533493049443,0.00011242800246691331,0.00020250343368388712,2.621907924549305e-06,0.0,40,0.00030499909189529717,8.407112181885168e-05,0.00021812300838064402,2.8049753382219933e-06,0.0,35
5,250,0.00030792440520599484,4.620781692210585e-05,0.0002589042705949396,2.8123117772338446e-06,0.0,28,0.0003776385565288365,0.00010167587606702,0.00027296016924083233,3.0025216801732313e-06,0.0,28,0.0002601508458610624,9.872775990515947e-05,0.00015935677220113575,2.0663010218413547e-06,0.0,29,0.0002274272555951029,7.055973401293159e-05,0.00015410795458592474,2.7595685878623044e-06,0.0,34,0.00032993819331750274,8.05765375844203e-05,0.0002464147110003978,2.946948370663449e-06,0.0,29
6,300,0.0002653174160514027,3.892378299497068e-05,0.00022342802549246699,2.9655848265974782e-06,0.0,25,0.00023031809541862458,6.778810347896069e-05,0.0001594244095031172,3.105580162809929e-06,0.0,28,0.00021029137133155018,7.067707338137552e-05,0.00013751153892371804,2.1027715320087736e-06,0.0,28,0.00015619151236023754,4.2302359361201525e-05,0.00011110057675978169,2.788566234812606e-06,0.0,31,0.0002172762615373358,5.075592707726173e-05,0.00016355060506612062,2.9697305308218347e-06,0.0,29
7,350,0.00023217005946207792,3.765846122405492e-05,0.00019146518025081605,3.046411393370363e-06,0.0,24,0.00020778289763256907,5.262311970000155e-05,0.0001519978541182354,3.161932681905455e-06,0.0,28,0.00017536332597956061,5.2650411817012355e-05,0.00012056388368364424,2.1490247945621377e-06,0.0,27,0.00012109603267163038,3.0405308280023746e-05,8.792198059381917e-05,2.7687428882927634e-06,0.0,30,0.00019674102077260613,4.924295353703201e-05,0.0001445551897631958,2.9428717880364275e-06,0.0,28
8,400,0.00020272881374694407,3.7701287510572e-05,0.00016191306349355727,3.114455012109829e-06,0.0,24,0.00016861145559232682,4.475512105273083e-05,0.00012066831550328061,3.1880190363153815e-06,0.0,28,0.00014748390822205693,3.961758193327114e-05,0.00010568816651357338,2.178160684707109e-06,0.0,26,0.00010485091479495168,2.2965798052609898e-05,7.91088241385296e-05,2.776296923912014e-06,0.0,29,0.0001720004074741155,4.068088310305029e-05,0.0001284593454329297,2.860176437025075e-06,0.0,28
9,450,0.00018581023323349655,4.038208135170862e-05,0.00014228430518414825,3.143847152387025e-06,0.0,24,0.0001435239682905376,3.612879299907945e-05,0.00010419700993224978,3.198155354766641e-06,0.0,26,0.00012005947064608335,3.454903344390914e-05,8.329740376211703e-05,2.213035941167618e-06,0.0,22,9.550359391141683e-05,2.1431680579553358e-05,7.128621655283496e-05,2.785698598017916e-06,0.0,29,0.00013100098294671625,3.551895133568905e-05,9.27089640754275e-05,2.7730782221624395e-06,0.0,28
