,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5
0,0,0.03751819580793381,0.03665788099169731,0.0008579965215176344,2.3158315798355034e-06,0.0,60,0.04313013702630997,0.04203381761908531,0.0010942212538793683,2.096229991366272e-06,0.0,60,0.03761474788188934,0.03633066639304161,0.0012815628433600068,2.517643224564381e-06,0.0,60,0.03484082967042923,0.03382289037108421,0.001015653251670301,2.2856174837215804e-06,0.0,60,0.04041445255279541,0.03939606249332428,0.0010156870121136308,2.7041687644668855e-06,0.0,60,0.036927130073308945,0.03547987341880798,0.0014448509318754077,2.406419753242517e-06,0.0,60
1,50,0.001994325080886483,0.0012129390379413962,0.0007796293357387185,1.7566561609783093e-06,0.0,60,0.0022277748212218285,0.0012248553102836013,0.0010009995894506574,1.920035401781206e-06,0.0,60,0.0035659638233482838,0.002319131977856159,0.001244654762558639,2.176944917664514e-06,0.0,60,0.0020241672173142433,0.0010998790385201573,0.0009220732608810067,2.2150004497234477e-06,0.0,60,0.0034122071228921413,0.002404936356469989,0.0010051613207906485,2.1094454041303834e-06,0.0,60,0.002968895947560668,0.0016150582814589143,0.001351793296635151,2.0444717847567517e-06,0.0,60
2,100,0.00122716068290174,0.0006185331731103361,0.0006061808671802282,2.4466107788612135e-06,0.0,60,0.0015547197544947267,0.000707997300196439,0.0008441612008027732,2.5612932859075954e-06,0.0,60,0.0018060957081615925,0.0007288895430974662,0.001074508996680379,2.6970540147885913e-06,0.0,60,0.0014247391372919083,0.0007076922338455915,0.0007140687084756792,2.978170414280612e-06,0.0,60,0.001486143097281456,0.0006403226871043444,0.0008431824389845133,2.6379259452369297e-06,0.0,60,0.0017238392028957605,0.0006367617170326412,0.001084508839994669,2.568598574725911e-06,0.0,60
3,150,0.0009668736602179706,0.0004941013175994158,0.0004695675161201507,3.204851964255795e-06,0.0,60,0.0012168370885774493,0.0005613394896499813,0.0006522588082589209,3.23880431096768e-06,0.0,58,0.0010327735217288136,0.0002884020213969052,0.000740937830414623,3.433659912843723e-06,0.0,59,0.0012096744030714035,0.0006135643343441188,0.0005925717414356768,3.538379814926884e-06,0.0,58,0.001044082222506404,0.00048015746870078146,0.0005604662583209574,3.4584802506287815e-06,0.0,60,0.0011441500391811132,0.00032656124676577747,0.0008142240112647414,3.3647113468759926e-06,0.0,60
4,200,0.00046445580665022135,0.00018024849123321474,0.00028016374562866986,4.0435552364215255e-06,0.0,60,0.0006964404601603746,0.00025671336334198713,0.0004358315491117537,3.89556498703314e-06,0.0,58,0.0007956158951856196,0.0002160346630262211,0.0005755027523264289,4.078479832969606e-06,0.0,59,0.0009987186640501022,0.000518278160598129,0.0004762931785080582,4.1472685552435e-06,0.0,58,0.0005747416289523244,0.00019641390827018768,0.0003741614636965096,4.166242888459237e-06,0.0,60,0.0008077319362200797,0.00023343521752394736,0.0005704244249500334,3.872255092574051e-06,0.0,60
5,250,0.0003288289299234748,0.0001176075529656373,0.0002066873712465167,4.534005711320788e-06,0.0,59,0.0004551897873170674,0.0001316838024649769,0.00031903130002319813,4.474688921618508e-06,0.0,57,0.0005743754445575178,0.0001701044966466725,0.0003995979786850512,4.672995601140428e-06,0.0,57,0.0006656734622083604,0.0002485573058947921,0.00041252211667597294,4.59402690466959e-06,0.0,57,0.0004226610471960157,0.00015063316095620394,0.0002671434194780886,4.884477675659582e-06,0.0,59,0.0006784038268961012,0.0001831389090511948,0.0004909830749966204,4.281821475160541e-06,0.0,58
6,300,0.00027588155353441834,9.208920528180897e-05,0.00017901425599120557,4.778094989887904e-06,0.0,59,0.00035632160142995417,0.00010072955774376169,0.0002507373283151537,4.854710368817905e-06,0.0,57,0.0004579373635351658,0.00013699846749659628,0.0003158355539198965,5.103359853819711e-06,0.0,57,0.0005336360773071647,0.0001563305704621598,0.0003723381960298866,4.967353106621886e-06,0.0,57,0.000344921340001747,0.00012253366003278643,0.00021702439698856324,5.363287982618203e-06,0.0,59,0.0005814795731566846,0.0001659362023929134,0.00041087172576226294,4.6716131691937335e-06,0.0,58
7,350,0.0002360586659051478,7.602015830343589e-05,0.0001550174638396129,5.021043762098998e-06,0.0,59,0.0003052606189157814,8.462760888505727e-05,0.00021543796174228191,5.195051471673651e-06,0.0,54,0.0003881143347825855,0.00010921665671048686,0.00027349486481398344,5.402792339737061e-06,0.0,56,0.00045525497989729047,0.00013030279660597444,0.0003195407334715128,5.411437086877413e-06,0.0,57,0.0002940989506896585,0.0001007826067507267,0.00018754106713458896,5.775267254648497e-06,0.0,58,0.0004516719200182706,0.00016255586524493992,0.00028407026547938585,5.045780198997818e-06,0.0,57
8,400,0.0001966706186067313,5.976945976726711e-05,0.0001316329144174233,5.268239874567371e-06,0.0,59,0.0002636173740029335,7.358815491897985e-05,0.00018452575022820383,5.503476586454781e-06,0.0,54,0.00032677833223715425,9.041472367243841e-05,0.00023071271425578743,5.650897037412506e-06,0.0,56,0.0003597092581912875,0.00012459364370442927,0.00022926260135136545,5.853000857314328e-06,0.0,57,0.00025630954769439995,8.543914736947045e-05,0.00016473911819048226,6.131280315457843e-06,0.0,58,0.0003971800615545362,0.0001453173899790272,0.000246545736445114,5.316940587363206e-06,0.0,57
9,450,0.000160696727107279,4.5060518459649757e-05,0.00011013497714884579,5.501229679794051e-06,0.0,59,0.0002327774855075404,6.499219307443127e-05,0.0001620351104065776,5.750172022089828e-06,0.0,53,0.0002657878212630749,7.211527554318309e-05,0.0001877262839116156,5.94625316807651e-06,0.0,56,0.00030947168124839664,0.00011336630268488079,0.00018999347230419517,6.111910806794185e-06,0.0,56,0.00022959240595810115,7.274238305399194e-05,0.00015041585720609874,6.434162060031667e-06,0.0,57,0.0003449360083322972,0.00012220347707625479,0.00021718218340538442,5.550371042772895e-06,0.0,56
