,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0,0.036704033613204956,0.03553329408168793,0.0011697605950757861,9.809193670662353e-07,0.0,60,0.0
1,50,0.004525415599346161,0.0033588972873985767,0.00116617267485708,3.4550873806438176e-07,0.0,60,0.0
2,100,0.0021779867820441723,0.0012261515948921442,0.0009501543827354908,1.6807448446343187e-06,0.0,37,0.0
3,150,0.0011965101584792137,0.000635862466879189,0.0005585012258961797,2.1464818473759806e-06,0.0,29,0.0
4,200,0.0008684027125127614,0.00039191596442833543,0.0004742482560686767,2.2384838302969e-06,0.0,22,0.14285714285714285
5,250,0.0006955828284844756,0.00028132714214734733,0.0004118132055737078,2.4424921321042348e-06,0.0,19,0.14285714285714285
6,300,0.0005806483095511794,0.00023114429495763034,0.00034681838587857783,2.6856334898184286e-06,0.0,18,0.2857142857142857
7,350,0.00041819256148301065,0.00020682124886661768,0.00020856139599345624,2.8099059363739798e-06,0.0,17,0.42857142857142855
8,400,0.0003593869332689792,0.00017302051128353924,0.00018353629275225103,2.8301437851041555e-06,0.0,15,0.42857142857142855
9,450,0.0003292975015938282,0.00015476299449801445,0.00017172846128232777,2.806041720759822e-06,0.0,14,0.5714285714285714
10,500,0.0003105232899542898,0.00014290316903498024,0.0001648353791097179,2.784747493933537e-06,0.0,14,0.5714285714285714
11,550,0.00029702408937737346,0.00013358439900912344,0.0001606682490091771,2.7714556836144766e-06,0.0,14,0.5714285714285714
12,600,0.00028546067187562585,0.00012563665222842246,0.00015705953410360962,2.764485316220089e-06,0.0,14,0.5714285714285714
13,650,0.0002728348190430552,0.00011763345537474379,0.0001524377439636737,2.763613338174764e-06,0.0,14,0.5714285714285714
14,700,0.00025870773242786527,0.00010864635987672955,0.0001472972217015922,2.7641563065117225e-06,0.0,14,0.5714285714285714
15,750,0.000244058552198112,9.834398952079937e-05,0.00014292655396275222,2.7880041670869105e-06,0.0,13,0.5714285714285714
16,800,0.00022952169820200652,8.789399726083502e-05,0.00013884347572457045,2.7842352210427634e-06,0.0,13,0.5714285714285714
17,850,0.00021665019448846579,7.817716686986387e-05,0.0001356990251224488,2.7740047698898707e-06,0.0,12,0.5714285714285714
18,900,0.00020534673240035772,6.945207860553637e-05,0.00013310207577887923,2.792569603116135e-06,0.0,11,0.5714285714285714
19,950,0.000194175387150608,6.122170452727005e-05,0.0001301387237617746,2.8149613626737846e-06,0.0,11,0.5714285714285714
20,1000,0.00018451144569553435,5.539258927456103e-05,0.00012628025433514267,2.838601176335942e-06,0.0,11,0.5714285714285714
21,1050,0.00017629515787120908,5.1242659537820145e-05,0.000122190045658499,2.8624492642848054e-06,0.0,11,0.5714285714285714
22,1100,0.00016690373013261706,4.785571582033299e-05,0.00011616047413554043,2.887541540985694e-06,0.0,11,0.5714285714285714
23,1150,0.00015905853069853038,4.4942837121197954e-05,0.00011120219278382137,2.9134937449271092e-06,0.0,11,0.5714285714285714
24,1200,0.0001590266329003498,4.8610902013024315e-05,0.00010747274791356176,2.9429729693219997e-06,0.0,11,0.5714285714285714
25,1250,0.00014889983867760748,4.162588084000163e-05,0.00010429893154650927,2.9750256089755567e-06,0.0,11,0.5714285714285714
26,1300,0.00014494970673695207,4.0308161260327324e-05,0.00010163510887650773,3.006441829711548e-06,0.0,11,0.5714285714285714
27,1350,0.0001408070675097406,3.898686190950684e-05,9.87830208032392e-05,3.0371859338629292e-06,0.0,11,0.5714285714285714
28,1400,0.00013924769882578403,3.9517217373941094e-05,9.666333789937198e-05,3.067146053581382e-06,0.0,11,0.5714285714285714
29,1450,0.00013426944497041404,3.6740151699632406e-05,9.443264571018517e-05,3.0966436952439835e-06,0.0,11,0.5714285714285714
30,1500,0.00013150023005437106,3.58700162905734e-05,9.250450239051133e-05,3.125705234197085e-06,0.0,11,0.5714285714285714
31,1550,0.00012943804904352874,3.49305773852393e-05,9.135319851338863e-05,3.1542797387373867e-06,0.0,11,0.5714285714285714
32,1600,0.00012953502300661057,3.6065892345504835e-05,9.028661588672549e-05,3.1825186397327343e-06,0.0,11,0.5714285714285714
33,1650,0.00012944682384841144,3.647548510343768e-05,8.976093522505835e-05,3.2103935154736973e-06,0.0,11,0.5714285714285714
34,1700,0.00012547403457574546,3.2848762202775106e-05,8.937361417338252e-05,3.251656835345784e-06,0.0,10,0.5714285714285714
35,1750,0.00012453310773707926,3.206625842722133e-05,8.91854870133102e-05,3.281365934526548e-06,0.0,10,0.5714285714285714
36,1800,0.00012198057811474428,3.170962736476213e-05,8.696559962118044e-05,3.3053543120331597e-06,0.0,10,0.5714285714285714
37,1850,0.00012107125803595409,3.1262945412890986e-05,8.648348011774942e-05,3.324832277940004e-06,0.0,10,0.5714285714285714
38,1900,0.0001207277164212428,3.1326329917646945e-05,8.605862240074202e-05,3.34276433022751e-06,0.0,10,0.5714285714285714
39,1950,0.00012008823978248984,3.1047864467836916e-05,8.568046177970245e-05,3.3599164908082457e-06,0.0,10,0.5714285714285714
40,2000,0.00012092904944438487,3.0767350835958496e-05,8.673938282299787e-05,3.4223164675495354e-06,0.0,9,0.5714285714285714
