,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0.0,0.03479082137346268,0.0008462300174869597,9.999999747378752e-06,0.0,60,0.0
1,50.0,0.000524815171957016,0.00015523504407610744,7.808868758729659e-06,0.0,58,0.0
2,100.0,0.00030779524240642786,0.00011147790792165324,6.849651072116103e-06,0.0,54,0.0
3,150.0,0.00018867380276788026,0.00010033802391262725,6.152054083941039e-06,0.0,44,0.14285714285714285
4,200.0,0.00011949306644964963,8.661435276735574e-05,6.7359865170146804e-06,0.0,41,0.14285714285714285
5,250.0,9.153488645097241e-05,7.658026879653335e-05,7.491927135561127e-06,0.0,38,0.2857142857142857
6,300.0,7.649943290743977e-05,7.025842933217064e-05,8.057522791204974e-06,0.0,37,0.2857142857142857
7,350.0,6.724488775944337e-05,5.977797991363332e-05,8.515961781085934e-06,0.0,37,0.2857142857142857
8,400.0,5.9349800721975043e-05,4.84207303088624e-05,8.904404239729047e-06,0.0,37,0.2857142857142857
9,450.0,5.613927714875899e-05,4.0587336116004735e-05,9.30070109461667e-06,0.0,37,0.2857142857142857
10,500.0,5.511852214112878e-05,3.862832818413153e-05,9.694485925137997e-06,0.0,37,0.2857142857142857
11,550.0,5.2706287533510476e-05,3.4147185942856595e-05,9.959589988284279e-06,0.0,37,0.2857142857142857
12,600.0,4.898902989225462e-05,3.575525261112489e-05,1.0151596143259667e-05,0.0,33,0.2857142857142857
13,650.0,5.0490954890847206e-05,3.071253377129324e-05,1.033437092701206e-05,0.0,32,0.42857142857142855
14,700.0,4.0748629544395953e-05,2.972550100821536e-05,1.0523262062633876e-05,0.0,32,0.42857142857142855
15,750.0,3.347245728946291e-05,2.6617248295224272e-05,1.0658394785423297e-05,0.0,30,0.42857142857142855
16,800.0,2.9252089007059112e-05,1.930885628098622e-05,1.0759130418591667e-05,0.0,29,0.42857142857142855
17,850.0,2.2947966499486938e-05,1.5898691344773397e-05,1.0881057278311346e-05,0.0,29,0.42857142857142855
18,900.0,2.1099634977872483e-05,1.3777083040622529e-05,1.0999974620062858e-05,0.0,29,0.42857142857142855
19,950.0,1.8645858290256e-05,1.247140062332619e-05,1.10859737105784e-05,0.0,29,0.42857142857142855
