,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0,0.03957650065422058,0.03873034194111824,0.0008456837385892868,4.757848728331737e-07,0.0,60,0.0
1,50,0.0004080843355040997,0.00026255796547047794,0.0001421328925061971,3.393481620150851e-06,0.0,60,0.0
2,100,0.00018385097791906446,0.00010030855628428981,7.865786756156012e-05,4.884554982709233e-06,0.0,52,0.0
3,150,0.00011916364019270986,5.5530425015604123e-05,5.7588855270296335e-05,6.044356268830597e-06,0.0,49,0.0
4,200,8.171518129529431e-05,3.180277781211771e-05,4.3101957999169827e-05,6.810451395722339e-06,0.0,45,0.0
5,250,5.936097659287043e-05,2.050487273663748e-05,3.147650204482488e-05,7.379598628176609e-06,0.0,43,0.14285714285714285
6,300,4.671557690016925e-05,1.4756528798898216e-05,2.417474752292037e-05,7.784301487845369e-06,0.0,43,0.14285714285714285
7,350,3.8838941691210493e-05,1.1330039342283271e-05,1.937143679242581e-05,8.137464647006709e-06,0.0,41,0.14285714285714285
8,400,3.4447126381564885e-05,9.710520316730253e-06,1.6312633306370117e-05,8.423971848969813e-06,0.0,39,0.14285714285714285
9,450,3.0335762858157977e-05,7.593637747049797e-06,1.4117286809778307e-05,8.624838301329874e-06,0.0,38,0.14285714285714285
10,500,2.8011418180540204e-05,6.877190116938436e-06,1.2356092156551313e-05,8.778134542808402e-06,0.0,37,0.14285714285714285
11,550,2.765769386314787e-05,7.465253474947531e-06,1.1322530554025434e-05,8.869908015185501e-06,0.0,36,0.14285714285714285
12,600,2.508163743186742e-05,5.839040113642113e-06,1.032190539262956e-05,8.920691470848396e-06,0.0,34,0.14285714285714285
13,650,2.4397126253461465e-05,5.821333161293296e-06,9.617105206416454e-06,8.958688340499066e-06,0.0,34,0.14285714285714285
14,700,2.1984324121149257e-05,4.021905169793172e-06,8.941868145484477e-06,9.020550351124257e-06,0.0,33,0.14285714285714285
15,750,2.1312542230589315e-05,3.85752173315268e-06,8.412875104113482e-06,9.042146302817855e-06,0.0,32,0.14285714285714285
16,800,2.1477699192473665e-05,4.395706127979793e-06,8.029251148400363e-06,9.05274191609351e-06,0.0,32,0.14285714285714285
17,850,2.0077010049135424e-05,3.4192482871731045e-06,7.588126209157053e-06,9.069635780178942e-06,0.0,31,0.14285714285714285
18,900,2.0601759388227947e-05,4.2614765334292315e-06,7.292692316696048e-06,9.047590538102668e-06,0.0,31,0.14285714285714285
19,950,1.9461873307591304e-05,3.4517281619628193e-06,6.997988293733215e-06,9.012157534016296e-06,0.0,31,0.14285714285714285
20,1000,1.9997552954009734e-05,4.260441983205965e-06,6.759996722394135e-06,8.977114703156985e-06,0.0,31,0.14285714285714285
