,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8,total_9,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9,coeff_9
0,0,0.040343791246414185,0.03930267319083214,0.0010406705550849438,4.4709781832352746e-07,0.0,60,0.0,0.035091582685709,0.03378744050860405,0.0013036426389589906,5.000912892683118e-07,0.0,60,0.0,0.03928655758500099,0.03794551268219948,0.0013406071811914444,4.354624820734898e-07,0.0,60,0.0,0.03589930757880211,0.03475968539714813,0.001139192609116435,4.2749195472424617e-07,0.0,60,0.0,0.037524111568927765,0.03568162024021149,0.0018419446423649788,5.490294938681473e-07,0.0,60,0.0,0.03678227588534355,0.03559054061770439,0.0011912343325093389,5.007260597267305e-07,0.0,60,0.0,0.043759871274232864,0.041771452873945236,0.00198793294839561,4.833234470424941e-07,0.0,60,0.0,0.03852023184299469,0.036757759749889374,0.0017619321588426828,5.412047130448627e-07,0.0,60,0.0,0.042402252554893494,0.04103292152285576,0.0013687580358237028,5.754498033638811e-07,0.0,60,0.0,0.03649454563856125,0.03511720523238182,0.0013768995413556695,4.4103279606133583e-07,0.0,60,0.0
1,50,0.0008936910890042782,0.0006081649335101247,0.00028270130860619247,2.8248414309928194e-06,0.0,60,0.0,0.0010553650790825486,0.0007110569858923554,0.0003421924775466323,2.1156363345653517e-06,0.0,60,0.0,0.0009719877270981669,0.0006916361744515598,0.00027818503440357745,2.166490276067634e-06,0.0,60,0.0,0.0007132227765396237,0.00042820649105124176,0.0002816772030200809,3.3390879252692685e-06,0.0,60,0.0,0.0013952116714790463,0.0008800160139799118,0.0005121664144098759,3.0292599149106536e-06,0.0,60,0.0,0.0008911336772143841,0.0005970321944914758,0.00029127608286216855,2.8253950858925236e-06,0.0,60,0.0,0.0016336534172296524,0.0010700559942051768,0.0005609275540336967,2.6699026420828886e-06,0.0,60,0.0,0.001836251700296998,0.0008111550705507398,0.0010210524778813124,4.044142769998871e-06,0.0,60,0.0,0.0007156999199651182,0.0003841023426502943,0.0003286216233391315,2.975974894070532e-06,0.0,60,0.0,0.000695863098371774,0.0003122525231447071,0.00037979776971042156,3.812786872003926e-06,0.0,60,0.0
2,100,0.000349093897966668,0.0001724279427435249,0.00017289120296481997,3.774739980144659e-06,0.0,53,0.0,0.00040745368460193276,0.00024794714408926666,0.0001565568963997066,2.949656391137978e-06,0.0,53,0.0,0.00036579862353391945,0.0002206571662100032,0.00014224398182705045,2.897486865549581e-06,0.0,49,0.0,0.00022956209431868047,0.00010856700100703165,0.00011642277968348935,4.572312263917411e-06,0.0,53,0.0,0.0005621489253826439,0.0002839868247974664,0.00027480462449602783,3.357456762387301e-06,0.0,55,0.0,0.00029507241561077535,0.00014926189032848924,0.00014157427358441055,4.236265340296086e-06,0.0,53,0.0,0.0007194834761321545,0.0003997432067990303,0.00031619705259799957,3.5432396998658078e-06,0.0,52,0.0,0.0004497160261962563,0.00022206074208952487,0.0002224517083959654,5.20356161359814e-06,0.0,57,0.0,0.00029272426036186516,0.00012401212006807327,0.0001642664719838649,4.445681497600162e-06,0.0,50,0.0,0.00026777974562719464,0.00013647309970110655,0.00012624885130207986,5.057778253103606e-06,0.0,58,0.0
3,150,0.00022694907966069877,8.902650733944029e-05,0.00013334257528185844,4.579997494147392e-06,0.0,47,0.0,0.00021642564388457686,0.0001173764030681923,9.517309808870777e-05,3.87614818464499e-06,0.0,48,0.0,0.00020531864720396698,0.00010442043276270851,9.716548083815724e-05,3.7327438349166187e-06,0.0,45,0.0,0.00013228099851403385,6.12866206211038e-05,6.58106873743236e-05,5.183691428101156e-06,0.0,49,0.0,0.00033987019560299814,0.0001631837076274678,0.00017238907457794994,4.297423402022105e-06,0.0,48,0.0,0.00016915482410695404,8.353679731953889e-05,8.053048804868013e-05,5.0875455599452835e-06,0.0,47,0.0,0.0004361614119261503,0.00020564468286465853,0.0002259610191686079,4.555712621368002e-06,0.0,45,0.0,0.0002596686827018857,0.0001201870763907209,0.00013397626753430814,5.505334684130503e-06,0.0,53,0.0,0.00018332219042349607,8.25016904855147e-05,9.488169598625973e-05,5.938794856774621e-06,0.0,47,0.0,0.00016485211381223053,7.775426638545468e-05,8.114102092804387e-05,5.956821951258462e-06,0.0,53,0.0
4,200,0.00016606214921921492,5.484171197167598e-05,0.00010610009485390037,5.120340574649163e-06,0.0,46,0.0,0.00014595648099202663,7.52318519516848e-05,6.633056909777224e-05,4.394058578327531e-06,0.0,44,0.0,0.00013773002137895674,6.652349111391231e-05,6.69664514134638e-05,4.240077487338567e-06,0.0,41,0.0,9.067988867172971e-05,3.8640471757389605e-05,4.6556571760447696e-05,5.482851065607974e-06,0.0,47,0.0,0.0002219442103523761,0.00010139124788111076,0.00011555130186025053,5.001668796467129e-06,0.0,45,0.0,0.00011221884051337838,5.5373897339450195e-05,5.130698627908714e-05,5.537956894841045e-06,0.0,44,0.0,0.0002950355119537562,0.0001342094037681818,0.0001556126371724531,5.213447821006412e-06,0.0,40,0.0,0.0001678422704571858,7.163472037063912e-05,9.007220069179311e-05,6.135345756774768e-06,0.0,49,0.0,0.00011564091255422682,4.976382479071617e-05,5.90892304899171e-05,6.787859547330299e-06,0.0,45,0.0,0.00010627982555888593,4.1954433982027695e-05,5.7736509916139767e-05,6.588883934455225e-06,0.0,51,0.0
5,250,0.00013357320858631283,3.9486945752287284e-05,8.864483970683068e-05,5.441433586383937e-06,0.0,45,0.0,0.00011282585182925686,5.433804471977055e-05,5.377350316848606e-05,4.714305305242306e-06,0.0,44,0.0,0.00010604110866552219,4.6849319915054366e-05,5.472168049891479e-05,4.470107342058327e-06,0.0,39,0.0,7.297499541891739e-05,2.961183781735599e-05,3.76843054255005e-05,5.678849447576795e-06,0.0,46,0.0,0.00016524497186765075,6.448344356613234e-05,9.540405153529719e-05,5.357474947231822e-06,0.0,45,0.0,8.573725062888116e-05,4.0899347368394956e-05,3.9114514947868884e-05,5.723387857869966e-06,0.0,44,0.0,0.00021352944895625114,9.746380237629637e-05,0.00011042685218853876,5.638793027173961e-06,0.0,40,0.0,0.00012129596871091053,4.6077726437943056e-05,6.83943580952473e-05,6.823883268225472e-06,0.0,49,0.0,7.855499279685318e-05,3.061389725189656e-05,4.060469655087218e-05,7.336396265600342e-06,0.0,44,0.0,7.517574704252183e-05,2.4582875994383357e-05,4.3525065848371014e-05,7.067804290272761e-06,0.0,48,0.0
6,300,0.00011221232853131369,3.143991852994077e-05,7.519478094764054e-05,5.577627689490328e-06,0.0,44,0.0,9.382163261761889e-05,4.293857637094334e-05,4.596405415213667e-05,4.919002549286233e-06,0.0,44,0.0,8.793766028247774e-05,3.663325696834363e-05,4.6674984332639724e-05,4.629413524526171e-06,0.0,39,0.0,5.956718814559281e-05,2.2724982045474462e-05,3.1008239602670074e-05,5.8339642237115186e-06,0.0,46,0.0,0.0001443476212443784,4.6045894123381004e-05,9.275567572331056e-05,5.546055945160333e-06,0.0,45,0.0,6.843743904028088e-05,3.108009332208894e-05,3.1532341381534934e-05,5.824998424941441e-06,0.0,44,0.0,0.00017302107880823314,7.81866256147623e-05,8.888038428267464e-05,5.954067546554143e-06,0.0,39,0.0,9.158954344457015e-05,2.957537981274072e-05,5.459172461996786e-05,7.422436738124816e-06,0.0,47,0.0,5.983113078400493e-05,2.023254637606442e-05,3.191037831129506e-05,7.688207006140146e-06,0.0,44,0.0,5.780654100817628e-05,1.6246372979367152e-05,3.410431963857263e-05,7.455847025994444e-06,0.0,47,0.0
7,350,9.621118806535378e-05,2.4515777113265358e-05,6.59686338622123e-05,5.726777089876123e-06,0.0,42,0.0,8.267761586466804e-05,3.676019696285948e-05,4.082664963789284e-05,5.09077062815777e-06,0.0,42,0.0,7.325446495087817e-05,2.964518171211239e-05,3.887782440870069e-05,4.731457465823041e-06,0.0,39,0.0,4.869864642387256e-05,1.6731415598769672e-05,2.5993427698267624e-05,5.9738022173405625e-06,0.0,46,0.0,9.865255560725927e-05,3.3900170819833875e-05,5.907380909775384e-05,5.678577053913614e-06,0.0,44,0.0,5.650819730362855e-05,2.4232262148871087e-05,2.6376237656222656e-05,5.899700227018911e-06,0.0,44,0.0,0.0001460934872739017,6.369849143084139e-05,7.613976777065545e-05,6.255233529373072e-06,0.0,39,0.0,7.360574818449095e-05,2.1239990019239485e-05,4.447138780960813e-05,7.894373084127437e-06,0.0,47,0.0,4.998304939363152e-05,1.5142982192628551e-05,2.6899209842667915e-05,7.940854629850946e-06,0.0,44,0.0,4.748458377434872e-05,1.2272250387468375e-05,2.7455209419713356e-05,7.75712396716699e-06,0.0,46,0.0
8,400,8.153095404850319e-05,1.9973145754192956e-05,5.5750755564076826e-05,5.8070486375072505e-06,0.0,42,0.0,7.250443013617769e-05,3.0816438084002584e-05,3.6497876862995327e-05,5.1901138249377254e-06,0.0,42,0.0,6.158617907203734e-05,2.493363899702672e-05,3.1848092476138845e-05,4.804444415640319e-06,0.0,39,0.0,4.258171247784048e-05,1.3799355656374246e-05,2.269172910018824e-05,6.0906295402674004e-06,0.0,46,0.0,8.017616346478462e-05,2.6347759558120742e-05,4.8044294089777395e-05,5.784111635875888e-06,0.0,42,0.0,4.8327085096389055e-05,1.9443466953816824e-05,2.2887261366122402e-05,5.996358140691882e-06,0.0,44,0.0,0.00012155513832112774,5.0598522648215294e-05,6.444887549150735e-05,6.50774154564715e-06,0.0,39,0.0,6.358054815791547e-05,1.6244846847257577e-05,3.909655788447708e-05,8.239138878707308e-06,0.0,46,0.0,4.419915785547346e-05,1.267095376533689e-05,2.3413605958921835e-05,8.114599040709436e-06,0.0,44,0.0,4.057530532008968e-05,9.802953172766138e-06,2.2774542230763473e-05,7.997809916560072e-06,0.0,45,0.0
9,450,7.003489736234769e-05,1.663793773332145e-05,4.753394387080334e-05,5.8630153034755494e-06,0.0,42,0.0,6.181093340273947e-05,2.4710081561352126e-05,3.182855652994476e-05,5.27229713043198e-06,0.0,42,0.0,4.8016961954999715e-05,1.8821909179678187e-05,2.4331688109668903e-05,4.86336693938938e-06,0.0,38,0.0,3.7860871088923886e-05,1.1691400686686393e-05,1.9975570467067882e-05,6.193897661432857e-06,0.0,45,0.0,6.827208562754095e-05,2.1756248315796256e-05,4.069818896823563e-05,5.817652890982572e-06,0.0,41,0.0,4.275939863873646e-05,1.6264903024421073e-05,2.0422305169631727e-05,6.072190899431007e-06,0.0,44,0.0,0.00010417477460578084,4.1474151657894254e-05,5.605127807939425e-05,6.64934214000823e-06,0.0,38,0.0,5.576475086854771e-05,1.2020317626593169e-05,3.5238132113590837e-05,8.506302037858404e-06,0.0,45,0.0,4.100724254385568e-05,1.201509621751029e-05,2.076840064546559e-05,8.2237447713851e-06,0.0,44,0.0,3.6354063922772184e-05,8.252824045484886e-06,1.9860724933096208e-05,8.240514034696389e-06,0.0,42,0.0
