,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0,0.04270940646529198,0.041204921901226044,0.0015040937578305602,3.9139777641139517e-07,0.0,60,0.0
1,50,0.001339309848845005,0.0008580118301324546,0.0004772053216584027,4.092747076356318e-06,0.0,60,0.0
2,100,0.00042462442070245743,0.00021092139650136232,0.00020841292280238122,5.290100943966536e-06,0.0,57,0.0
3,150,0.00027778150979429483,0.00012777982919942588,0.00014420170919038355,5.799976406706264e-06,0.0,53,0.0
4,200,0.00017257765284739435,7.194590580184013e-05,9.454046085011214e-05,6.091290742915589e-06,0.0,51,0.0
5,250,0.00011698614980559796,4.2019604734377936e-05,6.864030001452193e-05,6.326239599729888e-06,0.0,49,0.0
6,300,9.034450340550393e-05,2.9624023227370344e-05,5.4110263590700924e-05,6.6102111304644495e-06,0.0,45,0.0
7,350,7.514092430938035e-05,2.3111695554689504e-05,4.5127795601729304e-05,6.901434517203597e-06,0.0,44,0.14285714285714285
8,400,6.386023596860468e-05,1.7814425518736243e-05,3.8866270188009366e-05,7.179540716606425e-06,0.0,41,0.14285714285714285
9,450,5.552330185309984e-05,1.3988013961352408e-05,3.4119402698706836e-05,7.415886557282647e-06,0.0,41,0.14285714285714285
10,500,4.940214421367273e-05,1.1355859896866605e-05,3.0412831620196812e-05,7.633453606104013e-06,0.0,41,0.14285714285714285
11,550,4.6270553866634145e-05,1.0548743375693448e-05,2.7870437406818382e-05,7.851373084122315e-06,0.0,41,0.14285714285714285
12,600,4.140253804507665e-05,8.164653081621509e-06,2.5165687475237064e-05,8.072199307207484e-06,0.0,39,0.14285714285714285
13,650,3.858935087919235e-05,6.951513114472618e-06,2.337109253858216e-05,8.266742952400818e-06,0.0,39,0.14285714285714285
14,700,3.6719626223202795e-05,6.573236078111222e-06,2.168435457861051e-05,8.462035111733712e-06,0.0,37,0.14285714285714285
15,750,3.533313065418042e-05,6.499946266558254e-06,2.0200604922138155e-05,8.632579010736663e-06,0.0,37,0.14285714285714285
16,800,3.420948996790685e-05,6.65651896269992e-06,1.8772254406940192e-05,8.780716598266736e-06,0.0,36,0.14285714285714285
17,850,3.162578650517389e-05,5.2214109018677846e-06,1.747168425936252e-05,8.932693162932992e-06,0.0,36,0.14285714285714285
18,900,3.0208928365027532e-05,4.81493043480441e-06,1.632865132705774e-05,9.065345693670679e-06,0.0,36,0.14285714285714285
19,950,2.8524984372779727e-05,4.1477055674477015e-06,1.5186124983301852e-05,9.191153367282823e-06,0.0,36,0.14285714285714285
20,1000,2.721639430092182e-05,3.769755267057917e-06,1.4148048649076372e-05,9.298590157413855e-06,0.0,36,0.14285714285714285
