,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2
0,0,0.31979888677597046,0.3070918023586273,0.012703947722911835,3.1466920518141706e-06,0.0,60,0.0,0.28311991691589355,0.2754706144332886,0.007645475212484598,3.79700941266492e-06,0.0,60,0.0,0.2675520181655884,0.2604694962501526,0.007078563794493675,3.945631306123687e-06,0.0,60,0.0
1,50,0.012022094801068306,0.005804590880870819,0.006198444869369268,1.9059110854868777e-05,0.0,60,0.0,0.006099168211221695,0.0024328790605068207,0.00364789180457592,1.8396671293885447e-05,0.0,60,0.0,0.009634117595851421,0.004820418544113636,0.004793688654899597,2.0010520529467613e-05,0.0,60,0.0
2,100,0.004908563569188118,0.002288699382916093,0.00259320717304945,2.6657002308638766e-05,0.0,49,0.0,0.002529449760913849,0.0011572368675842881,0.0013471179408952594,2.509489786461927e-05,0.0,49,0.0,0.002622339641675353,0.0007849974790588021,0.0018072460079565644,3.0096216505626217e-05,0.0,53,0.0
3,150,0.003585653379559517,0.0017155855894088745,0.0018397639505565166,3.030353764188476e-05,0.0,44,0.0,0.002053285716101527,0.0009228530689142644,0.0011018657824024558,2.856686660379637e-05,0.0,47,0.0,0.0016593715408816934,0.0005205600173212588,0.0011029822053387761,3.5829285479849204e-05,0.0,46,0.0
4,200,0.002805310068652034,0.0013010328402742743,0.0014714353019371629,3.284184276708402e-05,0.0,40,1.0,0.0018630785634741187,0.0007694654632359743,0.001063028466887772,3.058463698835112e-05,0.0,39,0.0,0.0011832378804683685,0.000320485676638782,0.0008236937574110925,3.9058446418493986e-05,0.0,40,0.0
5,250,0.002417783485725522,0.0011155933607369661,0.0012679391074925661,3.425094109843485e-05,0.0,36,1.0,0.0016461150953546166,0.000638589437585324,0.000975581759121269,3.19438440783415e-05,0.0,37,1.0,0.0009296881617046893,0.00023977001546882093,0.0006484240875579417,4.149412052356638e-05,0.0,39,0.0
6,300,0.0021839190740138292,0.0009720974485389888,0.0011763876536861062,3.543396815075539e-05,0.0,34,1.0,0.0015641360078006983,0.0005629350780509412,0.0009683410753495991,3.285987986600958e-05,0.0,34,2.0,0.0007650140323676169,0.000198948138859123,0.0005225363420322537,4.352958421804942e-05,0.0,38,0.0
7,350,0.002199440961703658,0.0009367051534354687,0.0012262517120689154,3.6484154406934977e-05,0.0,32,1.0,0.001470854738727212,0.0005269127432256937,0.0009100007591769099,3.3941210858756676e-05,0.0,32,2.0,0.0006567376549355686,0.00016484802472405136,0.0004469342529773712,4.495546090765856e-05,0.0,38,0.0
8,400,0.0023383793886750937,0.0009525445639155805,0.0013486124807968736,3.7222114769974723e-05,0.0,32,2.0,0.0014050492318347096,0.00047868938418105245,0.000892154814209789,3.420502980588935e-05,0.0,31,2.0,0.0005727366078644991,0.00013741363363806158,0.00038942258106544614,4.5900411350885406e-05,0.0,38,0.0
9,450,0.002421064069494605,0.0009369004983454943,0.0014464706182479858,3.769306931644678e-05,0.0,32,2.0,0.001346639939583838,0.0004438891774043441,0.0008683596388436854,3.4391010558465496e-05,0.0,31,3.0,0.0005192284006625414,0.00012454792158678174,0.00034771222271956503,4.696825999417342e-05,0.0,38,0.0
10,500,0.0025007822550833225,0.0009384460281580687,0.0015242367517203093,3.80995224986691e-05,0.0,32,2.0,0.0012670017313212156,0.00040719195385463536,0.0008251265971921384,3.468334034550935e-05,0.0,30,3.0,0.0004675477393902838,0.0001085875483113341,0.000310923729557544,4.803641058970243e-05,0.0,37,0.0
