,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5
0,0,0.367588073015213,0.3663884401321411,0.001197339966893196,2.293907300554565e-06,0.0,60,0.41301238536834717,0.41187137365341187,0.0011389540741220117,2.066772140096873e-06,0.0,60,0.3085857331752777,0.3076018691062927,0.00098159268964082,2.2707151856593555e-06,0.0,60,0.35192129015922546,0.35105833411216736,0.0008604837348684669,2.4718401618883945e-06,0.0,60,0.344237744808197,0.3432237207889557,0.0010120657971128821,1.968576043509529e-06,0.0,60,0.3873278498649597,0.3857477009296417,0.0015777385560795665,2.4181799744837917e-06,0.0,60
1,50,0.013441266492009163,0.012328611686825752,0.0011114479275420308,1.2071479886799352e-06,0.0,60,0.01650611311197281,0.01539261918514967,0.0011126473546028137,8.453309305878065e-07,0.0,60,0.010175862349569798,0.0092471269890666,0.0009278201032429934,9.158827651845058e-07,0.0,60,0.009452080354094505,0.008627990260720253,0.0008227193611674011,1.3711684232475818e-06,0.0,60,0.010859768837690353,0.009859052486717701,0.0009996568551287055,1.059501073541469e-06,0.0,60,0.01503110583871603,0.013483583927154541,0.0015464873285964131,1.0347583838665741e-06,0.0,60
2,100,0.008807303383946419,0.007745217531919479,0.0010605616262182593,1.5241882920236094e-06,0.0,60,0.00917614996433258,0.00812916737049818,0.0010458994656801224,1.0832948191819014e-06,0.0,60,0.006218607071787119,0.005342654883861542,0.0008747286628931761,1.2231187156430678e-06,0.0,60,0.00651228241622448,0.005771120078861713,0.0007394559215754271,1.706257990008453e-06,0.0,60,0.007102802861481905,0.006167942192405462,0.0009335429640486836,1.3180421092329198e-06,0.0,60,0.010408022440969944,0.008928162977099419,0.0014785031089559197,1.3561812011175789e-06,0.0,60
3,150,0.00745810242369771,0.0064427717588841915,0.00101348792668432,1.8427505210638628e-06,0.0,59,0.007716766092926264,0.006706808228045702,0.0010086304973810911,1.3275484889163636e-06,0.0,59,0.00229991995729506,0.0014629546785727143,0.0008352013537660241,1.7640005580688012e-06,0.0,57,0.0023242817260324955,0.0016256488161161542,0.0006964273052290082,2.205537384725176e-06,0.0,60,0.0022912516724318266,0.0014464060077443719,0.0008430167217738926,1.8288845922143082e-06,0.0,60,0.005720591172575951,0.0043631065636873245,0.0013558322098106146,1.6521130419278052e-06,0.0,59
4,200,0.0032206608448177576,0.002281288616359234,0.0009370151092298329,2.3571130896016257e-06,0.0,59,0.007028128951787949,0.0060511501505970955,0.0009753730264492333,1.6056766298788716e-06,0.0,59,0.0016675926744937897,0.0008564615854993463,0.0008089266484603286,2.204389375037863e-06,0.0,56,0.0013717063702642918,0.0007194042555056512,0.000649613793939352,2.6882403290073853e-06,0.0,60,0.001527440850622952,0.000756676949094981,0.0007684321608394384,2.3317347768170293e-06,0.0,59,0.0029209500644356012,0.0017283279448747635,0.001190304639749229,2.317265170859173e-06,0.0,57
5,250,0.001976550091058016,0.0011353441514074802,0.0008381149964407086,3.0911489830032224e-06,0.0,57,0.0062781390734016895,0.00536069180816412,0.0009155218140222132,1.9254857761552557e-06,0.0,59,0.0014309014659374952,0.0006822466966696084,0.0007460273336619139,2.627522235343349e-06,0.0,56,0.0011127733159810305,0.000561408291105181,0.0005481991684064269,3.165779617120279e-06,0.0,59,0.001301910844631493,0.0006069517694413662,0.0006921836175024509,2.7754533675761195e-06,0.0,57,0.0022460094187408686,0.001251308829523623,0.0009916676208376884,3.0330811569001526e-06,0.0,56
6,300,0.0015961086610332131,0.0008979701669886708,0.0006944447522982955,3.693772214319324e-06,0.0,56,0.0022458266466856003,0.0014415179612115026,0.0008015790954232216,2.729651214394835e-06,0.0,56,0.001225335174240172,0.0006004063179716468,0.0006217555492185056,3.1733532068756176e-06,0.0,55,0.0009532230324111879,0.0004760088922921568,0.0004735865513794124,3.627555315688369e-06,0.0,57,0.0011303749633952975,0.0005144876195117831,0.0006127164815552533,3.170795025653206e-06,0.0,57,0.0018225492676720023,0.0010338281281292439,0.0007850576075725257,3.6634799016610486e-06,0.0,55
7,350,0.0013356468407437205,0.0007636676309630275,0.0005678168381564319,4.162377990724053e-06,0.0,56,0.0016168836737051606,0.0009210924035869539,0.000692380010150373,3.4113693345716456e-06,0.0,56,0.001021046657115221,0.0005272967973724008,0.0004901051870547235,3.6447345337364823e-06,0.0,54,0.000815850158687681,0.000392452027881518,0.0004193620989099145,4.036036443721969e-06,0.0,54,0.0009703346295282245,0.0004074936150573194,0.0005593002424575388,3.540774287102977e-06,0.0,55,0.0014583490556105971,0.0008591569494456053,0.0005950495251454413,4.142584657529369e-06,0.0,55
8,400,0.0011517961975187063,0.0006376279634423554,0.0005097467801533639,4.421397534315474e-06,0.0,52,0.0013399928575381637,0.0007184749119915068,0.0006175935850478709,3.924330485460814e-06,0.0,56,0.0008543436415493488,0.00046688164002262056,0.00038340131868608296,4.0606978473078925e-06,0.0,52,0.0007118831272237003,0.0003199501079507172,0.00038749061059206724,4.4423968574847095e-06,0.0,53,0.0008118856931105256,0.00029494462069123983,0.0005131363868713379,3.8046814552217256e-06,0.0,53,0.0011802657973021269,0.0006858152337372303,0.0004900077474303544,4.442848876351491e-06,0.0,52
9,450,0.0009879708522930741,0.0005102268769405782,0.00047315986012108624,4.584131602314301e-06,0.0,52,0.0011779882479459047,0.000612781208474189,0.0005609657964669168,4.241270744387293e-06,0.0,55,0.0007003395003266633,0.00037317111855372787,0.0003227973938919604,4.371006525616394e-06,0.0,52,0.0005730200791731477,0.00024293738533742726,0.0003252924943808466,4.790195816894993e-06,0.0,53,0.0006824621232226491,0.0002091242786264047,0.0004692846559919417,4.0531917875341605e-06,0.0,51,0.0008896630606614053,0.0004691490903496742,0.00041590016917325556,4.6138165998854674e-06,0.0,50
10,500,0.0008414647891186178,0.00039659638423472643,0.00044013586011715233,4.732583420263836e-06,0.0,52,0.0010671161580830812,0.0005402864189818501,0.0005223645130172372,4.465247457119403e-06,0.0,55,0.0005856493953615427,0.00028303085127845407,0.0002980851859319955,4.533347237156704e-06,0.0,50,0.0004711514920927584,0.0001956811611307785,0.00027038974803872406,5.080602022644598e-06,0.0,52,0.0005838552606292069,0.00014566157187800854,0.0004339171282481402,4.27657823820482e-06,0.0,50,0.0007100470829755068,0.0003411264915484935,0.00036415274371393025,4.767825885210186e-06,0.0,50
11,550,0.0006958855083212256,0.0002879308594856411,0.00040303872083313763,4.915932549920399e-06,0.0,50,0.0009760483517311513,0.0004703273589257151,0.0005010216264054179,4.699413238995476e-06,0.0,51,0.0005097212269902229,0.0002277152962051332,0.00027736189076676965,4.644014552468434e-06,0.0,49,0.0003962342452723533,0.00015676405746489763,0.000234200619161129,5.2695750127895735e-06,0.0,51,0.0005107025499455631,0.0001168627932202071,0.0003893812245223671,4.458531748241512e-06,0.0,50,0.0005815388867631555,0.00025351671501994133,0.00032310441019944847,4.917733349429909e-06,0.0,49
12,600,0.0005829328438267112,0.0002132605732185766,0.00036464398726820946,5.028245141147636e-06,0.0,50,0.000892085547093302,0.00041323708137497306,0.0004739802097901702,4.868254563916707e-06,0.0,51,0.0004400841426104307,0.00018093497783411294,0.0002543852024246007,4.763937795360107e-06,0.0,48,0.0003464477777015418,0.00013684439181815833,0.000204186697374098,5.416693056758959e-06,0.0,51,0.00044602714478969574,0.00010445806401548907,0.00033696263562887907,4.606433776643826e-06,0.0,48,0.0005064851720817387,0.00020436823251657188,0.0002970913774333894,5.025613063480705e-06,0.0,45
13,650,0.0004985572304576635,0.00016363599570468068,0.00032978958915919065,5.1316678764123935e-06,0.0,49,0.0007915075402706861,0.00033631082624197006,0.0004501643416006118,5.0324201765761245e-06,0.0,50,0.00039265237865038216,0.00015149464888963848,0.00023632001830264926,4.837727374251699e-06,0.0,48,0.0003008788335137069,0.000108275497041177,0.0001871397253125906,5.463597517518792e-06,0.0,49,0.0003766080772038549,8.850290032569319e-05,0.0002833751495927572,4.73003592560417e-06,0.0,46,0.00044863851508125663,0.00017027657304424793,0.00027326715644448996,5.094804691907484e-06,0.0,44
14,700,0.00043586286483332515,0.00012953809346072376,0.00030110502848401666,5.219737886363873e-06,0.0,47,0.0007111959857866168,0.00028002995532006025,0.00042598109575919807,5.1849106057488825e-06,0.0,50,0.0003585945232771337,0.00013275760284159333,0.00022093899315223098,4.897940016235225e-06,0.0,47,0.0002707944076973945,9.424780728295445e-05,0.00017109331383835524,5.453260200738441e-06,0.0,48,0.00031168226269073784,6.510044477181509e-05,0.00024167547235265374,4.9063401093008e-06,0.0,45,0.00040358671685680747,0.00014371848374139518,0.0002546871255617589,5.181118012842489e-06,0.0,43
15,750,0.00038981338730081916,0.00011095451918663457,0.0002735786256380379,5.280235654936405e-06,0.0,45,0.0006439816788770258,0.00023714212875347584,0.00040147622348740697,5.363313448469853e-06,0.0,49,0.00033820170210674405,0.00012714220792986453,0.0002061378472717479,4.921629624732304e-06,0.0,47,0.0002495332155376673,8.30642893561162e-05,0.00016109124408103526,5.377688466978725e-06,0.0,45,0.00027395912911742926,5.78000872337725e-05,0.00021105022460687906,5.108835011924384e-06,0.0,43,0.0003652748418971896,0.00012114409764762968,0.00023890609736554325,5.224670530878939e-06,0.0,43
16,800,0.0003537213779054582,9.785718430066481e-05,0.00025050362455658615,5.360564955481095e-06,0.0,43,0.0005798244383186102,0.00019998229981865734,0.0003743131528608501,5.52898700334481e-06,0.0,49,0.00032413550070486963,0.00012670147407334298,0.00019249145407229662,4.942569375998573e-06,0.0,46,0.00023168699408415705,7.3881252319552e-05,0.00015253722085617483,5.268516815704061e-06,0.0,43,0.00024332372413482517,4.973860995960422e-05,0.00018832592468243092,5.2591972234949935e-06,0.0,43,0.0003423512098379433,0.0001135014244937338,0.00022357072157319635,5.2790533118241e-06,0.0,41
17,850,0.0003262548998463899,8.5879881225992e-05,0.00023486623831558973,5.508768026629696e-06,0.0,42,0.0005259413155727088,0.00017549711628817022,0.0003447599010542035,5.68426912650466e-06,0.0,49,0.00030434972723014653,0.00011586008622543886,0.00018354483472649008,4.944802185491426e-06,0.0,45,0.0002171983360312879,6.583175127161667e-05,0.0001461863867007196,5.18019487572019e-06,0.0,42,0.00022036452719476074,4.4440163037506863e-05,0.00017057494551409036,5.349421826394973e-06,0.0,43,0.00031602385570295155,9.984079224523157e-05,0.00021088139328639954,5.301659712131368e-06,0.0,40
18,900,0.0003144101647194475,8.954267832450569e-05,0.00021925655892118812,5.610917469311971e-06,0.0,42,0.0004737960116472095,0.0001561546087032184,0.0003117958549410105,5.845524356118403e-06,0.0,44,0.00029184945742599666,0.0001156340804300271,0.0001712541125016287,4.961275408277288e-06,0.0,44,0.00020232411043252796,5.745031012338586e-05,0.00013977634080220014,5.097456323710503e-06,0.0,42,0.000202590788831003,4.1655555833131075e-05,0.0001555569178890437,5.378312380344141e-06,0.0,42,0.0002962492289952934,9.1561145382002e-05,0.00019933588919229805,5.352208063413855e-06,0.0,40
