,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1
0,0,0.34538036584854126,0.34411177039146423,0.001263802289031446,9.999999747378752e-06,4.784323664352996e-06,60,0.38349974155426025,0.38259878754615784,0.000899536011274904,9.999999747378752e-06,1.4186294947649003e-06,60
1,50,0.013202466070652008,0.01134644914418459,0.0011865898268297315,9.843853149504866e-06,0.0006694273324683309,60,0.009879272431135178,0.008584124967455864,0.0007508407579734921,9.902939382300247e-06,0.0005443065892904997,60
2,100,0.008406765758991241,0.007067339029163122,0.0010202996199950576,9.71868030319456e-06,0.00031912678969092667,60,0.006444052327424288,0.005533682182431221,0.0006410263595171273,9.842950930760708e-06,0.0002693435817491263,60
3,150,0.0032353312708437443,0.002057787496596575,0.0008790266583673656,9.541286090097856e-06,0.00029851699946448207,60,0.0026762806810438633,0.0017967551248148084,0.0006467242492362857,9.688001227914356e-06,0.00023280114692170173,60
4,200,0.0020578852854669094,0.0010424033971503377,0.0008263646741397679,9.352931556350086e-06,0.00018911728693637997,60,0.001573717687278986,0.0008283756906166673,0.0005924659199081361,9.466089977649972e-06,0.00015287612040992826,60
5,250,0.001654926803894341,0.000787540921010077,0.00073470693314448,9.215113095706329e-06,0.000132678949739784,60,0.0012264713877812028,0.0005804388201795518,0.0005362010560929775,9.257562851416878e-06,0.00010983151878463104,60
6,300,0.0013855865690857172,0.0006514078704640269,0.0006276293424889445,9.150470759777818e-06,0.00010654929064912722,58,0.001026572659611702,0.00044774982961826026,0.0004887782270088792,9.087832040677313e-06,9.004461753647774e-05,56
7,350,0.0011496222577989101,0.0005204609478823841,0.0005347633268684149,9.144019713858142e-06,9.439802670385689e-05,56,0.0008837064378894866,0.00034479910391382873,0.0004587960720527917,8.954766599345021e-06,8.011126919882372e-05,55
8,400,0.0009201021166518331,0.0003780146944336593,0.0004571119789034128,9.17251509235939e-06,8.4975479694549e-05,52,0.0007645282312296331,0.0002607080095913261,0.0004330878728069365,8.837610039336141e-06,7.073234155541286e-05,52
9,450,0.0007484427187591791,0.000267014023847878,0.0004040140483994037,9.288298315368593e-06,7.741463195998222e-05,48,0.0006609748234041035,0.00019353551033418626,0.0004059776256326586,8.799535862635821e-06,6.146168743725866e-05,45
